accession_id	language	author	title	title_en	year	pages	description	subject_narrow	subject_broad	origin	bio_chrono	category	location	condition	registrar	donation_no	acquisition_date	donor	notes	source_pages
E-B-0001	en	עמירן דוד		Problem of Agricultural use of dessert	1970			No Image		Revista Geografika Brazil	לא סומן כמצוי בקטלוג	חברה	חברה A /		נילי דוידסון					566
E-B-0002	en	ארלוזורוב חיים		A tribute to the Palestine pioneer movement Hechalutz	1928	118		No Image		?	לא סומן כמצוי בספריה	ארץ ישראל	ארץ ישראל A /		נילי דוידסון					567
E-B-0003	en	אמברוז קנט		The suitcase in the garage	1951	380	הכתב חקר את תולדות משפחתו | Letters and Photographs of a german jewish family 1800- | 1950	No Image		?		ביוגרפיות	ביוגרפיות A /		נילי דוידסון					569
E-B-0004	en	ארנולד פאולה		Israel Nature Notes	1965	148		No Image		Shalit Verlag ,Haifa		ארץ ישראל	ארץ ישראל A /		נילי דוידסון )מתוך קטלוג גדעון בוטש(					596
E-B-0005	en	ברגהאן ו .ר.		Society, Economy and Politics in the Twentieth Cetury	1988	341		No Image מהדורה 3		Cambridge University Press		היסטוריה כללית	היסטוריה כללית B /		נילי דוידסון )מתוך קטלוג גדעון בוטש(					675
E-B-0006	en	ביין אלכסנדר		Some early Herzl Letters	1958			No Image		Herzl Press ,New York		ציונות	ציונות B /		נילי דוידסון					679
E-B-0007	en	בק קליין גרטה		Never Forget	?	127		No Image		?		יומנים ומכתבים	יומנים ומכתבים B /		נילי דוידסון					686
E-B-0008	en	ביין אלכסנדר		Israel's Charter of Freedom	1949	38	Published by the youth and hechalutz department of the | zionist organisation	No Image		"הוצאה ראה ב""תאור היצירה"""		ציונות	ציונות B /		נילי דוידסון					696
E-B-0009	en	בן-חורין שלום		Central conference american Rabbis journal	1968	5		No Image		.Marstin Press ,N .Y		מדעי היהדות	מדעי היהדות B /		נילי דוידסון					697
E-B-0010	en	רייפן דוד		The Juvenile court in a chanching society	1973		צילומי דפים מתוך הספר | Dr. David Reifen	No Image		Weidenfeld and Nicolson		חברה / משפט	ארכיון תיק G.F.0261		נילי דוידסון			"הבת ,ד""ר יהודית רייפן"	הקים את בית המשפט הראשון לנוער בארץ ישראל	726
E-B-0011	en	בנטוויטש מרג'רי & נורמן		The Pilgrim Father / Herbert Bentwich	1940	232		No Image		הוצאה פרטית		ביוגרפיות	ביוגרפיות B /		נילי דוידסון				Widmung: An Leo Bloch vonCarl Sternberg	738
E-B-0012	en	בארט אהרון		The creation in the light of modern science, mador dati	1968		Printed in Israel under the auspices of the publishing | department of the Jewish Agency Jerusalem	No Image				חינוך	",G.F.0059 עזבון ד""ר בארט"		נילי דוידסון					769
E-B-0013	en	בינג אדוארד		List of the originar etchings of E.M. Lilien	1922	80	Dr. Eduard J. Bing	No Image		Benjamin Harz ,Berlin Vienna		אמנות	אמנות B /		נילי דוידסון					793
E-B-0014	en	בלר סלבן		Theodor Herzl and Austria a century leter	?	50		No Image		Verlag Zion ,Wien		ביוגרפיות	ביוגרפיות B /		נילי דוידסון					820
