accession_id	accession_raw	artist	artist_en	work_title	work_title_en	item_type	item_type_en	technique	technique_en	description	dimensions	years	subject_narrow	subject_broad	origin	origin_en	bio_chrono	category	location	condition	registrar	insurance_value	donation_no	acquisition_date	donor	notes	source_pages
G-F-0001-2	G.F. 0001 / 2	אש ברונו	Asch Bruno			תמונת-צלום דיוקן		מקור	Original	קטגוריות: | .1 תמונות		ללא תאריך	No Image	-תצלום דיוקן של ברונו אש	גרמניה				נרשם ב-יוני 2002	2 מתוך 2	נילי דוידסון		אין		הבת ,מרים פינר-גייזנברג ,רחובות	העתק של תמונת הדיוקן מוצגת בתערוכת המוזיאון	3
G-F-0003-1	G.F. 0003 / 1	בוק היינץ & סימון & גאורג				תעודות ומסמכים ,הרייך השלישי		מקור ,העתק	Original, Copy	"היינץ בוק ,יליד ,1907 אישתו הראשונה ,הילדגרד )הילדה(, | נספתה בשואה .אישתו השניה ,גוסטה  -גושי .אחרי מעצר | בסכסנהאוזן הגר לאנגליה שם שהה במחנה קיטשנר  ,על | האניה ""דונרה"" ,הועבר למחנות העצירים לאוסטרליה ,שם | הכיר את ישראל שילוני .היה פעיל ואהוד על העצירים. | בהיותו אדם דתי ,ארגן ודאג לחיי דת ומסורת במחנה. | גאורג בוק יליד  ,1900 בן דודו,של היינץ ,אשתו מרי .גם | הוא היה עצור בסכסנהאוזן .המשפחה היגרה ברייך | השלישי לאנגליה. | קטגוריות: | הרייך השלישי | מחנות מעצר | הגירה | אירגונים | תעודות אישיות | מלח""ע I | תמונות"		1903-1948	No Image אישיים ,הגירה ,אירגוני עזרה ליהודים	.1 כרטיסים ממשרד הרווחה של הקהילה היהודית ,בברלין	גרמניה		נערך חלקית ,ראה בתיק	מסמכים	נרשם ב-יולי 2002	1 מתוך 3	נילי דוידסון		אין		אוסף שילוני		8,9,10,11,12,13
G-F-0007	G.F.0007	כהן אוסקר	Cohn Oscar			מאמרים		העתק	Copy	"כהן אוסקר 1869-1934 | מתוך מכתבו של הנכד ,ד""ר מיכאל כהן: | אוסקר כהן היה חבר ברייכסטג הגרמני כנציג אזור | נורדהאוזן  Nordhausenבתקופה  .1912-1918 הוא התבלט | במיוחד ביציאתו נגד המטכ""ל הגרמני וניהול המלחמה. | קטגוריות: | מלח""ע I | פרסומים"			No Image		,Nordhausenשלזיה עלית ,גרמניה			פרסומים	04.08.2002	1 מתוך 1	נילי דוידסון		אין		"ד""ר מיכאל כהן ,נכדו של אוסקר כהן ,אוסף ישראל שילוני"	בתיק תמונת דיוקן של אוסקר כהן.	21,22
G-F-0009	G.F.0009	לוקס & וייס & מבשן						מקור	Original	"גב' אוה וייס ,ילידת ,1921 נפטרה ,2002 העבירה למוזיאון | את עזבון הוריה ,רנה וייס והלה וייס לבית לוקס .החומר | נאסף במספר ביקורים אצל גב' וייס בטבעון ,ע""י נילי | דוידסון ,רותי אופק ,קרלה וולף ותמר זגר .לגב' וייס יש | אח ,ריכרד )רי( ,אורי ,יליד  ,1924 חי בחיפה .תמר זגר יצרה | איתו קשר בכונה לעורר את התעניינותו בעבודה שנעשית | במוזיאון בהקשר עם עיזבון הוריו  -הענות דלה .אוה וייס | התגייסה לצבא הבריטי במלח""ע  ,IIשרתה במצרים | ואיטליה .לא נישאה  .החומר לתולדות המשפחה מבוסס | על תכנים מהעזבון ומשיחות עם אוה וייס .סכמה  -נילי | דוידסון | אוה וייס נפטרה אחרי מחלה קשה וארוכה ב.2002-"		המאה ה ,19-ה 20-	The file: {T:\backup\Tchelet_data\Rachel\GF 0009.JPG} is missing סיכום לתולדות המשפחה	רנה וייס , Rene Weiss1890-1972 -נולד בפריס לאביו	גרמניה			תולדות משפחה	27.01.2003	1 מתוך 14	נילי דוידסון		0			תמונה לוקס וייס 1	26,27,28
G-F-0009-1	G.F. 0009 / 1	לוקס & וייס & מבשן						מקור ,הדפסה ,תרגום לעברית	Original, Printing, Transletion to Hebrew	קטגוריות: | .1 תולדות משפחה | .2 תעודות אישיות | .3 מנהגים | .4 התכתבות | .5 תמונות		המאה ה ,19-ה 20-	The file: {T:\backup\Tchelet_data\Rachel\GF0009 1.JPG} is missing					ראה תאור אוסף	28.01.2003	2 מתוך 14	נילי דוידסון		0		"אוה וייס ז""ל ,טבעון"	תמונה לוקס וייס .2	29,30,31
G-F-0009-12	G.F. 0009 / 12	לוקס & וייס & מבשן		מכתבים מבלה לוקס אל רנה וייס		מכתבים		מקור	Original	גב' תמר זגר קראה מאות מכתבים ומיינה אותם תוך | כתיבת סיכום קצר בעברית של נושאי המכתב .מרים | פולין הדפיסה. | בתיק זה: | מכתבים שהלה כתבה אל רנה: | 1916-1920 + 1911-1915 אין מכתבים מ.1919- | המכתבים מסודרים לפי השנים.			No Image	ההתכתבות בין רנה והלה החל ב 1911-אחרי ההיכרות				התכתבות	06.02.2003	13 מתוך 14	נילי דוידסון				"אוה וייס ז""ל ,טבעון"	בשנת 2004 במהלך עבודות שיפוצים במוזיאון נעלמו תיקים משנת .1916,1917,1918,1920 ,1915- 1914	129,130
G-F-0009-7	G.F. 0009 / 7	לוקס & וייס & מבשן		קטלוג מכתבים רנה וייס אל הלה לוקס	Briefenkatalog Rene Weiss an Hella Lucas	קטלוג מכתבים		תרגום מתומצת לעברית והדפסה	Summerization to hebrew and printing	"גב' תמר זגר קראה עשרות מכתבים שכתב רנה אל הלה - | מתוכם תרגמה בתמצות את החשובים מבין המכתבים, | דהיינו מכתבים שיש בהם מסר או ודאות לתקופה מבחינה | רגשית ,דתית ,פילוסופית ,חברתית ,היסטורית וכד'. | התמצות נעשה בעברית ,נערך ע""י נילי דוידסון ,הודפס | בחלקו ע""י הנכד בן ה 17-של תמר ,והיתר ע""י נילי דוידסון. | מלבד התמצות בעברית יש הכוונה למכתב עצמו | באמצעות מספר המכתב או תאריך המכתב .חלק | מהמכתבים הודפסו בשלמותם כבמקור  -בשפה | הגרמנית  -ראה הערות בקטלוג עצמו."		1920 ; 1911-1918	No Image	הקטלוג מכיל מכתבים שכתב רנה אל הלה בשנים -1911				התכתבות	02.02.2003	8 מתוך 14	נילי דוידסון					בשנת 2004 במהלך שיפוצים במוזיאון נעלם התיק.	118,119
G-F-0009-8	G.F. 0009 / 8	לוקס & וייס & מבשן				קטלוג מכתבים		תרגום מתומצת לעברית והדפסה	Summerization to hebrew and printing	"גב' תמר זגר קראה עשרות מכתבים שכתבה הלה אל | רנה  -מתוכם תרגמה בתמצות לעברית את החשובים מבין | המכתבים ,דהיינו מכתבים שיש בהם מסר או ודאות | לתקופה מבחינה רגשית ,דתית ,פילוסופית ,חברתית, | היסטורית וכד' .התמצות נעשה בעברית, | נערך ע""י נילי דוידסון הודפס בחלקו ע""י הנכד | בן ה 17-של תמר ,והיתר ע""י נילי דוידסון. | מלבד התמצות בעברית יש הכוונה למכתב עצמו | באמצעות מספר המכתב או תאריך המכתב .חלק | מהמכתבים הודפסו בשלמותם כבמקור  -בשפה | הגרמנית  -ראה הערות בקטלוג עצמו."		1920-1921 ; 1911-1918	No Image	הקטלוג מכיל מכתבים שכתבה הלה אל רנה בשנים				התכתבות	02.02.2003	9 מתוך 14	נילי דוידסון					בשנת 2004 במהלך שיפוצים במוזיאון נעלם התיק.	120,121
G-F-0012-1	G.F. 0012 / 1	פינק & רוזנשטיין & ברג						מקור	Original	חומר מעיזבון משפ .פינק Finkמשפ .ברג Bergומשפ. | רוזנשטיין . Rosenstein | התורמת גב' ליזלוטה  Liselotteפינק לבית רוזנשטיין. | לתולדות המשפחה: | ברוך פינק יליד  1808 נשא לאשה את בריינדה לבית כץ | ילידת .1819 | בנם סלומון פינק יליד  1845 נשא לאשה את רוזה לבית | היילברון ילידת .1847 | בנם הרמן פינק יליד  1875 נשא לאשה את פלורה לבית | ברג .נולדו להם  3 ילדים :מרגרט ,היינץ ופאול. | פאול היה בעלה של התורמת  -ליזלוטה פינק. | נתן רוזנשטיין נשא לאשה את יוהנה לבית לובנשטיין. | בנם עמנואל רוזנשטיין  1869-1942 נשא לאשה את | גולדינה )גלה( לבית רוזנשטיין. | בנם הוגו נתן רוזנשטיין יליד  1891 נשא לאשה את אלה | לבית מאייר. | התורמת ,ליזלוטה פינק היא בתם. | קטגוריות: | .1 המאה ה 19- | .2 המאה ה 20- | .3 תולדות משפחה | .4 משפחה | .5 תעודות אישיות | .6 מנהגים | .7 קהילה | .8 צבא			The file: {T:\backup\Tchelet_data\Rachel\GF0012 1.JPG} is missing	-משנת 1874 מסמך מאשווגה Eschwegeשמפרט את					17.02.2003	1 מתוך 3	נילי דוידסון		אין		ליזלוטה פינק ,נהריה	"מרבית המסמכים הנ""ל כתובים ביד בגרמנית גותית -את עבודת הפיענוח עשתה גב' קרלה וולף -נהריה. | בתיק  G.F. 0012 /3 ראה דוגמא לכתיבה גרמנית באותיות עבריות"	39,40,41,42
G-F-0015-1	G.F. 0015 / 1	קרמר & הס						מקור ,העתק	Original, Copy	"גב' טובית שמשון מנהריה מסרה חלקים מעזבון הוריה, | ג'ני ) Jennyבארץ אמצה לעצמה את השם נעמי בו היא | משתמשת לעיתים רחוקות( לבית הס  Hessוד""ר מקס Max | קרמר ) Cramerרופא עיניים וצלם חובב(  ,יליד 1880 | בקרלסרואה  Karlsruheשהתישבו בנהריה במטרה | לעסוק בחקלאות ,היו מראשוני המתיישבים .החומר מתעד | את שתי המשפחות ,קרמר והס. | ההורים של ג'ני :דוד  Davidהס  Hessנפטר ב 1913 - | והנכן היא יוהנה  Johanna Hannchenילידת  1860 לבית | נוימרק Neumark | ההורים של מקס :היינריך Heinrich1847-1897 | והנריאטה  Henrietteלבית ליב Loeb | ג'ני קרמר אספה חומר ,חקרה וכתבה )בגרמנית( מספר | מחברות על תולדות המשפחה .צילומי המסמכים הרבים | בתוך העיזבון הם עדות לכך שהיא אספה את החומר | ממוסדות וארכיונים בגרמניה וכפי הנראה החלה בזה כבר | בתחילת שנות ה 20-למאה ה .20-הבת טובית זוכרת | שאמה בנסיעותיה לגרמניה המשיכה לאסוף חומר אותו | הביאה לארץ. | קטגוריות: | .1 המאה ה 19- | .2 המאה ה 20- | .3 צבא | .4 משפחה | .5 תעודות אישיות | .6 מסחר | .7 חינוך | .8 רפואה | .9 מנהגים | .10 שירה | .11 משפט | .12 קהילה"			No Image	"-שנת 1855 חשבונית שהוצאה ע""י כורך ספרים אל"	גרמניה				23 / 24.02.2003	1 מתוך 17	נילי דוידסון		2001.103		טובית וחנן שמשון ,נהריה	-מתוך המסמכים ניתן ללמוד שמקרי הנישואין בתוך המשפחה דהיינו בין קרובי משפחה היו תדירים. | -זיהוי השמות לא קל כי להרבה מבני המשפחה יש מספר שמות הם מופיעים לפעמים בשמם היהודי ולפעמים בשמם הגרמני .גם שמות המשפחה  -לפעמים נקראים האנשים על שם | הישוב ולפעמים בשם משפחה .השם קרמר נכתב לעיתים ב , 'C'-לפעמים ב.'K'-	45,46,47,48,49,50,51
