section_id	parent_r_item	transkribus_doc_id	page_start	page_end	divider_page	title_he	title_de_or_en	author	language	doc_type	date_text	in_existing_catalog	heimat_relevant	notes
0047-2-S01	PROVENANCE		1	1	1	כרטיס ספר האוסף — לנדסברג אלפרד אברהם ולאוני	Tefen accession-register card G.F.0047 — Landsberg Alfred Abraham & Leoni	Tefen Museum (registrar Nili Davidson)	he	register_card	04.03.2007	register	no	Card 3 of the G.F.0047 set; itemizes this folder: Sharett letters 1956-1962 (Leoni partly living in her hometown Wiesbaden), 2 letters Leoni wrote to Sharett from Germany 1959/1962 (possibly never sent), Zweig 1926, Weizmann/Liebermann 1929-1949, Goldmann n.d., hachshara letter 1942, Britschgi-Schimmer 1940, Szold 1939, Schenker 1961, Stein 1925, Kohn 1930, Sandbank 1936, Einstein/Blumenfeld 1924, Fils 1961, Herzl-to-Cohen 1900 + Herlitz 1950. Donations 1999 & 2001.117, donor: grandson Peltz(?), Ramat Gan.
0047-2-S02	R-IRGUN		2	3	2	מכתב ברכה ליום הולדת 60 לד"ר אלפרד לנדסברג — ארגון עולי מרכז אירופה	60th-birthday letter to Dr. Alfred Landsberg — Irgun Oley Merkaz Europa	P. Rosenblüth	he	letter	29.04.1947	slip	no	p2 = older Hebrew catalogue slip; p3 = typed letter on Irgun Oley Merkaz Europa letterhead (Tel Aviv) honouring Landsberg's decades of Zionist work incl. "at the head of the Zionist movement in Germany". Signed P. Rosenblüth — likely Felix (Pinchas) Rosenblüth/Rosen.
0047-2-S03	R-KKL		4	7	4	העתק מכתב אל ד"ר וייס (קק"ל) — מכירת אוסף הבולים של וולף	Copy of letter to Dr. Weiss, JNF Jerusalem — sale of Wolf's stamp collection	[Alfred Landsberg?] (unsigned copy)	he	letter	08.03.1946	slip	no	p4 catalogue slip; p5 unsigned typed copy recommending Mr. Heimans as agent for the sale; p6 small mutual-credit-bank acknowledgment form (Tel Aviv); p7 blank.
0047-2-S04	R-EINSTEIN		8	9	8	הזמנה מאלברט איינשטיין — הרצאת קורט בלומנפלד בביתו	Invitation from Prof. Albert Einstein — Kurt Blumenfeld lecture at his home	Albert Einstein	de	letter	08.02.[1924]	register	no	Letterhead "Prof. Dr. Albert Einstein, Haberlandstr. 5" (Berlin), to Dr. Landsberg: invitation for Saturday the 16th; Blumenfeld on the intellectual/political/economic prerequisites of Jewish colonization of Palestine, discussion over tea afterwards. Register card calls the sender "Alfred Einstein"; letterhead reads Albert (Haberlandstr. 5 = Albert Einstein's Berlin address). Photograph of letter per register. p9 blank.
0047-2-S05	R-WELTSCH		10	17	10	מכתב מרוברט ולטש, חיפה — ענייני כספים	Letter from Robert Weltsch, Haifa — money matters	Robert Weltsch	de	letter	17.01.1934	register	no	Handwritten (HTR ~90%): Kaznelson's(?) protested bills of exchange, a debtor evading payment; indignation that "national leaders" use prestige to escape private obligations ("Korruption"); possible suit via a bank in Jaffa. Register links the affair to Shmarya Levin; names garbled in HTR. pp.12-17 blank versos.
0047-2-S06	R-SHARETT		18	22	18	מכתב ממשה שרת אל לאוני פרנק בוויסבאדן	Letter from Moshe Sharett to Leonie Frank in Wiesbaden	Moshe Sharett	de	letter	21.08.1962	register	yes	p18 airmail envelope "Frau Leonie Frank, Gustav-Freytag-Str., Wiesbaden"; p19 Jewish Agency Executive letterhead; p20 letter 21/8/62: thanks for her caring detailed letter, reassures about his condition, sends two reports (on the situation of Israeli Arabs and the refugee question — HTR uncertain). p21 fragment, p22 blank.
0047-2-S07	R-SHARETT		23	27	23	פתק ממשה שרת — "יום שני", תיאום שיחה ופגישת צהריים	Sharett note "Montag" — arranging a phone call and lunch	Moshe Sharett	de	letter	n.d.	register	no	Asks her not to call tomorrow morning (he drives to Jerusalem), to phone at 12:30 (tel 29258) to fix a lunch meeting; Zipporah is ill and he may have to stay in Jerusalem. pp.25-27 address side / blanks (p25 illegible).
0047-2-S08	R-SHARETT		28	32	28	כרטיסי ביקור וקטעי עיתונות על משה שרת	Sharett visiting cards + Hebrew press clippings	press / Moshe Sharett	he	clippings	n.d. [c.1960s]	no	no	p29 card "משה שרת"; p31 clipping: Henrietta Szold Prize presented to Sharett in his room at Hadassah hospital (he donates the 1000-dollar prize to the culture hall at the foot of Masada); p32 photo caption: Moshe and Zipporah Sharett on holiday in Eilat. Memorabilia kept by Leonie. p28, p30 illegible jottings.
0047-2-S09	R-SHARETT		33	36	33	מכתב ממשה שרת — תוכנית נסיעה: לוד-פריז-המבורג, אולי בון	Sharett letter — travel plans: Lod-Paris-Hamburg, possibly Bonn	Moshe Sharett	de	letter	24.06.1959	register	yes	Flies 10 July from Lod via Paris, lands next day in Hamburg (Atlantic Hotel), staying to ~17 July; Bonn undecided; will try to phone her soon after arrival; a longer passage on whether to see more of Germany is badly garbled in HTR. p33 Jewish Agency slip with note ("kurzen Urlaub"), pp.35-36 blank.
0047-2-S10	R-SHARETT		37	43	37	מכתב ממשה שרת — "מדוע נעלמת אז כה מהר?"	Sharett letter — "Warum sind Sie damals so schnell verschwunden?"	Moshe Sharett	de	letter	05.05.1959	register	no	Regrets she vanished after his (campaign) speech — they could have driven into town together; "die Rede war doch zu schwer". Forwarded to her in Wiesbaden (see her 31.5.1959 reply, S20; postmark 12 May). Second half garbled in HTR. pp.41-43 Balfour-St.-19 stationery/card, rest blank.
0047-2-S11	R-SHARETT		44	44	44	מכתב ממשה שרת — מצפון רע, עומס, נסיעה לאמריקה	Sharett letter — bad conscience, crushing workload, upcoming America trip	Moshe Sharett	de	letter	12.[10?].1961	register	no	Triple apology: her (undated) letter unanswered, a missed meeting after a rally, and the photographs she sent him lost — even after his "eifriges Jom-Kippur-Gebet"; unbearable load, travels to America at the end of the month. Month digit uncertain ("12/?/61"; after Yom Kippur, so likely October 1961).
0047-2-S12	R-SHARETT		45	47	45	מכתב ממשה שרת — איחולים לשהות באירופה	Sharett letter — wishes for her stay in Europe	Moshe Sharett	de	letter	15.07.1962	register	maybe	His life "eine vollständig tolle Wirtschaft", fears a collapse one day; glad she has arranged everything so satisfactorily; will visit her after her return; wishes "einen interessanten Aufenthalt in Europa" — the 1962 trip that took her to Stuttgart/Wiesbaden (see S19). p46 blank Israeli aerogramme form, p47 blank.
0047-2-S13	R-SHARETT		48	50	48	שני פתקים קצרים ממשה שרת	Two short Sharett notes	Moshe Sharett	de	note	04.04.1960; [10.]1960	register	no	Dated 4.4.60 and 10/60; text essentially illegible in HTR (his Tel Aviv phone 26574 recognizable). NEEDS human transcription.
