page_no	chars	conf	script	modality	engine	needs_escalation	text_file
1	2320	0.888	mixed	print	tesseract	no	ocr_tesseract/0001.txt
2	151	0.920	hebrew	print	tesseract	no	ocr_tesseract/0002.txt
3	739	0.710	mixed	print_degraded	tesseract	no	ocr_tesseract/0003.txt
4	153	0.911	hebrew	print	tesseract	no	ocr_tesseract/0004.txt
5	449	0.721	hebrew	print_degraded	tesseract	no	ocr_tesseract/0005.txt
6	257	0.759	mixed	print	tesseract	no	ocr_tesseract/0006.txt
7	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0007.txt
8	602	0.870	latin	print	tesseract	no	ocr_tesseract/0008.txt
9	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0009.txt
10	18	0.250	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0010.txt
11	22	0.464	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0011.txt
12	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0012.txt
13	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0013.txt
14	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0014.txt
15	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0015.txt
16	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0016.txt
17	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0017.txt
18	65	0.399	mixed	handwriting_or_image	tesseract	yes	ocr_tesseract/0018.txt
19	82	0.858	mixed	print	tesseract	no	ocr_tesseract/0019.txt
20	231	0.577	mixed	handwriting_or_image	tesseract	yes	ocr_tesseract/0020.txt
21	23	0.784	mixed	print_degraded	tesseract	no	ocr_tesseract/0021.txt
22	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0022.txt
23	66	0.386	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0023.txt
24	84	0.449	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0024.txt
25	20	0.461	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0025.txt
26	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0026.txt
27	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0027.txt
28	37	0.550	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0028.txt
29	13	0.737	mixed	print_degraded	tesseract	no	ocr_tesseract/0029.txt
30	17	0.493	mixed	handwriting_or_image	tesseract	yes	ocr_tesseract/0030.txt
31	1210	0.874	hebrew	print	tesseract	no	ocr_tesseract/0031.txt
32	124	0.825	hebrew	print	tesseract	no	ocr_tesseract/0032.txt
33	112	0.601	mixed	print_degraded	tesseract	no	ocr_tesseract/0033.txt
