doc_id	page_range	title	date_text	doc_type	languages	from_person	to_person	places	persons	description_he	description_de	description_en	is_heimat_relevant	heimat_rationale	notes
0047-2-D01	2-3	מכתב ברכה ליום ההולדת ה-60 של ד"ר אלפרד לנדסברג — ארגון עולי מרכז אירופה	1947-04-29	letter	he	P. Rosenblüth (Irgun Oley Merkaz Europa)	Dr. Alfred Landsberg	Tel Aviv	Alfred Landsberg; P. Rosenblüth	מכתב מודפס על נייר ארגון עולי מרכז אירופה: ברכות ליום הולדתו ה-60 של ד"ר אלפרד לנדסברג והוקרה על מסירותו רבת השנים לעניין הציוני, בין היתר "בראש התנועה הציונית בגרמניה". עמ' 2 — פתק קטלוג עברי ישן.	Getippter Brief auf Papier der Vereinigung der Einwanderer aus Mitteleuropa: Glückwünsche zum 60. Geburtstag Dr. Alfred Landsbergs und Würdigung seiner langjährigen zionistischen Arbeit, u.a. "an der Spitze der zionistischen Bewegung in Deutschland". S.2: älterer hebräischer Katalogzettel.	Typed letter on Irgun Oley Merkaz Europa (Association of Central European Immigrants) letterhead: greetings for Dr. Alfred Landsberg's 60th birthday, honouring his long Zionist service, including "at the head of the Zionist movement in Germany". p.2 is an older Hebrew catalogue slip.	false	Israel-internal congratulatory letter; the reference to his German Zionist past is honorific, not memory-work about the Heimat.	Signed פ. רוזנבליט — likely Felix (Pinchas) Rosenblüth/Rosen, head of the Irgun.
0047-2-D02	4-7	העתק מכתב אל ד"ר וייס, קק"ל — מכירת אוסף הבולים של וולף	1946-03-08	letter	he	[Alfred Landsberg?] (unsigned copy)	Dr. Weiss (Keren Kayemeth LeIsrael)	Jerusalem; Tel Aviv	Dr. Weiss; Heimans; Wolf	העתק לא חתום של מכתב אל ד"ר וייס מהקרן הקיימת לישראל: הכותב ממליץ למסור למר היימנס את מכירת אוסף הבולים של וולף. מצורפים פתק קטלוג (עמ' 4) וטופס בנקאי קטן (עמ' 6).	Unsignierter Durchschlag eines Briefes an Dr. Weiss vom Keren Kayemeth LeIsrael: Empfehlung, den Verkauf der Briefmarkensammlung Wolfs Herrn Heimans anzuvertrauen. Beiliegend Katalogzettel (S.4) und ein kleines Bankformular (S.6).	Unsigned carbon of a letter to Dr. Weiss of the Jewish National Fund, recommending that the sale of Wolf's stamp collection be entrusted to Mr. Heimans. With an older catalogue slip (p.4) and a small bank form (p.6).	false	Palestine-internal business matter.	Author presumably Alfred Landsberg (copy without signature).
0047-2-D03	8-9	הזמנה מפרופ' אלברט איינשטיין — הרצאת קורט בלומנפלד בביתו	1924-02-08	letter	de	Albert Einstein	Dr. Alfred Landsberg	Berlin (Haberlandstr. 5)	Albert Einstein; Kurt Blumenfeld	תצלום מכתב על נייר "פרופ' ד"ר אלברט איינשטיין", ברלין: הזמנה להרצאתו של קורט בלומנפלד בבית איינשטיין על התנאים הרוחניים, המדיניים והכלכליים להתיישבות יהודית בפלשתינה, ולשיחה מעמיקה על כוס תה לאחריה.	Fotografierter Brief auf Papier "Prof. Dr. Albert Einstein", Berlin: Einladung zu Kurt Blumenfelds Vortrag in Einsteins Haus über die geistigen, politischen und wirtschaftlichen Voraussetzungen der Kolonisation Palästinas durch Juden, mit gründlicher Aussprache beim Tee.	Photographed letter on "Prof. Dr. Albert Einstein" letterhead, Berlin: invitation to Kurt Blumenfeld's lecture at Einstein's home on the intellectual, political and economic prerequisites for the Jewish colonization of Palestine, with a thorough discussion over tea afterwards.	false	Pre-1933 Berlin Zionist sociability; no post-war memory dimension.	Register card names the sender "Alfred Einstein"; letterhead reads Albert Einstein (Haberlandstr. 5 was Albert Einstein's Berlin address). Year 1924 from register.
0047-2-D04	10-17	מכתב מרוברט ולטש, חיפה — ענייני כספים ושטרות	1934-01-17	letter	de	Robert Weltsch	Dr. Alfred Landsberg	Haifa; Jaffa	Robert Weltsch; Kaznelson(?); Shmarya Levin (per register)	מכתב בכתב יד מרוברט ולטש, חיפה: שטרות שחוללו וחוב שיש ליישב, וזעם על כך ש"מנהיגים לאומיים" מנצלים את יוקרתם כדי להתחמק מהתחייבויות פרטיות ("קורופציה"); נשקלת תביעה באמצעות בנק ביפו.	Handschriftlicher Brief von Robert Weltsch aus Haifa: protestierte Wechsel und eine zu regelnde Schuld; Empörung, dass "nationale Führer" ihr Prestige benutzen, sich privaten Verpflichtungen zu entziehen ("Korruption"); erwogen wird eine Klage über eine Bank in Jaffa.	Handwritten letter from Robert Weltsch, Haifa: protested bills of exchange and a debt to be settled; indignation that "national leaders" use their prestige to evade private obligations ("corruption"); a suit through a bank in Jaffa is contemplated.	false	Palestine-internal financial affair.	Names garbled in HTR; register connects the letter to Shmarya Levin. pp.12-17 blank.
0047-2-D05	18-22	מכתב ממשה שרת אל לאוני פרנק בוויסבאדן	1962-08-21	letter	de	Moshe Sharett	Leonie Frank (Wiesbaden)	Jerusalem; Wiesbaden	Moshe Sharett; Leonie Frank	מכתב ומעטפה מ-21 באוגוסט 1962, ממשה שרת אל לאוני פרנק. הצרור כולל (1) מעטפת דואר אוויר הממוענת אל "פראו לאוני פרנק, רחוב גוסטב-פרייטג, ויסבאדן", וכן (2) מכתב בכתב יד על נייר המכתבים של הנהלת הסוכנות היהודית, ירושלים, מ-21/8/62, הנפתח "ידידה יקרה": שרת מודה לה על מכתבה המפורט והנוגע ללב במסירותו, מרגיע אותה שמצבו כלל אינו כה גרוע, מזכיר בקטע שרק חלקו קריא את מה שנראה כסידורי נסיעה באונייה, תוך אזכור ונציה (הקריאה אינה ודאית), ומודיע על משלוח שני דו"חות — על מצב ערביי ישראל ועל שאלת הפליטים — שהוא מקווה שיהיו לה לעזר. שני עמודים נוספים בסריקה תועתקו באיכות ירודה מכדי שאפשר יהיה לקוראם.	Brief mit Umschlag vom 21. August 1962 von Moshe Sharett an Leonie Frank. Das Konvolut umfasst (1) einen Luftpostumschlag an "Frau Leonie Frank, Gustav-Freytag-Str., Wiesbaden" und (2) einen handschriftlichen Brief auf Papier der Exekutive der Jewish Agency, Jerusalem, datiert 21/8/62, mit der Anrede "Liebe Freundin": Sharett dankt für ihren ausführlichen, in seiner Sorgfalt rührenden Brief, beruhigt sie, dass es um ihn gar nicht so schlimm stehe, erwähnt in einer nur teilweise lesbaren Passage offenbar Reisepläne per Schiff, wobei Venedig genannt wird (Lesung unsicher), und kündigt die Übersendung zweier Berichte an — über die Lage der israelischen Araber und über die Flüchtlingsfrage —, die ihr, so hofft er, von Nutzen sein werden. Zwei weitere Seiten des Scans sind zu schlecht transkribiert, um lesbar zu sein.	Letter with envelope, 21 August 1962, from Moshe Sharett to Leonie Frank. The bundle comprises (1) an airmail envelope addressed to "Frau Leonie Frank, Gustav-Freytag-Str., Wiesbaden", and (2) a handwritten letter on the letterhead of the Executive of the Jewish Agency, Jerusalem, dated 21/8/62 and opening "Liebe Freundin": Sharett thanks her for her detailed letter, touching in its care, reassures her that things are not at all so bad with him, mentions in an only partly legible passage what appear to be travel arrangements by ship, with Venice named (reading uncertain), and announces that he is sending her two reports — on the situation of Israel's Arabs and on the refugee question — which he hopes will be of use to her. Two further pages of the scan are too poorly transcribed to read.	true	Letter sent to Leonie Frank at her Wiesbaden address during her post-war residence in her German home town (the folder's remigration axis).	HTR of p.20 partly garbled; envelope p.18 secures the Wiesbaden address.
0047-2-D06	23-27	פתק ממשה שרת — "יום שני": תיאום שיחת טלפון ופגישת צהריים	n.d.	letter	de	Moshe Sharett	Leonie Frank	Jerusalem; Tel Aviv	Moshe Sharett; Zipporah Sharett	פתק בכתב יד: מבקש שלא תטלפן מחר בבוקר (הוא נוסע לירושלים), אלא ב-12:30 (טל' 29258) כדי לקבוע פגישת צהריים; ציפורה חולה וייתכן שיישאר בירושלים.	Handschriftlicher Zettel: sie möge nicht morgen früh anrufen (er fährt nach Jerusalem), sondern um 12.30 (Tel. 29258), um ein Mittagessen zu verabreden; Zipporah ist krank, er muss vielleicht in Jerusalem bleiben.	Handwritten note: she should not phone tomorrow morning (he drives to Jerusalem) but at 12:30 (tel. 29258) to arrange a lunch meeting; Zipporah is ill and he may have to stay in Jerusalem.	false	Israel-internal social arrangement.	Undated ("Montag"). pp.25-27 address side/blanks, p.25 illegible.
0047-2-D07	28-32	כרטיסי ביקור וקטעי עיתונות על משה שרת	n.d. [c.1960s]	clippings	he	press		Jerusalem (Hadassah); Eilat; Masada	Moshe Sharett; Henrietta Szold; Zipporah Sharett	כרטיס ביקור "משה שרת" ושני קטעי עיתונות: הענקת פרס הנרייטה סולד לשרת במיטתו בבית החולים הדסה (את הפרס הוא מעביר למשכן התרבות למרגלות מצדה), וכיתוב תצלום — משה וציפורה שרת בחופשה באילת.	Visitenkarte "Moshe Sharett" und zwei hebräische Zeitungsausschnitte: Verleihung des Henrietta-Szold-Preises an Sharett an seinem Krankenbett im Hadassah-Spital (den Preis stiftet er dem Kulturzentrum am Fuße Massadas) sowie Bildunterschrift: Moshe und Zipporah Sharett im Urlaub in Eilat.	Visiting card "Moshe Sharett" and two Hebrew press clippings: the Henrietta Szold Prize presented to Sharett at his Hadassah hospital bedside (he donates it to the culture hall at the foot of Masada), and a photo caption of Moshe and Zipporah Sharett on holiday in Eilat.	false	Israeli press memorabilia about Sharett; no German/Heimat content.	Kept by Leonie as memorabilia; pp.28, 30 illegible jottings.
0047-2-D08	33-36	מכתב ממשה שרת — תוכנית הנסיעה: לוד-פריז-המבורג, אולי בון	1959-06-24	letter	de	Moshe Sharett	Leonie Frank (Wiesbaden)	Lod; Paris; Hamburg; Bonn; Germany	Moshe Sharett; Leonie Frank	צרור של שני מכתבים ממשה שרת אל לאוני פרנק. (1) מכתב קצר ללא תאריך שנכתב בעת חופשה קצרה (בכותרת נראה "אילת"; הקריאה אינה ודאית), בפנייה "לאוני היקרה": מצב בריאותו עדיין מותיר מקום רב לשיפור; בעניין הדת הביע, בתשובה לשאלה, את דעתו האישית על כמה שרידים, אך אין בכוונתו לפתוח במערכה; תודה מיוחדת על ברכותיה ליום הולדתו — "בעצם אירוע די מדכא" — בחתימת "מ.". (2) מכתב מ-24 ביוני 1959 ("ידידה יקרה") ובו תוכנית הנסיעה: טיסה ב-10 ביולי מלוד דרך פריז ונחיתה למחרת בהמבורג (מלון אטלנטיק); הוא ישתדל לטלפן אליה סמוך להגעתו ויישאר בהמבורג ככל הנראה עד ה-17 ביולי לערך; הנסיעה לבון מוטלת בספק — הוא מקווה שלא תצא לפועל; עם תום התוכנית בכוונתו לעזוב את גרמניה, וקטע ארוך יותר על השאלה אם לראות עוד מן הארץ (מוזכר דרום גרמניה) משובש בפענוח. שני עמודים נוספים תועתקו באיכות ירודה מכדי שאפשר יהיה לקוראם.	Konvolut aus zwei Briefen von Moshe Sharett an Leonie Frank. (1) Ein kurzer undatierter Brief, geschrieben während eines kurzen Urlaubs (die Ortsangabe scheint "Elat" zu lauten; Lesung unsicher), mit der Anrede "Liebe Leonie": sein Gesundheitszustand lasse noch viel zu wünschen übrig; in der Religionsangelegenheit habe er, eine Frage beantwortend, seine persönliche Meinung über manche Überbleibsel geäußert, beabsichtige aber keine Kampagne; besonderer Dank für ihre Glückwünsche zu seinem Geburtstag — "eigentlich eine ziemlich betrübende Gelegenheit" — gezeichnet "M.". (2) Ein Brief vom 24. Juni 1959 ("Liebe Freundin") mit seinen Reiseplänen: Abflug am 10. Juli von Lod über Paris, Ankunft am nächsten Tag in Hamburg (Hotel Atlantic); er will sie möglichst bald nach der Ankunft anrufen und bleibt wahrscheinlich bis etwa 17. Juli in Hamburg; ob er nach Bonn fährt, ist fraglich — er hofft es nicht; nach Abschluss des Programms beabsichtigt er, Deutschland zu verlassen; eine längere Passage über die Frage, mehr vom Land zu sehen (Süddeutschland wird erwähnt), ist im HTR entstellt. Zwei weitere Seiten sind zu schlecht transkribiert, um lesbar zu sein.	Bundle of two letters from Moshe Sharett to Leonie Frank. (1) A short undated note written during a brief holiday (the heading appears to read "Elat"; reading uncertain), addressed "Liebe Leonie": his health still leaves much to be desired; on the religious question he has, in answering a query, expressed his personal opinion about certain vestiges but intends to launch no campaign; special thanks for her greetings on his birthday — "actually a rather depressing occasion" — signed "M.". (2) A letter of 24 June 1959 ("Liebe Freundin") setting out his travel plans: he flies on 10 July from Lod via Paris and lands the next day in Hamburg (Hotel Atlantic); he will try to telephone her soon after arrival and will probably stay in Hamburg until about 17 July; whether he goes to Bonn is in doubt — he hopes not; after the programme closes he intends to leave Germany, and a longer passage on the question of seeing more of the country (southern Germany is mentioned) is garbled in the HTR. Two further pages are too poorly transcribed to read.	true	Post-war trip to Germany explicitly planned, including contact with Leonie Frank living in Wiesbaden.	p.33 Jewish Agency slip with note "kurzen Urlaub"; pp.35-36 blank.
0047-2-D09	37-43	מכתב ממשה שרת — "מדוע נעלמת אז כה מהר?"	1959-05-05	letter	de	Moshe Sharett	Leonie Frank	Israel	Moshe Sharett; Leonie Frank	מכתב מ-5.5.1959: שרת תוהה מדוע נעלמה כה מהר אחרי נאומו — יכלו לנסוע יחד העירה; "הנאום היה כנראה כבד מדי". חלקו השני משובש בפענוח.	Brief vom 5.5.1959: Sharett fragt, warum sie damals nach seiner Rede so schnell verschwunden sei — man hätte zusammen in die Stadt fahren können; "die Rede war doch zu schwer". Die zweite Hälfte ist im HTR entstellt.	Letter of 5 May 1959: Sharett asks why she vanished so quickly after his speech — they could have driven into town together; "the speech was probably too heavy". Second half garbled in HTR.	false	Content is Israel-internal (his campaign speech); its later forwarding to Wiesbaden is documented in her reply (D19), not in this text.	Postmark 12 May per her 31.5.1959 reply. pp.41-43 Balfour-St.-19 stationery/card.
0047-2-D10	44	מכתב ממשה שרת — מצפון רע, עומס עבודה, נסיעה לאמריקה	1961-[10?]-12	letter	de	Moshe Sharett	Leonie Frank	Jerusalem; America	Moshe Sharett; Leonie Frank	התנצלות משולשת: מכתבה (ללא תאריך) שלא נענה, מפגש שלא יצא לפועל אחרי עצרת, והתצלומים ששלחה — שאבדו, גם אחרי "תפילת יום הכיפורים הנלהבת" שלו; העומס בלתי נסבל, ובסוף החודש נסיעה לאמריקה.	Dreifache Entschuldigung: ihr (undatierter) Brief blieb unbeantwortet, ein Zusammentreffen nach einer Versammlung kam nicht zustande, und die von ihr geschickten Fotografien hat er verloren — auch nach seinem "eifrigen Jom-Kippur-Gebet"; die Last unerträglich, Ende des Monats Reise nach Amerika.	Threefold apology: her (undated) letter unanswered, a failed meeting after a rally, and the photographs she sent — lost, even after his "fervent Yom Kippur prayer"; the burden unbearable, end of the month a journey to America.	false	Israel-internal personal letter; no German/Heimat content.	Date line read "12/?/61"; after Yom Kippur, so likely October 1961.
