page_no	chars	mean_conf
1	2320	0.888
2	151	0.92
3	739	0.71
4	153	0.911
5	449	0.721
6	257	0.759
7	0	0.0
8	602	0.87
9	0	0.0
10	18	0.25
11	22	0.464
12	0	0.0
13	0	0.0
14	0	0.0
15	0	0.0
16	0	0.0
17	0	0.0
18	65	0.399
19	82	0.858
20	231	0.577
21	23	0.784
22	0	0.0
23	66	0.386
24	84	0.449
25	20	0.461
26	0	0.0
27	0	0.0
28	37	0.55
29	13	0.737
30	17	0.493
31	1210	0.874
32	124	0.825
33	112	0.601
34	30	0.45
35	0	0.0
36	0	0.0
37	26	0.269
38	0	0.0
39	0	0.0
40	0	0.0
41	98	0.607
42	0	0.0
43	7	0.93
44	113	0.507
45	302	0.472
46	212	0.657
47	0	0.0
48	6	0.348
49	192	0.492
50	13	0.346
51	20	0.787
52	348	0.801
53	34	0.6
54	35	0.786
55	35	0.904
56	0	0.0
57	316	0.477
58	111	0.448
59	34	0.476
60	0	0.0
61	51	0.523
62	0	0.0
63	41	0.517
64	0	0.0
65	0	0.0
66	30	0.632
67	182	0.881
68	0	0.0
69	86	0.467
70	0	0.0
71	60	0.71
72	0	0.0
73	41	0.923
74	40	0.923
75	24	0.577
76	0	0.0
77	7	0.556
78	0	0.0
79	0	0.0
80	1715	0.912
81	410	0.93
82	2197	0.931
83	3414	0.937
84	0	0.0
85	34	0.47
86	0	0.0
87	574	0.412
88	454	0.409
89	0	0.0
90	198	0.457
91	44	0.45
92	0	0.0
93	0	0.0
94	15	0.482
95	0	0.0
96	958	0.881
97	578	0.889
98	998	0.944
99	376	0.916
100	32	0.632
101	0	0.0
102	79	0.697
103	151	0.952
104	1295	0.923
105	273	0.951
106	686	0.918
107	0	0.0
108	53	0.927
109	0	0.0
110	172	0.953
111	0	0.0
112	39	0.648
113	0	0.0
114	0	0.0
115	0	0.0
116	332	0.921
117	0	0.0
118	0	0.0
119	47	0.925
120	56	0.614
121	3	0.367
122	11	0.376
123	832	0.4
124	610	0.435
125	649	0.416
126	326	0.469
127	0	0.0
128	477	0.45
129	414	0.415
130	0	0.0
131	149	0.512
132	0	0.0
133	16	0.47
134	37	0.662
135	107	0.529
136	0	0.0
137	414	0.427
138	597	0.403
139	560	0.364
140	414	0.418
141	0	0.0
142	17	0.918
143	139	0.764
144	0	0.0
145	212	0.58
146	0	0.0
147	0	0.0
148	312	0.516
149	0	0.0
150	111	0.671
151	102	0.838
152	0	0.0
153	2028	0.893
154	1253	0.887
155	305	0.718
156	0	0.0
157	1920	0.891
158	0	0.0
