doc_id	folder	case_id	page_range	title	date_text	doc_type	languages	is_heimat_relevant	include	note
0047-2-D05	0047-2	PWV-17	18-22	מכתב ממשה שרת אל לאוני פרנק בוויסבאדן	1962-08-21	letter	de	true	yes	
0047-2-D08	0047-2	PWV-17	33-36	מכתב ממשה שרת — תוכנית הנסיעה: לוד-פריז-המבורג, אולי בון	1959-06-24	letter	de	true	yes	
0047-2-D14	0047-2	PWV-17	57-60	"מכתב ממשה שרת, ירושלים — המבורג, בון, שטוקהולם; ""היכן בכלל ויסבאדן?"""	1959-05-29	letter	de	true	yes	
0047-2-D18	0047-2	PWV-17	80-81	מכתב מלאוני פרנק אל משה שרת — לפני נסיעה ממושכת; הדירה בוויסבאדן	n.d. [c. June 1962]	letter	de	true	yes	
0047-2-D19	0047-2	PWV-17	82-83	"מכתב מלאוני פרנק, ויסבאדן — ""זרה ובודדה בעיר שבה נולדו חמישה דורות ממשפחתי"""	1959-05-31/1959-06-10	letter	de	true	yes	
0047-2-D33	0047-2	PWV-17	133-141	"מכתב מד""ר מ. שנקר — ""אולי בכל זאת תשובי פעם לוויסבאדן?"""	1961-11-16	letter	de	true	yes	
0047-2-D37	0047-2	PWV-17	153-154	מכתב מוכתב מגרמניה אל לאוני — כנראה אלזה פילס	n.d. [c.1961]	letter	de	true	yes	
0113-S02	0113-41	PWV-12	13-27	"Deutschland, eine Winterreise (Vortrag für den ""Golden-Age-Club"" der Wizo Nahariya)"	1969-04-28	lecture	de	true	yes	
0185-D04	0185-2	PWV-18	53-60	גבעת ברנר — התכתבות/יומן זליגמן (גרזון)	1996-10-29	letter	de, he	true	yes	
0185-D11	0185-2	PWV-18	197-220	סיפורי חיים גבעת ברנר — ואלי (גרזון) וארנסט זליגמן; חזרה לגרמניה 1995	2002-03 (retrieved 24-25/03/2002)	web_biography	he	true	yes	
0276-D01	0276-6	PWV-16	1	Handschriftliche Notiz	1987?	manuscript_note	he,de	yes	yes	
0276-D02	0276-6	PWV-16	2	Ein Wiedersehen nach 50 Jahren — Ehemalige jüdische Bürger zu Gast in ihrer alten Heimatstadt Köln	1986-03-07	newspaper_article	de	true	yes	
0276-D04	0276-6	PWV-16	4-9	STADT KÖLN — Presseklippings (Rathaus-Empfang / Rosenmontag, Gäste aus Israel)	1987-02-25 ff	newspaper_clippings	de	true	yes	
0276-D05	0276-6	PWV-16	10	Frühlingsfahrt in die Domstadt Köln	1986	newspaper_article	de	true	yes	
0276-D06	0276-6	PWV-16	11-28	Programmheft: Israel-Delegationsbesuch in Köln, Februar 1986 (Gesellschaft für Christlich-Jüdische Zusammenarbeit)	1986-02-07/14	program_booklet	de	true	yes	
0276-D09	0276-6	PWV-16	39-40	Die Stadt KÖLN lud ehemalige Bürger ein / Ehemalige Kölner aus Israel zu Gast	1986	newspaper_article	de	true	yes	
0276-D13	0276-6	PWV-16	50-52	Ansprache von Heinrich (Zvi) Schopler beim Empfang der Stadt Köln, 27.05.1987	1987-05-27	speech	de	true	yes	
0276-D15	0276-6	PWV-16	55-61	Pressecho zum Besuch (Frankfurter Allgemeine Zeitung; Aufbau)	1986-12-02 ff	newspaper_clippings	de	true	yes	
0276-D16	0276-6	PWV-16	62-66	Rede von Oberbürgermeister Norbert Burger beim Empfang, 27.05.1987	1987-05-27	speech	de	true	yes	
0276-D17	0276-6	PWV-16	67-68	Ansprache von Dr. Erich Loeb, Haifa, beim Empfang, 27.05.1987	1987-05-27	speech	de	true	yes	
0422-S07	0422-3	PWV-13	108-162	Press clippings: Reichskristallnacht 50th-anniversary week, Hohenlohe	1988-11	newspaper_clippings	de	true	yes	
0422-S13	0422-3	PWV-13	242-248	Ecumenical service order + Simon Berlinger lecture invitation, Berlichingen 17.11.1968	1968-11-17	invitation_program	de	true	yes	
0422-S16	0422-3	PWV-13	279-297	Berlinger 1968 invitation reprise + Kristallnacht + Israel/Palestine solidarity materials	1968-1988	mixed_leaflets	de	true	yes	
0422-S18	0422-3	PWV-13	312-355	Herzlich willkommen in Schwäbisch Hall welcome booklet + city guide/maps/letters	1983-1985	city_brochure	de+en+fr	true	yes	
0444-D01	0444-3	PWV-14	6-7	Offizielle Einladung der Stadt Worms an Hans Mannheimer	1964-11-06	letter	de	true	yes	
0444-D02	0444-3	PWV-14	5	Handschriftliche hebräische Notiz, 1964	1964	manuscript_note	he	true	yes	
0444-D03	0444-3	PWV-15	25-33	Ehrenbürgerschaft Worms: Stadtrats-Antrag 1985 und Mannheimers Absage	1985	letters	de	true	yes	
0444-D04	0444-3	PWV-15	8-24	Korrespondenz 1988 (u.a. Memorial Committee for Jewish Victims of Nazism from Worms)	1988	letters	de	true	yes	
0444-D05	0444-3	PWV-15	225-247	"Presseausschnitte: Wormser Zeitung (1979–1982) und ""Telem""-Bulletin"	1979-1982	newspaper_clippings	de,he	true	yes	
0444-D10	0444-3	PWV-15	249-252	Handschriftliche Notizen	n.d.	manuscript_note	de,he	true	yes	
