section_id	parent_r_item	transkribus_doc_id	page_start	page_end	divider_page	title_he	title_de_or_en	author	language	doc_type	date_text	in_existing_catalog	heimat_relevant	notes
0005-2-S01	NONE		1	6	1	רישומים משפחתיים בכתב יד — פתיחת התיק	Handwritten family notes — folder opening	family (unidentified hand)	mixed	manuscript_note	n.d.	no	maybe	pp.1-2 dense Hebrew+German cursive; pp.3-5 sparser notes incl. life dates ("1853 - 1923" = Johanna Moses; "2/1944"); p.6 blank. Possibly a family inventory/contents note for the folder. NEEDS human transcription. No legacy R-item match.
0005-2-S02	R0015		7	194	7	מקס הקר — "מסילות הברזל של תורכיה האסייתית" (תזה מודפסת)	Die Eisenbahnen der asiatischen Tuerkei (printed thesis offprint)	Dipl.-Ing. M. (Max) Hecker (Haifa, Palaestina)	de	printed_thesis	1914	yes	no	MATCHES R0015. One document: p.7 cover with handwritten "HECKER Die Eisenbahnen der asiatischen Tuerkei" + Archiv fuer Eisenbahnwesen (Julius Springer, Berlin) masthead; pp.8-9 publisher adverts/blank; pp.10-184 full text (byline "Von Dipl.-Ing. M. Hecker (Haifa, Palaestina). Mit 1 Karte", serialized "Fortsetzung" at p.99); p.185 Uebersichtskarte der Eisenbahnen der asiatischen Tuerkei; pp.186-189 Tafeln (Laengenprofile, Betriebseinnahmen, Gueter-/Personenverkehr); p.190 blank; pp.191-192 back adverts; pp.193-194 blank.
0005-2-S03	R0016		195	231	195	"היהודי הסטודנט" — רבעון, שנה ב' חוברת 1, מרץ 1905	Der Juedische Student, 2. Jahrgang, Quartalsheft 1 (Maerz 1905)	ed. Dr. Emil Cohn; article by U. Moses	de	periodical_issue	1905-03	yes	no	MATCHES R0016. Complete issue, Vierteljahresschrift der Vereine Juedischer Studenten (Bund Juedischer Korporationen), Juedischer Verlag Berlin-Charlottenburg. Contains U. (Udo) Moses, "Entstehung und Geschichte der Sekte der Sabbatarier" (approx. pp.210-219); also Richard Asch "Zur juedischen Rassenfrage", Isidor Zlocisti, Hebbel/Heine material, student-politics chronicle. p.229 blank; p.230 Verlag "Zion" (Ussischkin) advert; p.231 blank.
0005-2-S04	NONE		232	235	232	פתק בכתב יד — "זכרונות" / פרידה הקר	Handwritten note — "Erinnerungen" / daughter Frieda Hecker	family (Frieda Moses-Hecker?)	mixed	manuscript_note	n.d.	no	maybe	p.232 image with trace text; p.233 handwritten note reading in part "Erinnerungen ... Tochter Frieda Hecker" — apparently a cover note introducing the following memorial material; pp.234-235 blank. NEEDS human transcription.
0005-2-S05	R0009		236	270	236	יוהנה מוזס — "מבחר" — חוברת שירים מודפסת ליום הולדתה ה-70	Johanna Moses — Eine Auswahl (printed poem booklet, 70th birthday)	Johanna Moses	de	poetry_booklet	1923-02-02	yes	no	MATCHES R0009. Printed booklet "Eine Auswahl, gewidmet von ihren Kindern zu ihrem 70. Geburtstag am 2. Februar 1923"; Druck von Arthur Scholem, Berlin SW 19. Religious/family poems: Gebet, Jugend, Das Haeuschen, Vor deinem Grabe, Das tolle Fest, Kadisch-sagen poems etc. pp.268-270 blank trailing pages.
0005-2-S06	NONE		271	271	271	פתק עברי מודרני עם מספרי טלפון (1974)	Modern Hebrew slip with phone numbers (1974)	unknown	he	modern_note	1974	no	no	Small modern printed/typed Hebrew slip: "(1974)" and home/factory telephone numbers (063-77108, 063-78981-2). Probably a deposit-era contact note. No legacy match.
0005-2-S07	R0004;R0005;R0012;R0013		272	280	272	תצלומים משפחתיים (אודו מוזס חייל; נשות משפחת ריינוס)	Family photographs (Udo Moses soldier; Reinus women)	Atelier Fritz Krauskopf, Koenigsberg i. Pr. u. Ostseebad Cranz (and others)	mixed	photographs	c.1886-1914	yes	no	Photo block: mostly image-only pages; p.273 studio imprint "Fritz Krauskopf, Koenigsberg i. Pr. und Ostseebad Cranz" with "1886"; p.279 handwritten caption page. Almost certainly the legacy photo items R0004+R0012 (Udo Moses as soldier) and R0005+R0013 (Reinus women); individual photos not distinguishable from OCR — verify against scans. R0014 (wedding headscarf) may also be here.
0005-2-S08	R0002		281	284	281	גלוית שדה של אודו מוזס מהחפירות אל אמו יוהנה מוזס, טפיאו	Udo Moses field-post card from the trenches to Johanna Moses, Tapiau	Udo Moses	de	postcard	1914 (OCR reads "5.6.14"; likely autumn 1914)	yes	no	MATCHES R0002. p.281 typed transcript: "Feld Post / Schuetzengraben", to Frau Johanna Moses, Tapiau (Ostpreussen) — thanks for parcel, battle under way, signed "Euer Udo". pp.282-284 blank/image pages, presumably the photographed original card. Date digit uncertain in OCR (Udo fell 7.11.1914 at Stalluponen).
0005-2-S09	R0003		285	290	285	מכתב תנחומים אל פרידה ומקס הקר על נפילת ברונו מוזס, 29.11.1917	Condolence letter to Frieda and Max Hecker on the death of Bruno Moses, 29.11.1917	possibly Arthur Pelz (signature "Pelz" on p.287)	de	letter	1917-11-29	yes	no	MATCHES R0003 (and possibly linked to R0007 — name "Pelz" legible in the handwritten pages). p.285 typed transcript: mourns brother Bruno ("Bruno, kleiner Bruder ... ist gefallen") and recalls Udo's death and return from Argentina; pp.286-288 handwritten original (NEEDS human transcription); pp.289-290 blank.
0005-2-S10	R0011		291	298	291	"אחי היקר אודו" — מכתבים והספדים ממחברתה של פרידה מוזס-הקר, 1944 (עותק א')	"Lieber Bruder Udo" — Briefe und Nachrufe from Frieda Moses-Hecker's notebook, 1944 (copy 1)	Frieda Moses-Hecker (compiler); letters by Udo Moses	de	memorial_typescript	1944 (materials 1914-1916)	yes	yes	MATCHES R0011; contains the Udo Moses Argentina letter material of R0006. Typescript "Briefe und Nachrufe, eingetragen in ein Heft von Frieda Moses-Hecker, 1944" with Nietzsche motto: Udo's Buenos Aires letter 30.7.1914, travel cards Genua 24.8./Muenchen 27.8./Koenigsberg 31.8.1914, Feldpost, account of his death leading his platoon, and the Juedische Rundschau obituary of Nov 1916 (fell near Stalluponen 7.11.1914).
