doc_id	legacy_item_id	confidence	note
0005-2-D01	NEW	high	handwritten family notes opening the folder — no legacy record
0005-2-D02	IL-MTFN-001-G-F-0005-002-R0015	high	Max Hecker thesis, Springer 1914 offprint, map + plates
0005-2-D03	IL-MTFN-001-G-F-0005-002-R0016	high	Der Juedische Student March 1905 with Udo Moses Sabbatarians article
0005-2-D04	NEW	medium	"Erinnerungen / Tochter Frieda Hecker" cover note pp.232-235
0005-2-D05	IL-MTFN-001-G-F-0005-002-R0009	high	Johanna Moses "Eine Auswahl" 70th-birthday booklet (Arthur Scholem, Berlin 1923)
0005-2-D06	NEW	low	1974 Hebrew phone-number slip — ephemera, no legacy record
0005-2-D07	IL-MTFN-001-G-F-0005-002-R0004	medium	photo block pp.272-280 (Koenigsberg studio 1886); covers R0004+R0012 (Udo soldier) and R0005+R0013 (Reinus women); R0014 headscarf possibly here — needs visual pass
0005-2-D08	IL-MTFN-001-G-F-0005-002-R0002	high	Udo Moses field-post card, typed transcript + originals
0005-2-D09	IL-MTFN-001-G-F-0005-002-R0003	high	condolence letter 29.11.1917 re Bruno Moses; signature "Pelz" — possibly also legacy R0007 (Pelz eulogy)
0005-2-D10	IL-MTFN-001-G-F-0005-002-R0011	high	Frieda's 1944 notebook typescript (two identical copies); contains the R0006 Argentina letters incl. Buenos Aires 30.7.1914
0005-2-D11	IL-MTFN-001-G-F-0005-002-R0010	low	Hebrew manuscript poem page p.308 — plausibly the R. Eliyahu Reinus poem (R0010)
0005-2-D12	IL-MTFN-001-G-F-0005-002-R0008	high	Grete Salus KZ-Oederan poems, German + Hebrew tr. Leah Alon 1998
0005-2-D13	IL-MTFN-001-G-F-0005-002-R0001	high	Stammbaum Hecker/Moses/Reinus + genealogical notes to 1956
