page_no	chars	conf	script	modality	engine	needs_escalation	text_file
1	353	0.450	mixed	handwriting_or_image	tesseract	yes	ocr_tesseract/0001.txt
2	617	0.395	mixed	handwriting_or_image	tesseract	yes	ocr_tesseract/0002.txt
3	35	0.422	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0003.txt
4	63	0.453	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0004.txt
5	135	0.505	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0005.txt
6	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0006.txt
7	416	0.851	latin	print	tesseract	no	ocr_tesseract/0007.txt
8	905	0.918	latin	print	tesseract	no	ocr_tesseract/0008.txt
9	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0009.txt
10	1872	0.918	latin	print	tesseract	no	ocr_tesseract/0010.txt
11	2792	0.929	latin	print	tesseract	no	ocr_tesseract/0011.txt
12	2850	0.945	latin	print	tesseract	no	ocr_tesseract/0012.txt
13	2826	0.952	latin	print	tesseract	no	ocr_tesseract/0013.txt
14	2866	0.930	latin	print	tesseract	no	ocr_tesseract/0014.txt
15	2777	0.948	latin	print	tesseract	no	ocr_tesseract/0015.txt
16	2825	0.949	latin	print	tesseract	no	ocr_tesseract/0016.txt
17	2820	0.948	latin	print	tesseract	no	ocr_tesseract/0017.txt
18	2773	0.950	latin	print	tesseract	no	ocr_tesseract/0018.txt
19	2842	0.950	latin	print	tesseract	no	ocr_tesseract/0019.txt
20	2562	0.947	latin	print	tesseract	no	ocr_tesseract/0020.txt
21	1217	0.782	latin	print	tesseract	no	ocr_tesseract/0021.txt
22	1217	0.736	latin	print_degraded	tesseract	no	ocr_tesseract/0022.txt
23	2151	0.803	latin	print	tesseract	no	ocr_tesseract/0023.txt
24	2839	0.944	latin	print	tesseract	no	ocr_tesseract/0024.txt
25	2998	0.937	latin	print	tesseract	no	ocr_tesseract/0025.txt
26	2891	0.939	latin	print	tesseract	no	ocr_tesseract/0026.txt
27	2738	0.931	latin	print	tesseract	no	ocr_tesseract/0027.txt
28	3025	0.943	latin	print	tesseract	no	ocr_tesseract/0028.txt
29	2882	0.945	latin	print	tesseract	no	ocr_tesseract/0029.txt
30	2813	0.944	latin	print	tesseract	no	ocr_tesseract/0030.txt
31	2542	0.939	latin	print	tesseract	no	ocr_tesseract/0031.txt
32	2818	0.939	latin	print	tesseract	no	ocr_tesseract/0032.txt
33	2651	0.931	latin	print	tesseract	no	ocr_tesseract/0033.txt
34	2456	0.943	latin	print	tesseract	no	ocr_tesseract/0034.txt
35	2447	0.934	latin	print	tesseract	no	ocr_tesseract/0035.txt
36	2891	0.943	latin	print	tesseract	no	ocr_tesseract/0036.txt
37	2691	0.932	latin	print	tesseract	no	ocr_tesseract/0037.txt
38	2329	0.913	latin	print	tesseract	no	ocr_tesseract/0038.txt
39	1427	0.871	latin	print	tesseract	no	ocr_tesseract/0039.txt
40	1878	0.904	latin	print	tesseract	no	ocr_tesseract/0040.txt
41	1964	0.884	latin	print	tesseract	no	ocr_tesseract/0041.txt
42	1712	0.854	latin	print	tesseract	no	ocr_tesseract/0042.txt
43	2792	0.936	latin	print	tesseract	no	ocr_tesseract/0043.txt
44	2636	0.931	latin	print	tesseract	no	ocr_tesseract/0044.txt
45	2338	0.928	latin	print	tesseract	no	ocr_tesseract/0045.txt
46	2725	0.928	latin	print	tesseract	no	ocr_tesseract/0046.txt
47	2795	0.937	latin	print	tesseract	no	ocr_tesseract/0047.txt
48	2605	0.927	latin	print	tesseract	no	ocr_tesseract/0048.txt
49	2852	0.925	latin	print	tesseract	no	ocr_tesseract/0049.txt
50	2980	0.940	latin	print	tesseract	no	ocr_tesseract/0050.txt
51	2721	0.936	latin	print	tesseract	no	ocr_tesseract/0051.txt
52	2807	0.942	latin	print	tesseract	no	ocr_tesseract/0052.txt
53	2508	0.936	latin	print	tesseract	no	ocr_tesseract/0053.txt
54	2907	0.913	latin	print	tesseract	no	ocr_tesseract/0054.txt
55	2617	0.920	latin	print	tesseract	no	ocr_tesseract/0055.txt
56	2828	0.916	latin	print	tesseract	no	ocr_tesseract/0056.txt
57	1985	0.932	latin	print	tesseract	no	ocr_tesseract/0057.txt
58	2569	0.912	latin	print	tesseract	no	ocr_tesseract/0058.txt
59	2808	0.931	latin	print	tesseract	no	ocr_tesseract/0059.txt
60	2768	0.893	latin	print	tesseract	no	ocr_tesseract/0060.txt
61	2690	0.913	latin	print	tesseract	no	ocr_tesseract/0061.txt
62	2766	0.902	latin	print	tesseract	no	ocr_tesseract/0062.txt
63	2670	0.941	latin	print	tesseract	no	ocr_tesseract/0063.txt
64	2851	0.940	latin	print	tesseract	no	ocr_tesseract/0064.txt
65	2618	0.933	latin	print	tesseract	no	ocr_tesseract/0065.txt
66	1341	0.932	latin	print	tesseract	no	ocr_tesseract/0066.txt
67	1358	0.932	latin	print	tesseract	no	ocr_tesseract/0067.txt
68	2821	0.907	latin	print	tesseract	no	ocr_tesseract/0068.txt
69	2539	0.934	latin	print	tesseract	no	ocr_tesseract/0069.txt
70	2867	0.915	latin	print	tesseract	no	ocr_tesseract/0070.txt
71	2761	0.939	latin	print	tesseract	no	ocr_tesseract/0071.txt
72	2853	0.927	latin	print	tesseract	no	ocr_tesseract/0072.txt
73	2603	0.933	latin	print	tesseract	no	ocr_tesseract/0073.txt
74	2729	0.920	latin	print	tesseract	no	ocr_tesseract/0074.txt
75	2405	0.932	latin	print	tesseract	no	ocr_tesseract/0075.txt
76	2246	0.877	latin	print	tesseract	no	ocr_tesseract/0076.txt
77	2464	0.940	latin	print	tesseract	no	ocr_tesseract/0077.txt
78	2821	0.876	latin	print	tesseract	no	ocr_tesseract/0078.txt
79	2331	0.928	latin	print	tesseract	no	ocr_tesseract/0079.txt
80	1903	0.829	latin	print	tesseract	no	ocr_tesseract/0080.txt
81	2646	0.940	latin	print	tesseract	no	ocr_tesseract/0081.txt
82	2879	0.918	latin	print	tesseract	no	ocr_tesseract/0082.txt
83	2790	0.944	latin	print	tesseract	no	ocr_tesseract/0083.txt
84	2817	0.895	latin	print	tesseract	no	ocr_tesseract/0084.txt
85	2755	0.940	latin	print	tesseract	no	ocr_tesseract/0085.txt
