doc_id	page_range	title	date_text	doc_type	languages	from_person	to_person	places	persons	description_he	description_de	description_en	is_heimat_relevant	heimat_rationale	notes
0005-2-D01	1-6	רישומים משפחתיים בכתב יד — פתיחת התיק	n.d.	manuscript_note	he, de	family (unidentified hand)		Tapiau; Palestine/Israel	Johanna Moses (1853-1923 per note)	דפי פתיחה בכתב יד (עברית וגרמנית), ובהם תאריכי חיים ("1853 - 1923") ורישומים משפחתיים; ככל הנראה רשימת תוכן או הערות משפחתיות לתיק.	Handschriftliche Eingangsblaetter (hebraeisch und deutsch) mit Lebensdaten ("1853 - 1923") und Familiennotizen; vermutlich eine Inhalts- oder Familiennotiz zur Mappe.	Handwritten opening leaves (Hebrew and German) with life dates ("1853 - 1923") and family jottings; probably a contents/family note for the folder.	false	Content undetermined pending transcription; appears administrative/genealogical.	NEEDS human transcription. No legacy R-item match.
0005-2-D02	7-194	Die Eisenbahnen der asiatischen Tuerkei — printed thesis offprint	1914	printed_thesis	de	Max Hecker		Haifa (Palestine); Berlin; Asian Turkey (Anatolia, Baghdad railway, Hedjaz)	Max Hecker	עבודת הדוקטור/מחקר המודפס של מקס הקר, "מסילות הברזל של תורכיה האסייתית", מאת דיפל'-אינג' מ' הקר (חיפה, פלשתינה), בהוצאת "ארכיב פיר אייזנבאנווזן" (יוליוס שפרינגר, ברלין), 1914. כולל את הטקסט המלא, מפה כללית של מסילות תורכיה האסייתית ולוחות גרפיים של פרופילי אורך ונתוני תנועה והכנסות.	Max Heckers gedruckte Abhandlung "Die Eisenbahnen der asiatischen Tuerkei" von Dipl.-Ing. M. Hecker (Haifa, Palaestina), erschienen im Archiv fuer Eisenbahnwesen (Julius Springer, Berlin), 1914. Enthaelt den vollstaendigen Text, eine Uebersichtskarte der Eisenbahnen der asiatischen Tuerkei sowie Tafeln mit Laengenprofilen und Betriebs-/Verkehrsstatistiken.	Max Hecker's printed study "Die Eisenbahnen der asiatischen Tuerkei" (The Railways of Asian Turkey) by Dipl.-Ing. M. Hecker (Haifa, Palestine), published in Archiv fuer Eisenbahnwesen (Julius Springer, Berlin), 1914. Comprises the full text, an overview map of the railways of Asian Turkey, and plates with gradient profiles and traffic/revenue statistics.	false	Pre-1933 professional publication, not memory-work.	MATCHES R0015. One document across pp.7-194: cover p.7 (handwritten "HECKER..."), adverts pp.8-9/191-192, text pp.10-184 (serialized, "Fortsetzung" p.99), map p.185, plates pp.186-189, blanks pp.190/193-194.
0005-2-D03	195-231	Der Juedische Student, 2. Jahrgang, Quartalsheft 1	1905-03	periodical_issue	de	ed. Emil Cohn		Berlin-Charlottenburg; Transylvania (Boezoed-Ujfalu)	Emil Cohn; U. (Udo) Moses; Richard Asch; Isidor Zlocisti	גיליון שלם של "דר יידישה סטודנט", רבעון אגודות הסטודנטים היהודים, שנה ב' חוברת 1 (מרץ 1905), בעריכת ד"ר אמיל כהן. כולל את מאמרו של א' (אודו) מוזס על תולדות כת שומרי השבת (הסבתאים) בטרנסילבניה, לצד מאמרים על "שאלת הגזע היהודית" ועל פוליטיקה סטודנטיאלית.	Vollstaendiges Heft von "Der Juedische Student", Vierteljahresschrift der Vereine Juedischer Studenten, 2. Jahrgang, Quartalsheft 1 (Maerz 1905), hrsg. von Dr. Emil Cohn. Enthaelt U. (Udo) Moses' Aufsatz "Entstehung und Geschichte der Sekte der Sabbatarier" sowie Beitraege zur "juedischen Rassenfrage" und zur Studentenpolitik.	Complete issue of "Der Juedische Student", quarterly of the Jewish student associations, vol. 2 no. 1 (March 1905), ed. Dr. Emil Cohn. Contains U. (Udo) Moses' article "Entstehung und Geschichte der Sekte der Sabbatarier" (on the Transylvanian Sabbatarians, ca. pp.210-219) plus pieces on the "Jewish race question" and student politics.	false	Pre-1933 printed periodical kept as family memorabilia (Udo Moses' article).	MATCHES R0016. Includes back advert pages (p.230 Verlag "Zion"/Ussischkin); pp.229/231 blank.
0005-2-D04	232-235	פתק בכתב יד — "זכרונות" / פרידה הקר	n.d.	manuscript_note	de, he	Frieda Moses-Hecker (?)			Frieda Moses-Hecker	פתק בכתב יד שבו נקראות המילים "Erinnerungen" (זכרונות) ו"הבת פרידה הקר", ולצדו דף תצלום/תמונה; ככל הנראה דף לוואי המציג את חומרי הזיכרון שבהמשך התיק.	Handschriftlicher Zettel mit den lesbaren Worten "Erinnerungen" und "Tochter Frieda Hecker", dazu ein Foto-/Bildblatt; vermutlich ein Begleitblatt zu den folgenden Erinnerungsmaterialien.	Handwritten note in which the words "Erinnerungen" (memories) and "daughter Frieda Hecker" are legible, plus a photo/image leaf; apparently a cover note for the memorial materials that follow.	false	Content undetermined pending transcription.	NEEDS human transcription. pp.234-235 blank. No confident legacy match.
0005-2-D05	236-270	Johanna Moses — Eine Auswahl (poem booklet for her 70th birthday)	1923-02-02	poetry_booklet	de	Johanna Moses		Berlin; Tapiau	Johanna Moses; her children (dedicators); Arthur Scholem (printer)	חוברת שירים מודפסת של יוהנה מוזס, "מבחר", שהוקדשה לה על ידי ילדיה ליום הולדתה ה-70 ב-2 בפברואר 1923 (דפוס ארתור שולם, ברלין). שירים דתיים ומשפחתיים: תפילה, נעורים, שירי אבל וקדיש, והפואמה הסאטירית "החג המטורף".	Gedrucktes Gedichtbaendchen von Johanna Moses, "Eine Auswahl", gewidmet von ihren Kindern zu ihrem 70. Geburtstag am 2. Februar 1923 (Druck von Arthur Scholem, Berlin). Religioese und familiaere Gedichte: Gebet, Jugend, Trauer- und Kadisch-Gedichte sowie die satirische Dichtung "Das tolle Fest".	Printed poem booklet by Johanna Moses, "Eine Auswahl" (A Selection), dedicated by her children for her 70th birthday, 2 February 1923 (printed by Arthur Scholem, Berlin). Religious and family poems: Gebet, Jugend, mourning and Kaddish poems, and the satirical piece "Das tolle Fest".	false	Pre-1933 family publication.	MATCHES R0009. pp.268-270 blank trailing pages.
0005-2-D06	271	פתק עברי עם מספרי טלפון	1974	modern_note	he	unknown			—	פתק עברי קטן ובו השנה (1974) ומספרי טלפון בבית ובמפעל; ככל הנראה פתק קשר מתקופת מסירת החומר לארכיון.	Kleiner hebraeischer Zettel mit der Jahresangabe (1974) und Telefonnummern (privat und Betrieb); vermutlich eine Kontaktnotiz aus der Zeit der Uebergabe an das Archiv.	Small Hebrew slip with the year (1974) and home/factory telephone numbers; probably a contact note from the time the material was handed to the archive.	false	Administrative slip, not memory-work.	No legacy match. OCR partly garbled.
0005-2-D07	272-280	תצלומים משפחתיים — אודו מוזס כחייל; נשות משפחת ריינוס	c.1886-1914	photographs	de, he	Atelier Fritz Krauskopf, Koenigsberg (i.a.)		Koenigsberg i. Pr.; Ostseebad Cranz; Tapiau	Udo Moses; Reinus family women	קבוצת תצלומים משפחתיים: דפי תמונות ללא טקסט, חותמת סטודיו "פריץ קראוסקופף, קניגסברג וקרנץ" (1886) ודף כיתוב בכתב יד. ככל הנראה תצלומי אודו מוזס במדים ותצלום נשות משפחת ריינוס מן הקטלוג הישן.	Gruppe von Familienfotografien: Bildseiten ohne Text, Atelierstempel "Fritz Krauskopf, Koenigsberg i. Pr. und Ostseebad Cranz" (1886) und ein handbeschriftetes Blatt. Vermutlich die Aufnahmen von Udo Moses in Uniform und das Foto der Reinus-Frauen aus dem Altkatalog.	Group of family photographs: image-only pages, studio imprint "Fritz Krauskopf, Koenigsberg i. Pr. und Ostseebad Cranz" (1886), and one handwritten caption leaf. Most likely the legacy soldier photos of Udo Moses and the Reinus women photo.	false	Pre-war family photographs.	Likely MATCHES R0004+R0012 (Udo Moses soldier photos) and R0005+R0013 (Reinus women); R0014 (wedding headscarf) may also lie here — verify against scans. p.279 caption handwriting NEEDS transcription.
0005-2-D08	281-284	גלוית שדה של אודו מוזס מהחפירות אל אמו	1914 (OCR "5.6.14", autumn 1914 likely)	postcard	de	Udo Moses	Johanna Moses	Tapiau (East Prussia); Eastern Front	Udo Moses; Johanna Moses	גלוית דואר-שדה של אודו מוזס מן החפירות אל אמו יוהנה מוזס בטפיאו (מזרח פרוסיה): מודה על חבילה, מודיע כי קרב מתנהל לפניהם ומבטיח לכתוב בהרחבה; חתום "אודו שלכם". בעמ' 281 תעתיק מודפס, ואחריו דפי צילום של המקור.	Feldpostkarte von Udo Moses aus dem Schuetzengraben an seine Mutter Johanna Moses in Tapiau (Ostpreussen): Dank fuer ein Paket, Hinweis auf ein laufendes Gefecht, Gruesse "Euer Udo". S.281 maschinenschriftliche Abschrift, danach Bildseiten des Originals.	Field-post card from Udo Moses in the trenches to his mother Johanna Moses in Tapiau (East Prussia): thanks for a parcel, notes a battle under way ahead of them, signed "Euer Udo". p.281 is a typed transcript, followed by image pages of the original.	false	WWI-era family correspondence, pre-1933.	MATCHES R0002. Date digit uncertain in OCR ("5.6.14"); Udo Moses fell 7.11.1914 near Stalluponen, so an autumn date is likelier.
0005-2-D09	285-290	מכתב תנחומים אל פרידה ומקס הקר על נפילת ברונו מוזס	1917-11-29	letter	de	possibly Arthur Pelz	Frieda Moses-Hecker; Max Hecker	Tapiau; Eastern Front; Argentina	Bruno Moses; Udo Moses; Frieda Moses-Hecker; Max Hecker; (Arthur) Pelz	מכתב תנחומים מ-29.11.1917 אל פרידה ומקס הקר על נפילת האח ברונו מוזס במלחמה, המעלה גם את זכר אודו שנפל ב-1914 לאחר ששב מארגנטינה. בעמ' 285 תעתיק מודפס ואחריו המקור בכתב יד.	Kondolenzbrief vom 29.11.1917 an Frieda und Max Hecker zum Tod des Bruders Bruno Moses im Krieg, mit Erinnerung an den 1914 gefallenen Udo, der aus Argentinien zurueckgekehrt war. S.285 maschinenschriftliche Abschrift, danach das handschriftliche Original.	Condolence letter of 29 November 1917 to Frieda and Max Hecker on the death in the war of her brother Bruno Moses, also recalling Udo, who fell in 1914 after returning from Argentina. p.285 is a typed transcript followed by the handwritten original.	false	WWI-era condolence correspondence, pre-1933.	MATCHES R0003. The name "Pelz" is legible on p.287 — the writer may be Arthur Pelz, which would also connect this to R0007 (Arthur Pelz eulogy). Handwritten pages 286-288 NEED transcription; pp.289-290 blank.
0005-2-D10	291-306	"Lieber Bruder Udo" — Briefe und Nachrufe from Frieda Moses-Hecker's notebook	1944 (materials 1914-1916)	memorial_typescript	de	Frieda Moses-Hecker (compiler); Udo Moses (letters)	family	Buenos Aires; Genua; Muenchen; Koenigsberg; Tapiau; Stalluponen	Udo Moses; Frieda Moses-Hecker; Johanna Moses	תדפיס "מכתבים והספדים, שנרשמו במחברת של פרידה מוזס-הקר, 1944" תחת הכותרת "אחי היקר אודו": מכתבו של אודו מבואנוס איירס מ-30.7.1914 ערב פרוץ המלחמה, גלויות מסע מגנואה, מינכן וקניגסברג מאוגוסט 1914, תיאור נפילתו בראש מחלקתו ליד שטלופנן ב-7.11.1914, וההספד שפורסם ב"יידישה רונדשאו" בנובמבר 1916. בתיק שני עותקים זהים (עמ' 291-298, 299-306).	Typoskript "Briefe und Nachrufe, eingetragen in ein Heft von Frieda Moses-Hecker, 1944" unter dem Titel "Lieber Bruder Udo": Udos Brief aus Buenos Aires vom 30.7.1914 am Vorabend des Krieges, Reisekarten aus Genua, Muenchen und Koenigsberg (August 1914), der Bericht ueber seinen Tod an der Spitze seines Zuges bei Stalluponen am 7.11.1914 und der Nachruf der "Juedischen Rundschau" vom November 1916. Zwei identische Exemplare (S.291-298, 299-306).	Typescript "Briefe und Nachrufe, entered in a notebook of Frieda Moses-Hecker, 1944", headed "Lieber Bruder Udo": Udo's Buenos Aires letter of 30 July 1914 on the eve of the war, travel cards from Genoa, Munich and Koenigsberg (August 1914), the account of his death leading his platoon near Stalluponen on 7 November 1914, and the Juedische Rundschau obituary of November 1916. Two identical copies (pp.291-298, 299-306).	true	Memorial compilation made in 1944, in emigration, commemorating the family's German past (a brother fallen as a German soldier in WWI) — explicit family memory-work.	MATCHES R0011; incorporates the Udo Moses Argentina correspondence of R0006 (transcribed). Nietzsche motto on title pages 291/299.
