page_no	chars	conf	script	modality	engine	needs_escalation	text_file
1	775	0.904	hebrew	print	tesseract	no	ocr_tesseract/0001.txt
2	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0002.txt
3	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0003.txt
4	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0004.txt
5	234	0.408	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0005.txt
6	129	0.466	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0006.txt
7	134	0.306	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0007.txt
8	198	0.396	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0008.txt
9	508	0.474	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0009.txt
10	195	0.356	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0010.txt
11	217	0.432	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0011.txt
12	84	0.423	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0012.txt
13	72	0.357	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0013.txt
14	185	0.406	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0014.txt
15	53	0.464	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0015.txt
16	129	0.404	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0016.txt
17	57	0.419	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0017.txt
18	136	0.424	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0018.txt
19	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0019.txt
20	49	0.472	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0020.txt
21	64	0.318	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0021.txt
22	186	0.406	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0022.txt
23	168	0.350	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0023.txt
24	74	0.437	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0024.txt
25	19	0.465	mixed	handwriting_or_image	tesseract	yes	ocr_tesseract/0025.txt
26	164	0.343	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0026.txt
27	119	0.344	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0027.txt
28	214	0.388	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0028.txt
29	264	0.415	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0029.txt
30	104	0.397	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0030.txt
31	215	0.537	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0031.txt
32	109	0.316	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0032.txt
33	281	0.364	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0033.txt
34	21	0.372	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0034.txt
35	108	0.403	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0035.txt
36	84	0.502	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0036.txt
37	160	0.387	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0037.txt
38	137	0.351	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0038.txt
39	170	0.364	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0039.txt
40	184	0.387	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0040.txt
41	405	0.573	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0041.txt
42	191	0.406	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0042.txt
43	150	0.572	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0043.txt
44	68	0.258	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0044.txt
45	105	0.413	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0045.txt
46	281	0.506	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0046.txt
47	76	0.416	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0047.txt
48	209	0.433	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0048.txt
49	249	0.498	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0049.txt
