score	repo_id	repo	resource_id	title	creator	date	type_genre	genre	german	glang	emigre	return	home	personal	type	language	url
74	7	YIVO Institute for Jewish Research	19971	Shalom Schwarzbard Papers	Shṿartsbard, Shalom, 1886-1938	1891, 1912-1958 | 1920-1937	1	7	4	3	4	3	0	3	World War, 1914-1918 -- Personal narratives | Clippings (information artifacts) | Correspondence | Manuscripts (document	yid | fre | eng | ger | rus | heb | The collection is predominantly in Yiddish and French, with some English, German, Russian, and Hebrew, as well as individual items in Spanish, Polish, and Danish.	https://archives.cjh.org/repositories/7/resources/19971
72	7	YIVO Institute for Jewish Research	556	Papers of Chaim Grade and Inna Hecker Grade	Grade, Chaim, 1910-1982	1910s-2010 | bulk 1940s-2000s	0	4	6	3	12	3	1	2	Poetry | Official documents | Newspapers | Correspondence | Photographs | Audiotapes | Tape reels | Lectures	yid | eng | heb | rus | fre | lit | pol | ger | tuk | The collection is predominantly in Yiddish and English, with some Hebrew, Russian, and French, as well as individual items in Lithuanian, Polish, German, and Turkmen.	https://archives.cjh.org/repositories/7/resources/556
68	3	American Jewish Historical Society	1659	Mordecai Sheftall papers	Sheftall, Mordecai, 1735-1797	undated, 1761-1867, 1873, 1932, 1941 | 1977 -- 1978	0	4	6	0	4	7	1	6	Correspondence | Ledgers (account books) | Newspapers | Orderly books | Orders (military records) | Petitions | Purchase	eng | Latn | The collection is in English.	https://archives.cjh.org/repositories/3/resources/1659
68	3	American Jewish Historical Society	20038	Papers of Cecilia Razovsky	Razovsky, Cecilia, 1886-1968	undated, 1913-1971	1	31	65	3	70	17	0	0	Articles | Clippings (information artifacts) | Correspondence | Diaries | Fliers (printed matter) | Legal documents | Ma	eng | Latn | spa | Latn | por | Latn | ger | Latn | yid | Hebr | rus | Cyrl | The collection is in English, Spanish, Portuguese, German, Yiddish, and Russian.	https://archives.cjh.org/repositories/3/resources/20038
64	3	American Jewish Historical Society	22561	Lewis and Levy Family Papers		1807-2019 | 1904-2019	0	13	4	0	1	4	1	8		eng | Latn	https://archives.cjh.org/repositories/3/resources/22561
58	7	YIVO Institute for Jewish Research	3217	Papers of Shmuel Mordkhe Artur Zygielbojm		1918-2018 | 1940 -- 1943	0	5	15	2	35	4	0	0	Jews -- Biography | Administrative reports | Correspondence | Clippings (information artifacts) | Posters	yid | yid | pol | rus | ger | eng | fre | heb | spa | por | lit | ara | swe | The collection is in Yiddish and Polish, with some Russian, German, English, French, Hebrew, Spanish, Portuguese, Lithuanian, Arabic, and Swedish.	https://archives.cjh.org/repositories/7/resources/3217
54	3	American Jewish Historical Society	15533	Marvin Lowenthal, papers	Lowenthal, Marvin, 1890-1969	undated, 1871-1959	1	8	14	2	2	2	0	0	Correspondence | Diaries | Drafts (documents) | Journals | Memorabilia | Notes (documents) | Photographs | Reviews (docu	eng | Latn | fre | Latn | ger | Latn | yid | Hebr | The collection is in English, French, German, and Yiddish.	https://archives.cjh.org/repositories/3/resources/15533
54	7	YIVO Institute for Jewish Research	3273	Papers of Peretz Hirschbein		1900-1971	0	5	4	5	0	4	0	0	Correspondence | Manuscripts (documents) | Clippings (information artifacts) | Photographs | Programs (documents)	yid | yid | eng | ger | fre | heb | rus | pol | spa | chi | dan | The collection is in Yiddish, with some English, German, French, Hebrew, Russian, Polish, Spanish, Japanese, Chinese, and Danish.	https://archives.cjh.org/repositories/7/resources/3273
53	7	YIVO Institute for Jewish Research	21093	Papers of Kalman Marmor		1880s-1950s	0	37	2	0	0	3	1	0		yid	https://archives.cjh.org/repositories/7/resources/21093
53	7	YIVO Institute for Jewish Research	3280	Papers of Jennings Yehudah Tofel		1912-1960	1	7	0	4	0	4	0	0	Correspondence | Diaries | Manuscripts (documents) | Clippings (information artifacts) | Poems	eng | eng | yid | fre | The collection is in English and Yiddish, with some French.	https://archives.cjh.org/repositories/7/resources/3280
53	7	YIVO Institute for Jewish Research	3611	Papers of Chaim Zhitlowsky		1881-1958 | 1900-1943	0	2	11	4	1	5	0	0	Correspondence | Financial records | Manuscripts (documents) | Clippings (information artifacts) | Photographs	yid | yid | rus | ger | eng | fre | lat | heb | dut | The collection is in Yiddish and Russian with some German and English and with a small amount of French, Latin, Hebrew, and Dutch.	https://archives.cjh.org/repositories/7/resources/3611
52	3	American Jewish Historical Society	5908	Records of the National Council of Jewish Women, New York Section		undated, 1895-2004	0	3	5	0	9	2	1	0	Administrative records | Annual reports | Audiotapes | Blueprints (reprographic copies) | News bulletins | Clippings (in	eng | Latn | heb | Hebr | yid | Hebr | ger | Latn | gre | Grek | spa | Latn | chi | Hani | ita | Latn	https://archives.cjh.org/repositories/3/resources/5908
50	3	American Jewish Historical Society	228	Papers of Aliza Greenblatt (1885-1975)	Greenblatt, Aliza, 1888-1975	undated, 1882-1983, 1993	0	3	1	5	0	3	0	1	Clippings (information artifacts) | Correspondence | Manuscripts (documents) | Newsletters | Poems | Programs (documents	yid | Hebr | eng | Latn | heb | Hebr | rus | Cyrl | fre | Latn	https://archives.cjh.org/repositories/3/resources/228
48	7	YIVO Institute for Jewish Research	19998	Papers of Naftali Hertz Kon		1939-1971 | bulk 1950s-1960s	0	0	2	3	4	3	0	0	Correspondence | Official documents	yid | rus | pol | ger | heb | eng | The collection is predominantly in Yiddish, with some Russian, Polish, German, Hebrew, and English.	https://archives.cjh.org/repositories/7/resources/19998
48	7	YIVO Institute for Jewish Research	3503	Papers of Grigori Gurevitch	Gurevitch, Grigori Evseevich, 1852-1929	1888, 1901-1928	1	1	6	2	1	2	0	1	Correspondence | Official documents | Newspapers | Petitions | Clippings (information artifacts) | Memoirs | Manuscripts	rus | rus | yid | ger | ger | eng | The collection is in Russian with some Yiddish, German, French, and English.	https://archives.cjh.org/repositories/7/resources/3503
48	7	YIVO Institute for Jewish Research	3504	Papers of Marc Ratner	Cherikover, I. M., 1881-1943 | Ratner, M. B. (Mark Borisovich), 1871-1917	1902-1922	0	3	3	2	3	1	1	1	Manuscripts (documents) | Correspondence | Official documents | Newspapers | Petitions | Minutes (administrative records	rus | rus | yid | ger | Latn | The collection is in Russian and Yiddish with some German.	https://archives.cjh.org/repositories/7/resources/3504
