score	repo_id	repo	resource_id	title	creator	date	is_personal	type_genre	return_to_german	born_german	home	german_places	glang	emigre	type	language	url	birth	death	period_jecke	ret_ead	bioghist_len	scope_len	snippet	geognames	subjects	langmaterial
58	3	American Jewish Historical Society	20038	Papers of Cecilia Razovsky	Razovsky, Cecilia, 1886-1968	undated, 1913-1971	1	1	2	0	0	10	3	70	Articles | Clippings (information artifacts) | Correspondence | Diaries | Fliers (printed matter) | Legal documents | Ma	eng | Latn | spa | Latn | por | Latn | ger | Latn | yid | Hebr | rus | Cyrl | The collection is in English, Spanish, Portuguese, German, Yiddish, and Russian.	https://archives.cjh.org/repositories/3/resources/20038	1886	1968	1	2	71339	0	The prospects in Central and South America led Razovsky and her husband to visit São Paulo, Rio de Janeiro, and Buenos Aires in 1937 to evaluate conditions for potential German Jewish refugees.			The collection is in English, Spanish, Portuguese, German, Yiddish, and Russian.
54	3	American Jewish Historical Society	6733	Morris “Moe” Berg Papers	Berg, Moe, 1902-1972	undated, 1924-1972 | 1930 -- 1960	1	0	3	0	0	2	0	0	Correspondence | Receipts (financial records) | Articles | Coin purses | Baseball cards	eng | Latn | ger | Latn | ita | Latn | jpn | Jpan | fre | Latn	https://archives.cjh.org/repositories/3/resources/6733	1902	1972	1	3	5248	0				English German Italian Japanese French
50	7	YIVO Institute for Jewish Research	3277	Jacob Mestel Papers	Mestel, Jacob, 1884-1958	1910-1958	1	0	2	0	0	4	5	1	Photographic prints | Poems | Scripts (documents) | Prompt books	yid | yid | eng | ger | pol | The collection is in Yiddish, English, German, and Polish.	https://archives.cjh.org/repositories/7/resources/3277	1884	1958	1	2	4061	32974	Upon his return to Vienna in 1918, Mestel studied directing and dramaturgy at the Academy of Music and Dramatic Art (Akademie für Musik und Darstellende Kunst) in Vienna.		Performing arts | Theater, Yiddish | Yiddish language | Theater -- Production and direction | Theaters -- Stage-setting and scenery | Jewish theater	"The collection is in Yiddish, English, German, and Polish.
The bulk of the series is in Yiddish, with a substantial numb"
46	3	American Jewish Historical Society	19959	Florence Lowenstein Marshall (1873-1916) Diaries, 1890-1916; 2019	Marshall, Florence Lowenstein, 1873-1916 | Schweitzer, Peter H., (Rabbi)	1894 -- 1916 | 2019	1	0	1	2	0	3	0	0		eng | Latn	https://archives.cjh.org/repositories/3/resources/19959	1873	1916	1	1	9981	0	Benedict was born in Wiesbaden, Germany, the eldest of six brothers.			English
41	3	American Jewish Historical Society	15651	Ray Frank Litman (1861-1948) Papers	Litman, Ray Frank, 1864 or 1865-1948	undated, 1879-1957	1	0	2	0	0	2	1	0	Clippings (information artifacts) | Correspondence | Manuscripts (documents) | Programs (documents) | Scrapbooks | Sermo	eng | Latn | ger | Latn | The collection is primarily in English, with some German.	https://archives.cjh.org/repositories/3/resources/15651	1865	1948	0	2	9972	3020	After a brief return to London, Frank moved to Switzerland in 1900 and took some classes in German literature and economics, also at the Zurich Polytechnikum.	Champaign (Ill.) | Chicago (Ill.) | Nevada | Oakland (Calif.) | San Francisco (Calif.) | Spokane (Wash.)	Jewish women -- Religious life | Judaism | Women in Judaism	The collection is primarily in English, with some German.
39	7	YIVO Institute for Jewish Research	19971	Shalom Schwarzbard Papers	Shṿartsbard, Shalom, 1886-1938	1891, 1912-1958 | 1920-1937	1	1	1	0	0	3	3	4	World War, 1914-1918 -- Personal narratives | Clippings (information artifacts) | Correspondence | Manuscripts (document	yid | fre | eng | ger | rus | heb | The collection is predominantly in Yiddish and French, with some English, German, Russian, and Hebrew, as well as individual items in Spanish, Polish, and Danish.	https://archives.cjh.org/repositories/7/resources/19971	1886	1938	1	1	7774	33918		France | Paris (France) | Ukraine | United States	Antisemitism | Assassination | Jewish newspapers | Jews -- Charities | Jews -- Societies, etc | Jews -- Persecutions -- Ukraine | Trials (Assassination) | Veterans--Societies, etc. | World War, 1914-1918 -- Personal narratives | Zionism	The collection is predominantly in Yiddish and French , with some English , German , Russian , and Hebrew , as well as i
37	3	American Jewish Historical Society	15533	Marvin Lowenthal, papers	Lowenthal, Marvin, 1890-1969	undated, 1871-1959	1	1	1	0	0	3	2	2	Correspondence | Diaries | Drafts (documents) | Journals | Memorabilia | Notes (documents) | Photographs | Reviews (docu	eng | Latn | fre | Latn | ger | Latn | yid | Hebr | The collection is in English, French, German, and Yiddish.	https://archives.cjh.org/repositories/3/resources/15533	1890	1969	1	1	5507	3681	Wise; notes on a 1916 Committee on a Jewish Congress meeting; correspondence, writings, and printed material concerning his Zionist work; his journal of a 1925 journey to Palestine; correspondence with The Menorah Journal; manuscript and printed material regarding German Jewry between 1933 and 1935;	Germany | United States -- Relations	Holocaust, Jewish (1939-1945) | Zionism -- United States | Education -- United States | Publicity	"The collection is in English, French, German, and Yiddish.
English and French.
(contains French)
English and French.
(co"
35	3	American Jewish Historical Society	15595	Adolf Lorch (1883-1971) Papers	Lorch, Adolf, 1883-1971	1896-2013 | 1934 -- 1941	1	0	0	2	0	4	1	0	Correspondence | Official documents	eng | Latn | ger | Latn	https://archives.cjh.org/repositories/3/resources/15595	1883	1971	1	0	1894	2580	Biographical Note Adolf Lorch was born on April 21, 1883 in Dieburg, Germany, a town in southern Hessen.	United States -- Emigration and immigration | New York (N.Y.) | Hudson (N.Y.)	Jews, German	English German
33	4	American Sephardi Federation	3622	Guide to the Papers of John Stern	Stern, John, 1926-1987	1924-2013 | 1945-1990	1	1	0	1	1	3	0	1	Diaries | Notebooks | Notes (documents) | Pamphlets | Publications (documents) | VHS	eng | eng | fre | spa | The collection is in English, French, and Spanish.	https://archives.cjh.org/repositories/4/resources/3622	1926	1987	1	0	1568	2633	Biographical Note John (Hans Ulrich) Stern was born in Hamburg, Germany where he attended school until July 1933.	Tangier (Morocco) | Rego Park (New York, N.Y.) | Spain | Tangier (Morocco) | Tétouan (Morocco)	Jews -- Morocco	"The collection is in English, French, and Spanish.
This series is in English, French, and Spanish.
This series is in Fre"
32	3	American Jewish Historical Society	13258	Raphael Lemkin Collection	Lemkin, Raphael, 1900-1959	undated, [1763]-2002 | undated, 1941-1951	1	0	1	0	0	4	1	7	Articles | Clippings (information artifacts) | Correspondence | Political posters | Proceedings (reports) | Research (do	eng | Latn | fre | Latn | heb | Hebr | ger | Latn | pol | Latn | rus | Cyrl | spa | Latn | swe | Latn | nor | Latn | lit | Latn | The collection is in English, French, Hebrew, German, Polish, Russian, Spanish, Swedish, Norwegian, and Lithuanian.	https://archives.cjh.org/repositories/3/resources/13258	1900	1959	1	1	12479	16865		Armenia -- History | Great Britain -- Colonies | Palais de Chaillot (Paris, France) | Jammu and Kashmir (India)	Genocide | Holocaust, Jewish (1939-1945) | Persecution -- History | Quakers -- Persecutions | Political persecution | Massacres -- India | Massacres -- Ireland | Massacres -- Lithuania | Indians of North America | Indians of South America | Regulation of economic activity | Non-governmental organiza	"The collection is in English, French, Hebrew, German, Polish, Russian, Spanish, Swedish, Norwegian, and Lithuanian.
Lang"
