doc_id	page_no	model	hand	tesseract_grade	tesseract_chars	htr_chars	process_id
0047-2__0047-2-D08	34	Text Titan II	latin	mixed	1049	1154	29805607
0047-2__0047-2-D14	57	Text Titan II	latin	mixed	801	810	29805700
0047-2__0047-2-D14	58	Text Titan II	latin	mixed	635	640	29805727
0047-2__0047-2-D14	59	Text Titan II	latin	poor	113	92	29806036
0047-2__0047-2-D14	60	Text Titan II	latin	poor	2	4	29806083
0047-2__0047-2-D33	133	Text Titan II	latin	mixed	43	35	29806113
0047-2__0047-2-D33	134	Text Titan II	latin	mixed	44	42	29806137
0047-2__0047-2-D33	136	Text Titan II	latin	mixed	56	55	29806170
0047-2__0047-2-D33	137	Text Titan II	latin	clean	732	736	29806204
0047-2__0047-2-D33	138	Text Titan II	latin	clean	1160	1162	29806240
0047-2__0047-2-D33	139	Text Titan II	latin	clean	1024	1022	29806280
0047-2__0047-2-D33	140	Text Titan II	latin	clean	749	754	29806314
0047-2__0047-2-D33	141	Text Titan II	latin	mixed	42	64	29806330
0185-2__0185-D04	53	Text Titan II	latin	poor	188	204	29806354
0185-2__0185-D04	54	Hebrew Hand Sept.25	hebrew	poor	0	50	29806377
0185-2__0185-D04	56	Hebrew Hand Sept.25	hebrew	poor	0	93	29806396
0185-2__0185-D04	58	Text Titan II	latin	poor	17	106	29806414
0185-2__0185-D04	59	Text Titan II	latin	mixed	150	1201	29806465
0185-2__0185-D04	60	Text Titan II	latin	mixed	403	1051	29806489
0185-2__0185-D11	203	Hebrew Hand Sept.25	hebrew	poor	38	164	29806506
0185-2__0185-D11	211	Hebrew Hand Sept.25	hebrew	poor	55	14	29806516
0276-6__0276-D01	1	Hebrew Hand Sept.25	hebrew	poor	146	129	29806520
0422-3__0422-S13	247	Text Titan II	latin	mixed	649	709	29806538
0422-3__0422-S16	279	Text Titan II	latin	poor	0	32	29806553
0444-3__0444-D02	5	Hebrew Hand Sept.25	hebrew	poor	197	39	29806566
0444-3__0444-D03	28	Hebrew Hand Sept.25	hebrew	poor	0	128	29806581
0444-3__0444-D03	30	Text Titan II	latin	poor	86	45	29806588
0444-3__0444-D04	10	Hebrew Hand Sept.25	hebrew	poor	309	97	29806598
0444-3__0444-D04	13	Hebrew Hand Sept.25	hebrew	poor	93	59	29806606
0444-3__0444-D04	15	Hebrew Hand Sept.25	hebrew	poor	143	47	29806618
0444-3__0444-D04	21	Hebrew Hand Sept.25	hebrew	poor	328	111	29806633
0444-3__0444-D04	22	Hebrew Hand Sept.25	hebrew	poor	143	46	29806642
0444-3__0444-D10	251	Text Titan II	latin	poor	1676	3329	29806655
0444-3__0444-D10	252	Text Titan II	latin	poor	1771	3330	29806683
0047-2__0047-2-D05	18	Text Titan II	latin	mixed	72	71	29806801
0047-2__0047-2-D05	20	Text Titan II	latin	mixed	538	594	29806815
0047-2__0047-2-D05	21	Hebrew Hand Sept.25	hebrew	poor	23	31	29806848
0047-2__0047-2-D08	33	Text Titan II	latin	mixed	492	539	29806856
0047-2__0047-2-D08	35	Hebrew Hand Sept.25	hebrew	poor	26	58	29806887
0047-2__0047-2-D08	36	Text Titan II	latin	poor	0	0	29806896
0047-2__0047-2-D33	135	Text Titan II	latin	mixed	74	83	29806909
0185-2__0185-D04	57	Text Titan II	latin	poor	16	115	29806928
0276-6__0276-D06	26	Text Titan II		poor	0	124	29806944
0444-3__0444-D03	33	Text Titan II	latin	mixed	343	425	29806973
