doc_id	legacy_item_id	confidence	note
0047-4-D01	IL-MTFN-001-G-F-0047-004-R0017	low	photo group pp.3-13 "Winter 1935-36"; legacy R0017 is "Group Photo of 3 Children" — ambiguous vs R0016; pp.97-100 photos (likely Heilbrunner R0016) not catalogued
0047-4-D02	IL-MTFN-001-G-F-0047-004-R0015	high	1925 inscribed photo Jacob Hahn + sister Sara Berliner nee Hahn
0047-4-D03	IL-MTFN-001-G-F-0047-004-R0001	low	KKL/Sokolow-stamp item, Hebrew hand undeciphered; plausibly the legacy Ussischkin letters
0047-4-D04	IL-MTFN-001-G-F-0047-004-R0002	high	Soskin bundle
0047-4-D05	IL-MTFN-001-G-F-0047-004-R0002	high	Soskin bundle
0047-4-D06	IL-MTFN-001-G-F-0047-004-R0003	medium	Central Bureau for Settlement of German Jews = Szold's office; legacy says 2 letters re deposit of books
0047-4-D07	IL-MTFN-001-G-F-0047-004-R0004	high	Levin 1932 letters (legacy: photographs of letters)
0047-4-D08	IL-MTFN-001-G-F-0047-004-R0004	high	Levin 1932 letters
0047-4-D09	IL-MTFN-001-G-F-0047-004-R0006	high	Ruppin to Alfred with Dizengoff/Haavara content + modern Hebrew translation
0047-4-D10	IL-MTFN-001-G-F-0047-004-R0007	high	Ruppin Marienbad 22.7.1934
0047-4-D11	IL-MTFN-001-G-F-0047-004-R0008	medium	Hebrew cover note reads 31.7.39 = legacy R0008 date; but envelope/sender "Inge Kahnemann, Johannesburg(?)" — needs human check
0047-4-D12	IL-MTFN-001-G-F-0047-004-R0009	medium	Blumenfeld (legacy 1931, divider says 1934)
0047-4-D13	IL-MTFN-001-G-F-0047-004-R0010	high	Leo Hermann, Keren Hayesod
0047-4-D14	IL-MTFN-001-G-F-0047-004-R0011	high	Feiwel bundle
0047-4-D15	IL-MTFN-001-G-F-0047-004-R0011	high	Feiwel bundle
0047-4-D16	IL-MTFN-001-G-F-0047-004-R0011	high	Feiwel bundle
0047-4-D17	IL-MTFN-001-G-F-0047-004-R0011	high	Feiwel bundle
0047-4-D18	IL-MTFN-001-G-F-0047-004-R0012	high	Alfred to Leonie, Vienna Congress Aug 1925
0047-4-D19	IL-MTFN-001-G-F-0047-004-R0012	high	Alfred to Leonie, Vienna Congress Aug 1925
0047-4-D20	IL-MTFN-001-G-F-0047-004-R0013	high	Chajes letters/postcards
0047-4-D21	IL-MTFN-001-G-F-0047-004-R0013	high	Chajes letters/postcards
0047-4-D22	NEW	low	unidentified printed fragment pp.94-96
0047-4-D23	IL-MTFN-001-G-F-0047-004-R0014	high	Pappenheim 11.11.1919 Wiesbaden + modern transcription p.106
