section_id	parent_r_item	transkribus_doc_id	page_start	page_end	divider_page	title_he	title_de_or_en	author	language	doc_type	date_text	in_existing_catalog	heimat_relevant	notes
0047-4-S01	PROVENANCE		1	2	1	שער התיק — המוזיאון הפתוח תפן	Folder cover — Open Museum Tefen letterhead	Tefen Museum	mixed	divider	n.d.	register	no	p1 Open Museum Tefen letterhead sheet (folder cover); p2 blank.
0047-4-S02	R-PHOTO		3	13	3	תצלומים — "חורף 1935-36"	Photographs — caption "Winter 1935-36"	family	none	photograph	Winter 1935-36	yes	maybe	p3 handwritten caption "Winter 1935-36"; pp.4-13 image pages with no OCR text — presumably (part of) the photographs mentioned in the legacy catalogue. Subjects unidentified — NEEDS human viewing.
0047-4-S03	R-PHOTO		14	15		תצלום עם הקדשה, 1925	Inscribed photograph — "Unser lieber Bruder Jacob ..."	family	de	photograph	10.6.1925 (HTR uncertain)	maybe	no	p14 handwritten dedication "Unser lieber Bruder Jacob ... liebe Schwester [?] BERLINER geb. [?]", date read as 10 June 1925; p15 image page (the photograph itself). Names garbled in HTR — NEEDS human check.
0047-4-S04	R-KKL		16	19		פריט קק"ל — בול לזכר נחום סוקולוב ז"ל	KKL item — stamp in memory of Nachum Sokolow	unknown (Ussischkin?)	he	letter	c.1936	maybe	no	p19 Keren Kayemeth LeIsrael head-office (Jerusalem) letterhead with Hebrew handwriting mentioning "נחום סוקולוב ז"ל" and a KKL stamp (Sokolow memorial stamp, 1936?); pp.16-18 Hebrew handwriting, HTR unusable. Legacy catalogue lists Ussischkin letters — possibly this item, unverified. NEEDS human transcription.
0047-4-S05	R-SOSKIN		20	21	20	מפריד — מכתבי סוסקין וסולד(?)	Divider — "Selig Eugen Soskin ... von Henr. Szold(?)"	family/archivist	mixed	divider	1939(?)	yes	no	Handwritten caption page naming SELIG EUGEN SOSKIN and (garbled) "VON HEN[R.] SZOL[D]"; leading year garbled (read "1935"/"1339", letters below are 1939). Covers pp.22-31. p21 blank.
0047-4-S06	R-SOSKIN		22	26	22	מכתב מזליג אויגן סוסקין — מלון סן רמו, תל אביב	Letter from Selig Eugen Soskin, San Remo Hotel Tel Aviv	Selig Eugen Soskin	de	letter	1939-07-18	yes	no	p22 caption "Dr. A. Landsberg Kfar Schmarjahu"; p23 San-Remo Hotel letterhead; pp.24-25 letter to "Sehr verehrte gnädige Frau, lieber Dr. Landsberg" proposing a weekend visit to Kfar Shmaryahu; mentions Waad, Dr. Foerder, Shavei Zion, Nahariya. Signed S.E. Soskin. p26 blank.
0047-4-S07	R-SOSKIN		27	29		מכתב מסוסקין מסיפון האנייה "שמפוליון"	Soskin letter aboard S/S Champollion (Messageries Maritimes)	Selig Eugen Soskin	de	letter	1939-08-10	yes	no	Written at sea en route to Europe; fellow passengers Rosenblüth, Halpern, Bernard Joseph; letter to the Jerusalem Executive re the Negev; hoped-for conference with Weizmann, Kaplan, Ben-Gurion; forgoes the (21st Zionist) Congress opening; 2 days in Paris. Addressed "B.L.L.!" — likely Leonie Landsberg.
0047-4-S08	R-SZOLD		30	31		מכתבים מהמשרד המרכזי לישוב יהודי גרמניה	Typed letters — Central Bureau for the Settlement of German Jews (Jewish Agency)	Central Bureau (Henrietta Szold?)	de	letter	mid-1930s	yes	no	Two typed letters on Jewish Agency Central Bureau letterhead (Chairman Weizmann, Director Ruppin) to Dr. Alfred Landsberg, 11 Bezalel Jaffe St. Tel Aviv; p30 concerns "die Jugendlichen". Signatures not captured by OCR — divider p20 suggests Henrietta Szold. NEEDS human check.
0047-4-S09	R-LEVIN		32	33		מכתב משמריהו לוין, הר הכרמל חיפה	Letter from Shmarya Levin, Mount Carmel Haifa	Shmarya Levin	de	letter	1932-05-31	yes	no	To "Herrn Dr. Alfred Landsberg, Wiesbaden. Lieber Freund!" — financial/legal matter with a publisher (Jüd. Verlag?): Akzepte, Ratenzahlungen, Prolongationspapiere; thanks for Landsberg's efforts; personal news; parallel letter to Leonie mentioned. Signed Schmarja Levin (p33).
0047-4-S10	R-LEVIN		34	34		מכתב שני משמריהו לוין	Second letter from Shmarya Levin	Shmarya Levin	de	letter	1932-06-11	yes	no	Follow-up to S09: sends a newly signed Akzept (ca. 215.-); apologizes for the trouble caused; health "erträglich". To Dr. Alfred Landsberg, Wiesbaden. Place/date line garbled ("Haifa, Mount Carmel, 11 Juni 1932"?).
0047-4-S11	R-RUPPIN		35	39	35	מכתב מארתור רופין (ירושלים) + תרגום עברי	Letter from Arthur Ruppin, Jerusalem, with modern Hebrew translation	Arthur Ruppin	de	letter	n.d. (c.1934-36)	yes	no	p35 divider "VON ARTHUR RUPPIN"; p36 typed modern Hebrew translation (memo thanks, talk with Dizengoff on convening wealthy Tel Aviv residents, "Haavara" plans until mid-December); p37 "Dr. A. Ruppin Jerusalem" letterhead; p38 handwritten German original (partially legible); p39 envelope/note fragment.
0047-4-S12	R-RUPPIN		40	45		מכתב מארתור רופין, מרינבד, אל לאוני לנדסברג	Letter from Arthur Ruppin, Marienbad, to Leonie Landsberg	Arthur Ruppin	de	letter	1934-07-22	yes	no	p41 Hotel Balmoral-Osborne Marienbad 22/7/34 "Liebe Frau Leonie"; p44 continuation: Schleicher's shooting heard of in Trieste, Hans Kohn, biology reading, his first book "Darwinismus und Sozialwissenschaft" (1903), his son, staying to 10 Aug; p45 airmail envelope to Leonie Landsberg, 11 Bezalel Jaffe St. Tel Aviv; p40 handwritten Hebrew summary (attribution "A. Ruppin"); pp.42-43 blank/near-blank.
0047-4-S13	R-UNID		46	51		מכתב מחו"ל, יולי 1939 — שולח לא מזוהה	Letter from abroad, July 1939 — sender unidentified	unidentified ("...S."; Inge Kahnemann?)	de	letter	1939-07 (21st or 31st)	no	no	German handwritten letter from a hotel abroad to "Liebe Frau" (Leonie): thanks for a detailed letter; poor health/sleep; sister mentioned; travel money to Palestine from an aid committee (South Africa?) before a feared expulsion; signed "...S.". p47 Hebrew cover note headed "Argentina(?) 31.7.39" with garbled attribution; p50 envelope to Leonie Landsberg; p51 sender line read "Inge Kahnemann, Johannesburg(?), Wilton Mansions". Place and sender conflict — NEEDS human resolution. pp.46,49 blank.
0047-4-S14	R-BLUM		52	53	52	מפריד — קורט בלומנפלד וליאו הרמן, 1934	Divider — Kurt Blumenfeld & Leo Hermann, 1934	family/archivist	mixed	divider	1934	yes	no	Caption page "KURT BLUMENFELD / LEO HERMANN / 1934 ..." covering pp.54-59. p53 blank.
0047-4-S15	R-BLUM		54	57	54	מכתב מקורט בלומנפלד (קרן היסוד)	Letter from Kurt Blumenfeld (Keren Hayesod letterhead)	Kurt Blumenfeld	de	letter	1934 (per divider)	yes	no	p54 caption "KURT BLUMENFELD"; p57 Keren Hayesod Jerusalem letterhead. Letter body handwritten/faint — not captured by OCR/HTR. NEEDS human transcription. pp.55-56 blank/near-blank.
0047-4-S16	R-HERM		58	59		מכתב מליאו הרמן (קרן היסוד, לונדון-ירושלים)	Letter from Leo Hermann (Keren Hayesod London-Jerusalem letterhead)	Leo Hermann	de	letter	1934 (per divider)	yes	no	p58 Keren Hayesod head-office (London-Jerusalem) letterhead, dated at Jerusalem; body not captured by OCR. Attribution via divider p52. NEEDS human transcription. p59 blank.
0047-4-S17	R-FEIWEL		60	61	60	מפריד — מברתולד פייבל	Divider — "Von Bertold Feiwel"	family/archivist	mixed	divider	n.d.	yes	no	Caption page "VON BERTOLD FEIWEL" (+ Hebrew line) covering pp.62-74. p61 blank.
0047-4-S18	R-FEIWEL		62	64		מכתב מברתולד פייבל, צפת — על מות שמריהו לוין	Feiwel letter, Safed — on the death of Shmarya Levin	Berthold Feiwel	de	letter	1935-06-17	yes	no	"Safed 17.6.35, Liebe Frau Leonie" — a week after "wir Schmarjahu verloren haben" (Levin d. 9.6.1935); grief for an irreplaceable friend; regret at learning only at the hour of the funeral; urges "her" (Levin's widow?) to come to Safed; invites Leonie and Alfred; translation to be finished in agreement with Schocken. Signed B. Feiwel. p64 blank.
0047-4-S19	R-FEIWEL		65	69		מכתב מפייבל, לונדון	Feiwel letter, London (75 Great Russell St.)	Berthold Feiwel	de	letter	1927-10-07	yes	no	From 75 Great Russell Street (Zionist Organisation HQ): London fog after Montreux and rough crossings; thanks for the photographs; apologizes for being a "doubtful companion" during the (15th Zionist) Congress and overusing Leonie's kindness. pp.68-69 blank.
0047-4-S20	R-FEIWEL		70	73		מכתב מפייבל, צפת — תודה על חגיגת יום ההולדת	Feiwel letter, Safed — birthday thanks	Berthold Feiwel	de	letter	1935-09-13	yes	no	Safed 13.9.35, written from bed (light fever): heartfelt thanks to Leonie and Alfred for attending the birthday celebration arranged by his friends (his 60th) and for their friendship and gift; p71 includes postscript lines with greetings to "die ganze Mishpache". pp.72-73 blank.
0047-4-S21	R-FEIWEL		74	74		מכתב מפייבל, ברלין	Feiwel letter, Berlin	Berthold Feiwel	de	letter	c.1932	yes	no	Thanks "lieber Dr. und Frau Leonie"; returns to London that day; coming weeks for a follow-up cure after his Berlin medical treatment; responds to the friendly invitation of Frau Leonie to take part in the Frankfurter Delegiertentag. Date garbled ("7132") — c.1932 by content.
0047-4-S22	R-ALFRED		75	75	75	מפריד — מאלפרד לנדסברג אל לאוני לנדסברג	Divider — "Von Alfred Landsberg an Leoni Landsberg"	family/archivist	mixed	divider	n.d.	no	no	Caption page covering pp.76-83 (Vienna Zionist Congress letters). Not in the legacy folder description, which lists only letters TO the Landsbergs.
0047-4-S23	R-ALFRED		76	79		מכתב מאלפרד ללאוני — וינה, הקונגרס הציוני	Alfred Landsberg to Leonie — Vienna, Zionist Congress (21 Aug)	Alfred Landsberg	de	letter	1925-08-21	no	no	"Wien, den 21. August" (year read "1)23"; content fits the 14th Zionist Congress, Vienna 1925): Ratssitzung over; Jabotinsky's rhetorically masterful but rejected speech; general debate closing Sunday with Weizmann replying; Goldberg chairing the Permanenz-Ausschuss; police deployment, four undisturbed days; evening talk with Weizmann. Reading order of the folded sheets: 76-79-77-78.
0047-4-S24	R-ALFRED		80	83		מכתב מאלפרד ללאוני — וינה, ערב פתיחת הקונגרס	Alfred Landsberg to Leonie — Vienna, eve of the Congress (16 Aug)	Alfred Landsberg	de	letter	1925-08-16	no	no	"16 August, [Hotel] Erzherzog Karl, Kärntnerstraße, Mein Geliebtes": journey via Nuremberg; Weizmann's luggage delivered; lunch with the Weizmanns; Vienna calm; first session of the German Landsmannschaft next morning; talks with Betty Frankenstein and Felix Rosenblüth about Weizmann; opening session Monday 7 pm. Reading order: 80-83-81-82.
0047-4-S25	R-CHAJES		84	84	84	מפריד — פרופ' חיות, רב ראשי וינה, 1926	Divider — "Prof. Chajes, Oberrabbiner-Wien, 1926"	family/archivist	mixed	divider	1926	yes	no	Caption page (+ Hebrew line) covering pp.85-93.
0047-4-S26	R-CHAJES		85	89		מכתב תודה מהרב צבי פרץ חיות	Thank-you letter from Chief Rabbi H.P. Chajes	Hirsch Perez Chajes	de	letter	192[?] (c.1925-26)	yes	no	p85 envelope "Herrn Dr. Alfred Landsberg, Wiesbaden, Deutschland, Parkstraße"; p86 note thanking for good wishes, recalling "die schönen Tage in Ihrem Heime" and the "süßen Mädelchen" whose pictures he often shows; p88 printed letterhead "Dr. H.P. Chajes Oberrabbiner". pp.87,89 blank.
0047-4-S27	R-CHAJES		90	93		גלויות מהרב חיות (באד הומבורג)	Postcards from Chajes, Bad Homburg	Hirsch Perez Chajes	de	postcard	1925(?)	yes	no	Two postcards: p90 address side to Dr. Alf. Landsberg, Parkstr. 20 Wiesbaden (message side p91 not captured); pp.92-93 card from Bad Homburg ("Haus Hildegard"), addressed c/o Justizrat Markheimer Wiesbaden, proposing a visit at the end of the week ("Donnerstag"), mentions Frl. Wegmann; date fragment read 27.IV.1925(?). NEEDS human check.
0047-4-S28	R-UNID		94	96		קטעים לא מזוהים	Unidentified printed fragment + illegible page	unknown	de	fragment	n.d.	no	no	p95 printed scrap ("Lesen Sie unsere ... 20 Pf. ... Saar") — possibly a newspaper/journal subscription ad clipping; p96 illegible garble; p94 blank. NEEDS human identification.
0047-4-S29	R-PHOTO		97	100		עמודים ללא טקסט — תצלומים(?)	Image/blank pages — possibly photographs	unknown	none	blank_or_image	n.d.	maybe	maybe	Four pages with no OCR text between the Chajes and Pappenheim groups; possibly further photographs mentioned in the legacy catalogue, or blank versos. NEEDS human viewing.
0047-4-S30	R-PAPP		101	106	101	מכתב מברטה פפנהיים, 1919 + תעתיק מודפס	Letter from Bertha Pappenheim, 1919, with modern typed transcription	Bertha Pappenheim	de	letter	1919-11-11	yes	no	p101 divider "VON BERTA PAPPENHEIM 1919"; p102 envelope/card to "Frau Leonie ... Wiesbaden" (c/o Justizrat Frey[tag?]); p104 handwritten letter, Feldbergstr. 23 Frankfurt a.M., to "Sehr geehrte Frau Frank" on the Wiesbaden Jewish women's association and the Protestant Bahnhofshilfe amid "krasser Antisemitismus"; p106 modern typed full transcription. pp.103,105 blank (p105 possibly faint letter page 2).
