dcterms:identifier,dcterms:isPartOf,dcterms:title,description_he,description_de,description_en,ric-o:hasOrHadLanguage,ric-o:hasDocumentaryFormType,ric-o:hasProductionTechniqueType,ric-o:hasRecordState,ric-o:hasOrHadMainSubject,ric-o:hasCreationDate,ric-o:hasPublicationDate,arkivo:creationPlace,bibo:numPages
IL-MTFN-001-G-F-0008-002-R0005,IL-MTFN-001-G-F-0008-002,Manual Mapping and Military Reports from WWI French Sector,"מפות, מיפוי ידני של איזורים צבאיים/קרביים, מהגזרה הצרפתית במלח""ע הראשונה, פקודות צבאיות ודוחות על קרבות.","Karten, manuelle Kartierung von militärischen/kämpferischen Gebieten, aus dem französischen Sektor im Ersten Weltkrieg, militärische Befehle und Berichte über Schlachten.","Maps, manual mapping of military/combat areas, from the French sector in World War I, military orders and battle reports.",Hebrew|Other,Map|Report,handwriting,original,,,,,
IL-MTFN-001-G-F-0011-001-R0002,IL-MTFN-001-G-F-0011-001,Photograph of Soskin's Article on Settlement in Palestine,צילום מאמר של סוסקין מ-1920: Kleinsiedlung und Bewässerung; die neue Siedlungdform für; Palästina; Land settelment in Palestina באנגלית; Bericht und Gutachten von Dr. S. Soskin zum El-Arisch Projekt 1903;,Fotografie eines Artikels von Soskin aus dem Jahr 1920: Kleinsiedlung und Bewässerung; die neue Siedlungsform für; Palästina; Landbesiedlung in Palästina auf Englisch; Bericht und Gutachten von Dr. S. Soskin zum El-Arisch Projekt 1903;,Photograph of an article by Soskin from 1920: Kleinsiedlung und Bewässerung; the new settlement form for; Palestine; Land settlement in Palestine in English; Report and opinion by Dr. S. Soskin on the El-Arish Project 1903;,German|English,מסמך מתורגם|Translated Document,photography,copy,Dr. S. Soskin,1920,,,
IL-MTFN-001-G-F-0014-001-R0001,IL-MTFN-001-G-F-0014-001,Jewish Family Research Booklets 1936,"2 חוברות מ-1936 ל""חקר משפחות יהודיות"" Jüdische Familien-Forschung עם מאמרים לחקר משפחת קרמניצר-קלישר-קליש-פאול ארליך (האחרון חתן פרס נובל לרפואה).","2 Hefte von 1936 zur ""Forschung jüdischer Familien"" Jüdische Familien-Forschung mit Artikeln zur Erforschung der Familie Kramenitzer-Kalischer-Kalisch-Paul Ehrlich (der letzte Nobelpreisträger für Medizin).","2 booklets from 1936 for ""Jewish Family Research"" Jüdische Familien-Forschung with articles on the research of the Kramenitzer-Kalischer-Kalisch-Paul Ehrlich family (the latter a Nobel Prize winner in Medicine).",German|Hebrew,חוברת|Booklet,print,original,Paul Ehrlich,1936,1936,,
IL-MTFN-001-G-F-0015-002-R0001,IL-MTFN-001-G-F-0015-002,"Report on Dr. Max Kramer's Arab Praxis in Nahariya, 1961","כתב-יד מודפס בעברית 'הפראכסיס הערבי שלנו', דוח של הגב' ג'ני קרמר, נהריה 1961: ד""ר מקס קרמר, אחרי ניסיונות כושלים להיקלט ברפואת העיניים בפלסתינה החליט להפוך לחקלאי בנהריה. הלחץ הגדול שהופעל עליו מצד חולי עיניים, ברובם ערבים מהסביבה, הביאו בסופו של עניין לכך שד""ר קרמר לצד עבודתו החקלאית (בהתחלה) פתח בליפט שליד ביתו מרפאת עיניים. מספר המטופלים הגדול שנזקקו לטיפולו הביא בסופו של עניין לכך שוויתר על החקלאות וחזר כולו לרפואה.","Handschriftlich gedruckt auf Hebräisch 'Unser arabisches Praxis', Bericht von Frau Jenny Kramer, Nahariya 1961: Dr. Max Kramer, nach erfolglosen Versuchen, sich in der Augenheilkunde in Palästina niederzulassen, beschloss, Landwirt in Nahariya zu werden. Der große Druck, der von Augenpatienten, meist Arabern aus der Umgebung, auf ihn ausgeübt wurde, führte schließlich dazu, dass Dr. Kramer neben seiner landwirtschaftlichen Arbeit (anfangs) eine Augenklinik in der Nähe seines Hauses eröffnete. Die große Anzahl von Patienten, die seine Behandlung benötigten, führte schließlich dazu, dass er die Landwirtschaft aufgab und sich ganz der Medizin widmete.","Handwritten printed in Hebrew 'Our Arab Praxis', report by Mrs. Jenny Kramer, Nahariya 1961: Dr. Max Kramer, after unsuccessful attempts to settle in ophthalmology in Palestine, decided to become a farmer in Nahariya. The great pressure exerted on him by eye patients, mostly Arabs from the area, eventually led to Dr. Kramer, alongside his agricultural work (initially), opening an eye clinic near his home. The large number of patients who needed his treatment eventually led him to give up agriculture and return entirely to medicine.",Hebrew,דוח|Report,typewriting,original,Dr. Max Kramer,1961,,,
IL-MTFN-001-G-F-0041-001-R0004,IL-MTFN-001-G-F-0041-001,Photographs of Certificates: Report on Unauthorized Trade of Jews 1824,צילומים של תאודות: דין וחשבון של מסחר לא מאושר של יהודים 1824.,Fotografien von Zeugnissen: Bericht über den nicht genehmigten Handel von Juden 1824.,Photographs of certificates: Report on unauthorized trade of Jews 1824.,Hebrew|עברית,תצלום|Photograph,photography,copy,,1824,,,
IL-MTFN-001-G-F-0041-001-R0008,IL-MTFN-001-G-F-0041-001,Summary of Oldendorf,סיכום בגרמנית מודפס של העיירה אולדנדורף.,Gedruckte Zusammenfassung der Stadt Oldendorf.,Printed summary of the town of Oldendorf.,German,דוח|Report,typewriting,original,,,,,
IL-MTFN-001-G-F-0047-029-R0011,IL-MTFN-001-G-F-0047-029,Home Visits in Transit Camps in the 1950s,ביקורי בית במעברות והחשפות למנהגים והרגלים של העולים בשנות ה-50 למאה ה-20.,Hausbesuche in den Übergangslagern und Einblicke in die Bräuche und Gewohnheiten der Einwanderer in den 1950er Jahren des 20. Jahrhunderts.,Home visits in the transit camps and exposure to the customs and habits of the immigrants in the 1950s of the 20th century.,Hebrew,Report,,original,,,,,
IL-MTFN-001-G-F-0047-039-R0002,IL-MTFN-001-G-F-0047-039,"Bialik Office Booklets, 1941/42 and 1943/44","שתי חוברות כתובות עברית & גרמנית שהוציאה לשכת ביאליק, תל אביב, בשנים 1941/42 ו-1943/44. בחוברות מדווחת הלשכה על פעילויותיה, מאמרים של גדולי הישוב ביניהם גם אלפרד לנדסברג.","Zwei Hefte in Hebräisch und Deutsch, herausgegeben von der Bialik-Büro, Tel Aviv, in den Jahren 1941/42 und 1943/44. Die Hefte berichten über die Aktivitäten des Büros, Artikel von führenden Persönlichkeiten der Gemeinde, darunter auch Alfred Landsberg.","Two booklets written in Hebrew and German published by the Bialik Office, Tel Aviv, in the years 1941/42 and 1943/44. The booklets report on the office's activities, articles by leading figures of the community, including Alfred Landsberg.",Hebrew|German,חוברת|Booklet,print,original,,,1941,,
IL-MTFN-001-G-F-0047-044-R0003,IL-MTFN-001-G-F-0047-044,Booklet from the 20th Zionist Congress 1924 in Wiesbaden,"חוברת ממפגש הצירים הציוניים ה-20 1924 בויזבאדן Wiesbaden. בחוברת דווחים על הפעילות הציונית בגרמניה עם הרבה שמות של פעילים, דווח על פעילות הנוער, דווח על פעילות ""משרד פלשתינה בברלין, דווח של מזכירות ""החלוץ"", דווח על פעילות קרן-קיימת לישראל בגרמניה. בסוף החוברת רשימה של הכנסות ק.ק.ל מערים בגרמניה. כותרת החוברת: Delegiertentag XX, 28-31.12.1924, in Wiesbaden.","Broschüre vom 20. Zionistenkongress 1924 in Wiesbaden. Die Broschüre berichtet über die zionistische Aktivität in Deutschland mit vielen Namen von Aktivisten, Bericht über die Jugendaktivität, Bericht über das 'Palästina-Büro in Berlin', Bericht des Sekretariats 'HaChalutz', Bericht über die Aktivitäten des Jüdischen Nationalfonds in Deutschland. Am Ende der Broschüre eine Liste der Einnahmen des JNF aus Städten in Deutschland. Titel der Broschüre: Delegiertentag XX, 28-31.12.1924, in Wiesbaden.","Booklet from the 20th Zionist Congress 1924 in Wiesbaden. The booklet reports on Zionist activity in Germany with many names of activists, report on youth activity, report on the 'Palestine Office in Berlin', report of the 'HaChalutz' secretariat, report on the activities of the Jewish National Fund in Germany. At the end of the booklet, a list of JNF income from cities in Germany. Title of the booklet: Delegiertentag XX, 28-31.12.1924, in Wiesbaden.",Hebrew|German,חוברת|Booklet,print,original,,,1924-12-31,,
IL-MTFN-001-G-F-0071-001-R0008,IL-MTFN-001-G-F-0071-001,Research on Jewish Surnames,מחקר שמות משפחה יהודיות;,Forschung zu jüdischen Nachnamen;,Research on Jewish surnames;,Unspecified,מסמך מתורגם|Translated Document,,other,,,,,
