section_id	parent_r_item	transkribus_doc_id	page_start	page_end	divider_page	title_he	title_de_or_en	author	language	doc_type	date_text	in_existing_catalog	heimat_relevant	notes
0005-1-S01	PROVENANCE	1243735	1	1	1	כרטיס ספר האוסף G.F.0005/1	Tefen accession-register card	Tefen Open Museum	he	divider	registered 2002	register	no	Register card 1 of 3; technique: copy, printing, translation to Hebrew; donor Lea Alon, Netanya.
0005-1-S02	FRONT	1243735	2	5	2	שער ותצלומים	Front matter and photographs	family	mixed	front_matter	n.d.	no	no	Title/photo pages before the Hebrew typescript.
0005-1-S03	NEW	1243735	6	123	6	זכרונותיה של חנה-פרידה הקר — תרגום עברי	Hanna-Frieda Hecker memoirs — Hebrew translation	Hanna-Frieda Hecker (tr. Lea Alon-Hecker)	he	memoir	written 1943-1946; translated 1986, 1995	no	yes	Complete Hebrew translation typescript; photo pages 40-41, 79, 89 interspersed. Title page p.6.
0005-1-S04	DIVIDER	1243735	124	125	124	מפריד/תצלומים	Divider / photos	 	none	divider	n.d.	no	no
0005-1-S05	NEW	1243735	126	137	126	"רות אחורה" — זכרונות מקס מרדכי הקר	Max Hecker "Rueckblick" (own memoir)	Max Mordechai Hecker	de	memoir	n.d. [c.1940s-50s]	no	yes	Born 28.1.1879 Krakau; ends p.136 ("-11-"). German typescript.
0005-1-S06	R0003	1243735	138	150	138	דפים מודפסים מאתר המשפחה	Hecker family website printouts	Hecker family (ed. website)	en	website_printout	Feb 2007	yes	no	13 printed pages incl. Ruth (Hecker) Horan 100th-birthday feature; photos with English captions (pp.149-150).
0005-1-S07	R0001	1243735	151	154	151	לזכר לוטה אנגל — עברית	Lotte Engel memorial — Hebrew	family (typescript)	he	memorial	6.4.1968	yes	no	Hebrew version of the memorial text.
0005-1-S08	R0001	1243735	155	161	155	Lotte Engel-Hecker zum Gedenken	Lotte Engel memorial — German	family (typescript)	de	memorial	6.4.1968	yes	no	German version; includes her 1935 exploratory Palestine trip and synagogue-textile career.
0005-1-S09	R0002	1243735	162	168	162	גזירי "אונזרה שטימה" חוב' 24, קיץ 1965	"Unsere Stimme" Heft 24 (Sommer 1965) clippings	K.J.V. Tel Aviv	de	press_clipping	summer 1965	yes	no	Memorial article on Max (Mordechai) Hecker pp.164-167; Holdheim-brochure review (West Germany discourse) p.163; Pincoffs obituary p.168. Legacy R0002 title says "Horkheimer" — cataloguing error, article is about Max Hecker.
0005-1-S10	DIVIDER	1243735	169	170	169	שער גרמני	German title page + stray register sheet	 	de	divider	n.d.	no	no	p.170: "HANNA FRIEDA HECKER (geb. MOSES) ERINNERUNGEN".
0005-1-S11	NEW	1243735	171	317	171	זכרונות חנה-פרידה הקר — מקור גרמני	Hanna-Frieda Hecker "Erinnerungen" — German original	Hanna-Frieda Hecker	de	memoir	written 1943-1946 [bracketed additions to 24.3.1968; epilogue after 1974]	no	yes	Complete German typescript with post-war editorial layer by Lea Alon and family epilogue (d. 2.6.1974).
