page_no	chars	conf	script	modality	engine	needs_escalation	text_file
1	2896	0.896	hebrew	print	tesseract	no	ocr_tesseract/0001.txt
2	359	0.892	mixed	print	tesseract	no	ocr_tesseract/0002.txt
3	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0003.txt
4	220	0.850	mixed	print	tesseract	no	ocr_tesseract/0004.txt
5	440	0.435	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0005.txt
6	1776	0.892	hebrew	print	tesseract	no	ocr_tesseract/0006.txt
7	2413	0.879	hebrew	print	tesseract	no	ocr_tesseract/0007.txt
8	2419	0.881	hebrew	print	tesseract	no	ocr_tesseract/0008.txt
9	2472	0.873	hebrew	print	tesseract	no	ocr_tesseract/0009.txt
10	2497	0.890	hebrew	print	tesseract	no	ocr_tesseract/0010.txt
11	2402	0.882	hebrew	print	tesseract	no	ocr_tesseract/0011.txt
12	2387	0.910	hebrew	print	tesseract	no	ocr_tesseract/0012.txt
13	2474	0.901	hebrew	print	tesseract	no	ocr_tesseract/0013.txt
14	2263	0.895	hebrew	print	tesseract	no	ocr_tesseract/0014.txt
15	2154	0.894	hebrew	print	tesseract	no	ocr_tesseract/0015.txt
16	2427	0.906	hebrew	print	tesseract	no	ocr_tesseract/0016.txt
17	2399	0.882	hebrew	print	tesseract	no	ocr_tesseract/0017.txt
18	2462	0.879	hebrew	print	tesseract	no	ocr_tesseract/0018.txt
19	2358	0.898	hebrew	print	tesseract	no	ocr_tesseract/0019.txt
20	2238	0.897	hebrew	print	tesseract	no	ocr_tesseract/0020.txt
21	2187	0.883	hebrew	print	tesseract	no	ocr_tesseract/0021.txt
22	1540	0.875	hebrew	print	tesseract	no	ocr_tesseract/0022.txt
23	2129	0.891	hebrew	print	tesseract	no	ocr_tesseract/0023.txt
24	2378	0.877	hebrew	print	tesseract	no	ocr_tesseract/0024.txt
25	1675	0.892	hebrew	print	tesseract	no	ocr_tesseract/0025.txt
26	2366	0.874	hebrew	print	tesseract	no	ocr_tesseract/0026.txt
27	2381	0.905	hebrew	print	tesseract	no	ocr_tesseract/0027.txt
28	2392	0.887	hebrew	print	tesseract	no	ocr_tesseract/0028.txt
29	2340	0.891	hebrew	print	tesseract	no	ocr_tesseract/0029.txt
30	1915	0.891	hebrew	print	tesseract	no	ocr_tesseract/0030.txt
31	2282	0.902	hebrew	print	tesseract	no	ocr_tesseract/0031.txt
32	2453	0.892	hebrew	print	tesseract	no	ocr_tesseract/0032.txt
33	2424	0.882	hebrew	print	tesseract	no	ocr_tesseract/0033.txt
34	2401	0.898	hebrew	print	tesseract	no	ocr_tesseract/0034.txt
35	2409	0.891	hebrew	print	tesseract	no	ocr_tesseract/0035.txt
36	2324	0.888	hebrew	print	tesseract	no	ocr_tesseract/0036.txt
37	2339	0.879	hebrew	print	tesseract	no	ocr_tesseract/0037.txt
38	2273	0.881	hebrew	print	tesseract	no	ocr_tesseract/0038.txt
39	337	0.893	hebrew	print	tesseract	no	ocr_tesseract/0039.txt
40	886	0.396	mixed	handwriting_or_image	tesseract	yes	ocr_tesseract/0040.txt
41	229	0.453	mixed	handwriting_or_image	tesseract	yes	ocr_tesseract/0041.txt
42	1775	0.865	hebrew	print	tesseract	no	ocr_tesseract/0042.txt
43	2320	0.900	hebrew	print	tesseract	no	ocr_tesseract/0043.txt
44	2426	0.886	hebrew	print	tesseract	no	ocr_tesseract/0044.txt
45	2372	0.881	hebrew	print	tesseract	no	ocr_tesseract/0045.txt
46	2447	0.876	hebrew	print	tesseract	no	ocr_tesseract/0046.txt
47	2360	0.886	hebrew	print	tesseract	no	ocr_tesseract/0047.txt
48	2245	0.888	hebrew	print	tesseract	no	ocr_tesseract/0048.txt
49	2421	0.884	hebrew	print	tesseract	no	ocr_tesseract/0049.txt
50	2257	0.891	hebrew	print	tesseract	no	ocr_tesseract/0050.txt
51	2517	0.902	hebrew	print	tesseract	no	ocr_tesseract/0051.txt
52	2451	0.891	hebrew	print	tesseract	no	ocr_tesseract/0052.txt
53	2418	0.885	hebrew	print	tesseract	no	ocr_tesseract/0053.txt
54	2461	0.878	hebrew	print	tesseract	no	ocr_tesseract/0054.txt
55	2406	0.869	hebrew	print	tesseract	no	ocr_tesseract/0055.txt
56	2449	0.883	hebrew	print	tesseract	no	ocr_tesseract/0056.txt
57	2316	0.873	hebrew	print	tesseract	no	ocr_tesseract/0057.txt
58	2439	0.893	hebrew	print	tesseract	no	ocr_tesseract/0058.txt
59	2351	0.888	hebrew	print	tesseract	no	ocr_tesseract/0059.txt
60	2221	0.886	hebrew	print	tesseract	no	ocr_tesseract/0060.txt
61	2389	0.882	hebrew	print	tesseract	no	ocr_tesseract/0061.txt
62	2288	0.895	hebrew	print	tesseract	no	ocr_tesseract/0062.txt
63	1239	0.890	hebrew	print	tesseract	no	ocr_tesseract/0063.txt
64	2047	0.887	hebrew	print	tesseract	no	ocr_tesseract/0064.txt
65	2333	0.887	hebrew	print	tesseract	no	ocr_tesseract/0065.txt
66	2338	0.886	hebrew	print	tesseract	no	ocr_tesseract/0066.txt
67	2344	0.895	hebrew	print	tesseract	no	ocr_tesseract/0067.txt
68	2380	0.887	hebrew	print	tesseract	no	ocr_tesseract/0068.txt
69	2427	0.884	hebrew	print	tesseract	no	ocr_tesseract/0069.txt
70	2274	0.874	hebrew	print	tesseract	no	ocr_tesseract/0070.txt
71	2341	0.887	hebrew	print	tesseract	no	ocr_tesseract/0071.txt
72	2270	0.892	hebrew	print	tesseract	no	ocr_tesseract/0072.txt
73	1952	0.876	hebrew	print	tesseract	no	ocr_tesseract/0073.txt
74	1654	0.895	hebrew	print	tesseract	no	ocr_tesseract/0074.txt
75	2023	0.892	hebrew	print	tesseract	no	ocr_tesseract/0075.txt
76	1967	0.891	hebrew	print	tesseract	no	ocr_tesseract/0076.txt
77	1692	0.882	hebrew	print	tesseract	no	ocr_tesseract/0077.txt
78	2306	0.896	hebrew	print	tesseract	no	ocr_tesseract/0078.txt
79	510	0.413	mixed	handwriting_or_image	tesseract	yes	ocr_tesseract/0079.txt
80	2358	0.861	hebrew	print	tesseract	no	ocr_tesseract/0080.txt
81	2548	0.890	hebrew	print	tesseract	no	ocr_tesseract/0081.txt
82	2484	0.875	hebrew	print	tesseract	no	ocr_tesseract/0082.txt
83	2534	0.900	hebrew	print	tesseract	no	ocr_tesseract/0083.txt
84	2560	0.900	hebrew	print	tesseract	no	ocr_tesseract/0084.txt
85	2468	0.896	hebrew	print	tesseract	no	ocr_tesseract/0085.txt
86	2459	0.879	hebrew	print	tesseract	no	ocr_tesseract/0086.txt
87	2433	0.891	hebrew	print	tesseract	no	ocr_tesseract/0087.txt
88	2498	0.888	hebrew	print	tesseract	no	ocr_tesseract/0088.txt
89	226	0.443	mixed	handwriting_or_image	tesseract	yes	ocr_tesseract/0089.txt
90	1900	0.876	hebrew	print	tesseract	no	ocr_tesseract/0090.txt
91	2361	0.867	hebrew	print	tesseract	no	ocr_tesseract/0091.txt
92	2281	0.881	hebrew	print	tesseract	no	ocr_tesseract/0092.txt
93	2264	0.869	hebrew	print	tesseract	no	ocr_tesseract/0093.txt
94	2358	0.879	hebrew	print	tesseract	no	ocr_tesseract/0094.txt
95	2358	0.889	hebrew	print	tesseract	no	ocr_tesseract/0095.txt
96	2273	0.876	hebrew	print	tesseract	no	ocr_tesseract/0096.txt
97	1220	0.886	hebrew	print	tesseract	no	ocr_tesseract/0097.txt
98	2322	0.903	hebrew	print	tesseract	no	ocr_tesseract/0098.txt
99	2356	0.888	hebrew	print	tesseract	no	ocr_tesseract/0099.txt
100	1646	0.876	hebrew	print	tesseract	no	ocr_tesseract/0100.txt
101	2332	0.863	hebrew	print	tesseract	no	ocr_tesseract/0101.txt
102	2420	0.887	hebrew	print	tesseract	no	ocr_tesseract/0102.txt
103	2382	0.904	hebrew	print	tesseract	no	ocr_tesseract/0103.txt
104	2182	0.887	hebrew	print	tesseract	no	ocr_tesseract/0104.txt
105	2249	0.889	hebrew	print	tesseract	no	ocr_tesseract/0105.txt
106	2178	0.864	hebrew	print	tesseract	no	ocr_tesseract/0106.txt
107	2306	0.885	hebrew	print	tesseract	no	ocr_tesseract/0107.txt
108	2083	0.861	hebrew	print	tesseract	no	ocr_tesseract/0108.txt
109	2344	0.878	hebrew	print	tesseract	no	ocr_tesseract/0109.txt
110	2104	0.890	hebrew	print	tesseract	no	ocr_tesseract/0110.txt
111	1217	0.880	hebrew	print	tesseract	no	ocr_tesseract/0111.txt
112	2312	0.884	hebrew	print	tesseract	no	ocr_tesseract/0112.txt
113	1639	0.878	hebrew	print	tesseract	no	ocr_tesseract/0113.txt
114	2312	0.844	hebrew	print	tesseract	no	ocr_tesseract/0114.txt
115	2377	0.883	hebrew	print	tesseract	no	ocr_tesseract/0115.txt
116	2393	0.894	hebrew	print	tesseract	no	ocr_tesseract/0116.txt
117	2298	0.889	hebrew	print	tesseract	no	ocr_tesseract/0117.txt
118	2357	0.889	hebrew	print	tesseract	no	ocr_tesseract/0118.txt
119	2290	0.865	hebrew	print	tesseract	no	ocr_tesseract/0119.txt
120	2058	0.859	hebrew	print	tesseract	no	ocr_tesseract/0120.txt
121	2353	0.870	hebrew	print	tesseract	no	ocr_tesseract/0121.txt
122	2362	0.887	hebrew	print	tesseract	no	ocr_tesseract/0122.txt
123	1391	0.876	hebrew	print	tesseract	no	ocr_tesseract/0123.txt
124	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0124.txt
125	59	0.719	latin	print_degraded	tesseract	no	ocr_tesseract/0125.txt
126	3425	0.901	latin	print	tesseract	no	ocr_tesseract/0126.txt
127	3543	0.926	latin	print	tesseract	no	ocr_tesseract/0127.txt
128	3408	0.897	latin	print	tesseract	no	ocr_tesseract/0128.txt
129	3552	0.883	latin	print	tesseract	no	ocr_tesseract/0129.txt
130	3549	0.901	latin	print	tesseract	no	ocr_tesseract/0130.txt
131	3482	0.902	latin	print	tesseract	no	ocr_tesseract/0131.txt
132	3485	0.893	latin	print	tesseract	no	ocr_tesseract/0132.txt
133	3533	0.908	latin	print	tesseract	no	ocr_tesseract/0133.txt
134	3574	0.911	latin	print	tesseract	no	ocr_tesseract/0134.txt
135	3628	0.908	latin	print	tesseract	no	ocr_tesseract/0135.txt
136	2693	0.848	latin	print	tesseract	no	ocr_tesseract/0136.txt
137	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0137.txt
138	663	0.948	latin	print	tesseract	no	ocr_tesseract/0138.txt
139	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0139.txt
140	340	0.955	latin	print	tesseract	no	ocr_tesseract/0140.txt
141	754	0.946	latin	print	tesseract	no	ocr_tesseract/0141.txt
142	632	0.951	latin	print	tesseract	no	ocr_tesseract/0142.txt
143	787	0.950	latin	print	tesseract	no	ocr_tesseract/0143.txt
144	585	0.939	latin	print	tesseract	no	ocr_tesseract/0144.txt
145	1383	0.942	latin	print	tesseract	no	ocr_tesseract/0145.txt
146	157	0.928	latin	print	tesseract	no	ocr_tesseract/0146.txt
147	417	0.933	latin	print	tesseract	no	ocr_tesseract/0147.txt
148	181	0.847	latin	print	tesseract	no	ocr_tesseract/0148.txt
149	59	0.920	latin	print_degraded	tesseract	no	ocr_tesseract/0149.txt
150	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0150.txt
151	2098	0.888	hebrew	print	tesseract	no	ocr_tesseract/0151.txt
152	1313	0.889	hebrew	print	tesseract	no	ocr_tesseract/0152.txt
153	2065	0.878	hebrew	print	tesseract	no	ocr_tesseract/0153.txt
154	1774	0.885	hebrew	print	tesseract	no	ocr_tesseract/0154.txt
155	2230	0.931	latin	print	tesseract	no	ocr_tesseract/0155.txt
156	2135	0.945	latin	print	tesseract	no	ocr_tesseract/0156.txt
157	630	0.933	latin	print	tesseract	no	ocr_tesseract/0157.txt
