doc_id	page_range	title	date_text	doc_type	languages	from_person	to_person	places	persons	description_he	description_de	description_en	is_heimat_relevant	heimat_rationale	notes
0422-S01	1-5	Erinnerung an die Zukunft II / Remembering for the Future II — conference program	1994-03-13/17	conference_program	de+en			Berlin; Humboldt-Universität	Hans-Dietrich Genscher; Franklin H. Littell; Erich Geldbach; Eberhard Diepgen; Estrongo Nachama	תוכניית טקס הפתיחה של הכנס הבינלאומי השני "זיכרון לעתיד", ברלין 1994	Programm der Eröffnungsveranstaltung der 2. Internationalen Konferenz, Humboldt-Universität Berlin, 13.-17. März 1994	Opening-ceremony program of the 2nd International Conference "Remembering for the Future II", Berlin 1994	false	Academic conference material; participation, not return-visit memory work about a home town.	
0422-S02	6-9	A Rhetoric for Indifference: The Catholic Press in Interwar Poland	1994	conference_paper	en	Ronald Modras		Poland; Saint Louis	Ronald Modras	מאמר עיוני על העיתונות הקתולית בפולין ו"השאלה היהודית"	Wissenschaftlicher Vortragstext über die katholische Presse in Polen	Scholarly conference paper on the interwar Polish Catholic press and antisemitism	false	Reference scholarship, no Heimat link.	
0422-S03	10-46	Photocopied scholarly text (pp.3-36) on antisemitism terminology	n.d.	book_facsimile	en			—		צילום טקסט עיוני על אנטישמיות ומינוח	Fotokopierter Fachtext über Antisemitismus und Terminologie	Photocopy of a scholarly text on antisemitism and terminology	false	Reference material.	Continuously paginated 3-36.
0422-S04	47-81	"B: General" — phenomenology and terminology of antisemitism	n.d.	conference_paper	en			—		מאמר עיוני "B: General" על אנטישמיות	Fachvortrag "B: General" zur Phänomenologie des Antisemitismus	Scholarly panel paper "B: General" on antisemitism	false	Reference material.	
0422-S05	82-106	Die Kirche in Griechenland und die Zeugen Jehovas	n.d.	conference_paper	de	Thomas Kratzert		Griechenland	Thomas Kratzert	מאמר על הכנסייה ביוון ועדי יהוה — נטיות אנטי-יהודיות	Fachvortrag über die Kirche in Griechenland und die Zeugen Jehovas	Scholarly paper on the church in Greece and Jehovah's Witnesses	false	Reference material; author bio p.106.	
0422-S06	107	Erinnerung an die Zukunft II — special showing of "Schindler"	1994	conference_program	de+en			Berlin		דף כנס: הקרנה מיוחדת של "שינדלר", ברלין 1994	Programmblatt: Sondervorführung "Schindler", Berlin 1994	Program leaf: special showing of "Schindler", Berlin 1994	false	Conference material.	
0422-S07	108-162	Press clippings: Reichskristallnacht 50th-anniversary week, Hohenlohe	1988-11	newspaper_clippings	de			Schwäbisch Hall; Künzelsau; Berlichingen; Braunsbach; Berlichingen	Hanna Herzberg	תיק ובו 55 עמודים של גזירי עיתונות גרמניים ודפים נלווים, המתעדים את שבוע האירועים לציון חמישים שנה לפוגרום נובמבר 1938 ("ליל הבדולח") באזור הוהנלוהה, מראשית נובמבר 1988 ועד אמצעו. מן ה-Haller Tagblatt ומעיתון "Rundschau" מקומי: סיקור שבוע הזיכרון בשוואביש האל — ערב עדות עם חנה הרצברג ("כמו קו החוצה את החיים") והרצאה לתלמידים מפי פרופ' רות לינק-זלינגר, רב-שיח של איגוד המורים (GEW) על ניאו-פשיזם בבתי הספר, ערב שירי יידיש וסיפורים חסידיים עם פאול דואינג בכנסיית ההוספיטל, קונצרט רוק אנטי-פשיסטי ב"לוונקלר", הסיור העירוני האנטי-פשיסטי בהדרכת סילביה בוק ומרגרטה זיידל, נאומו של ראש המחוז (לנדראט) שטיקלה בעצרת הזיכרון המחוזית והצעת ה-CDU להציב לוח זיכרון במקום שבו עמד בית הכנסת של שטיינבך. חומר כנסייתי: סדר תפילה מודפס ודרשה מוקלדת על תהלים ק"ל לטקס האקומני של 9 בנובמבר (בכנסיית סנט מיכאל בשוואביש האל ובבראונסבך), וכן דיווח על הטקס האקומני בשטיינבך. כמה מן הגזירים נוגעים לשמעון ברלינגר: חשיפת לוח זיכרון בבית הכנסת לשעבר בבראונסבך, שעת הזיכרון בברליכינגן ב-12 בנובמבר בהשתתפות ראש הרשות קרל הן, תערוכת הצילומים "בית העלמין היהודי של ברליכינגן" (ברברה שוודלר), עדותו באוהרינגן על קורותיו בנובמבר 1938 וההודעה על הרצאתו "חיים יהודיים ומנהגים יהודיים" ב-17 בנובמבר. עוד ממחוז הוהנלוהה: רשימת אירועי הזיכרון במחוז, משמרות זיכרון של איגודי העובדים לפני בתי הכנסת לשעבר בקינצלזאו ובאוהרינגן, הטקס האקומני בכנסיית יוהנס בקינצלזאו וחמישים ורדים לבנים ליד אבן הזיכרון, הרצאתו ומחקרו של הארכיונאי העירוני שטפן קראוט על שריפת בית הכנסת של קינצלזאו ב-10 בנובמבר 1938, כתבה על בית הכנסת ההרוס של אוהרינגן והטקס בכנסיית בוניפציוס בבראונסבך. מעיתונות היילברון: חנוכתו המחודשת של בית הכנסת המשוחזר באפלטרך, סקירה על בתי כנסת לשעבר בבאדן-וירטמברג שנשתמרו כאתרי זיכרון, כתבה על הקהילות היהודיות בנות ימינו באזור ופרקים מסדרת ה-Heilbronner Stimme "פוגרומים 1938" (ובהם פרק על "ליל הבדולח" של ברליכינגן ועל המשפטים שלאחר המלחמה) — כמה מעמודי הסדרה כמעט בלתי קריאים בפענוח הממוחשב. סיקור ארצי: נאום הזיכרון השנוי במחלוקת של יושב ראש הבונדסטאג פיליפ ינינגר והתפטרותו, עצרת הזיכרון המרכזית בפרנקפורט בהשתתפות הקנצלר קוהל והיינץ גלינסקי, תיעוד הנאומים והדפסת נוסח נאומו של ינינגר. נוסף על אלה: דיווחים על אירועי זיכרון בגיילדורף (שלושה אירועים) ובאויטנדורף, דיווח כתב מאושוויץ, מאמרי דעה, קולות מן הרחוב וכמה מכתבי קוראים. בסוף התיק: עמוד השער ועמוד מתוך הדוח הגרמני "מסע אל העבר" על ביקורם של תושבים יהודים לשעבר בשוואביש האל ביולי 1985.	Konvolut von 55 Seiten deutscher Presseausschnitte und zugehöriger Blätter zur Veranstaltungswoche um den 50. Jahrestag der Novemberpogrome 1938 ('Reichskristallnacht') in der Region Hohenlohe, Anfang bis Mitte November 1988. Aus dem Haller Tagblatt und einer lokalen 'Rundschau': Berichte zur Schwäbisch Haller Gedenkwoche — ein Zeitzeugenabend mit Hanna Herzberg ('Wie ein Strich unters Leben') und ein Schülervortrag von Prof. Ruth Link-Salinger, ein GEW-Forum über Neofaschismus an Schulen, Paul Döings Abend mit jiddischen Liedern und chassidischen Geschichten in der Hospitalkirche, ein antifaschistisches Rockkonzert im 'Löwenkeller', die antifaschistische Stadtführung von Silvia Bock und Margarete Seidl, die Ansprache von Landrat Stückle bei der Kreisgedenkveranstaltung sowie ein CDU-Vorschlag für eine Gedenktafel am Standort der Steinbacher Synagoge. Kirchliches Material: eine gedruckte Gottesdienstordnung und eine maschinenschriftliche Predigt über Psalm 130 zum ökumenischen Gottesdienst am 9. November (St. Michael, Schwäbisch Hall, bzw. Braunsbach) sowie ein Bericht über den ökumenischen Gottesdienst in Steinbach. Mehrere Ausschnitte betreffen Simon Berlinger: die Enthüllung einer Gedenktafel in der ehemaligen Synagoge Braunsbach, die Berlichinger Gedenkstunde am 12. November mit Bürgermeister Karl Hehn, die Fotoausstellung 'Der Berlichinger Judenfriedhof' (Barbara Schwedler), sein Bericht in Öhringen über seine Erlebnisse im November 1938 und die Ankündigung seines Vortrags 'Jüdisches Leben und jüdisches Brauchtum' am 17. November. Weiter aus dem Hohenlohekreis: eine Übersicht der Gedenkveranstaltungen im Kreis, gewerkschaftliche Mahnwachen vor den ehemaligen Synagogen in Künzelsau und Öhringen, der ökumenische Gottesdienst in der Künzelsauer Johanneskirche mit fünfzig weißen Rosen am Gedenkstein, Vortrag und Recherchen des Stadtarchivars Stefan Kraut zum Brand der Künzelsauer Synagoge am 10. November 1938, ein Beitrag über die zerstörte Öhringer Synagoge und der Braunsbacher Gottesdienst in der Bonifatiuskirche. Aus der Heilbronner Presse: die Wiedereinweihung der restaurierten Synagoge Affaltrach, ein Überblick über als Gedenkstätten erhaltene ehemalige Synagogen in Baden-Württemberg, ein Beitrag über die heutigen jüdischen Gemeinden der Region sowie Folgen der Serie 'Pogrome 1938' der Heilbronner Stimme (darunter zur 'Berlichinger Kristallnacht' und den Nachkriegsprozessen) — mehrere Seiten dieser Serie sind in der Texterkennung weitgehend unlesbar. Überregionale Berichterstattung: die umstrittene Gedenkrede von Bundestagspräsident Philipp Jenninger und sein Rücktritt, die zentrale Gedenkfeier in Frankfurt mit Bundeskanzler Kohl und Heinz Galinski, eine Dokumentation der Reden und der Abdruck von Jenningers Redetext. Dazu: Berichte über Gedenkveranstaltungen in Gaildorf (drei Veranstaltungen) und Eutendorf, ein Korrespondentenbericht aus Auschwitz, Kommentare, Umfrage-Stimmen und mehrere Leserbriefe. Am Schluss Titelblatt und eine Seite des deutschsprachigen Berichts 'Eine Reise in die Vergangenheit' über den Besuch ehemaliger jüdischer Mitbürger in Schwäbisch Hall im Juli 1985.	File of 55 pages of German press clippings and related papers documenting the week of events around the 50th anniversary of the November 1938 pogrom ('Reichskristallnacht') in the Hohenlohe region, early-to-mid November 1988. From the Haller Tagblatt and a local 'Rundschau': coverage of the Schwäbisch Hall commemorative week — an eyewitness evening with Hanna Herzberg ('Wie ein Strich unters Leben') and a lecture to pupils by Prof. Ruth Link-Salinger, a teachers'-union (GEW) forum on neo-fascism in schools, Paul Döing's evening of Yiddish songs and Hasidic tales in the Hospitalkirche, an anti-fascist rock concert in the 'Löwenkeller', the anti-fascist city tour led by Silvia Bock and Margarete Seidl, District Governor (Landrat) Stückle's address at the district memorial event, and a CDU proposal for a plaque at the site of the Steinbach synagogue. Church material: a printed order of service and a typescript sermon on Psalm 130 for the ecumenical service of 9 November (St Michael, Schwäbisch Hall, and Braunsbach), plus a report on the ecumenical service in Steinbach. Several clippings concern Simon Berlinger: the unveiling of a memorial plaque in the former Braunsbach synagogue, the Berlichingen memorial hour of 12 November with mayor Karl Hehn, the photo exhibition 'Der Berlichinger Judenfriedhof' (Barbara Schwedler), his account in Öhringen of his experiences of November 1938, and the announcement of his lecture 'Jüdisches Leben und jüdisches Brauchtum' on 17 November. Further Hohenlohekreis coverage: a listing of the commemorative events across the district, trade-union vigils at the former synagogues in Künzelsau and Öhringen, the ecumenical service in the Künzelsau Johanneskirche with fifty white roses at the memorial stone, city archivist Stefan Kraut's lecture and research on the burning of the Künzelsau synagogue on 10 November 1938, a feature on the destroyed Öhringen synagogue, and the Braunsbach service in the Bonifatiuskirche. From the Heilbronn press: the rededication of the restored Affaltrach synagogue, a survey of former synagogues in Baden-Württemberg preserved as memorials, a piece on the region's present-day Jewish communities, and installments of the Heilbronner Stimme series 'Pogrome 1938' (including one on the 'Berlichingen Kristallnacht' and the post-war trials) — several of these series pages are largely illegible in the OCR. National coverage: Bundestag president Philipp Jenninger's controversial memorial speech and resignation, the central commemoration in Frankfurt with Chancellor Kohl and Heinz Galinski, a documentation of the speeches, and a reprint of Jenninger's speech text. Also: reports on commemorations in Gaildorf (three events) and Eutendorf, a correspondent's report from Auschwitz, editorials, vox-pop interviews and several readers' letters. The file closes with the title page and one page of 'Eine Reise in die Vergangenheit', a German-language report on the visit of former Jewish citizens to Schwäbisch Hall in July 1985.	true	Documents regional Holocaust-remembrance work in Berlinger's home area; "Eine Reise in die Vergangenheit" (p.161).	NEEDS human split into individual clippings.
0422-S08	116	Ecumenical service order "I Eröffnung" (hymn leaf)	n.d.	service_order	de			—		סדר טקס אקומני — דף פתיחה ומזמורים	Gottesdienstordnung "I Eröffnung" (Liedblatt)	Ecumenical service opening/hymn leaf	true	Likely part of a regional Kristallnacht memorial service.	Nested in clipping cluster; NEEDS human confirm.
0422-S09	163-180	Material zum Referat "Warum hat die evang. Kirche im Dritten Reich geschwiegen?" (Freudental 1986)	1986-06	lecture_handout	de	Eberhard Röhm		Freudental	Eberhard Röhm; Jörg Thierfelder	חומרי מקור לרפרט בפרוידנטל 1986 על שתיקת הכנסייה בשואה	Quellenmaterial zum Referat in Freudental 1986	Source packet for a 1986 lecture on the churches' silence in the Third Reich	false	Reference material.	
0422-S10	181-184	"Wer sind wir?" flyer + regional Jewish-history exhibitions	n.d.	brochure	de			Heilbronn		עלון "מי אנחנו?" והודעות תערוכות על תולדות היהודים	Flugblatt "Wer sind wir?" + regionale Ausstellungshinweise	Educator-association flyer + regional Jewish-history exhibition notices	false	Reference material.	
