section_id	parent_r_item	transkribus_doc_id	page_start	page_end	divider_page	title_he	title_de_or_en	author	language	doc_type	date_text	in_existing_catalog	heimat_relevant	notes
0422-S01			1	5	1	תוכניית הכנס "זיכרון לעתיד II", ברלין 1994	Erinnerung an die Zukunft II / Remembering for the Future II — conference program	2. Internationale Konferenz, Humboldt-Universität Berlin	de+en	conference_program	1994-03-13/17	no	no	Opening ceremony program, 2nd Intl. Conference "Remembering for the Future II", Berlin 13-17 Mar 1994. Patron Genscher. Reference/participation material, not Berlinger return-visit evidence.
0422-S02			6	9	6	מאמר: רטוריקה של אדישות (העיתונות הקתולית בפולין)	A Rhetoric for Indifference: The Catholic Press in Interwar Poland on the "Jewish Question"	Ronald Modras (Saint Louis University)	en	conference_paper	1994	no	no	Scholarly conference paper (typescript), likely from the Berlin 1994 conference. No Heimat link.
0422-S03			10	46	10	צילום ספר/מאמר (עמ' 3-36) — אנטישמיות ולשון	Photocopied book/article (pp.3-36) — antisemitism, language & terminology	unknown	en	book_facsimile	n.d.	no	no	Continuously paginated 3-36 English scholarly text on antisemitism terminology (see p.47 "B: General"). Reference material.
0422-S04			47	81	47	מאמר: "B: General" — פנומנולוגיה של אנטישמיות	"B: General" — phenomenology/terminology of antisemitism	unknown	en	conference_paper	n.d.	no	no	Repeated running head "B: General"; scholarly panel paper. Reference material.
0422-S05			82	106	82	מאמר: הכנסייה ביוון ועדי יהוה	Die Kirche in Griechenland und die Zeugen Jehovas — nationalist-antijewish tendencies	Thomas Kratzert	de	conference_paper	n.d.	no	no	German scholarly paper + author biography (p.106). Reference material.
0422-S06			107	107	107	דף כנס: הקרנת "שינדלר" (ברלין 1994)	Erinnerung an die Zukunft II — special showing of "Schindler" documentary	Berlin 1994 conference	de+en	conference_program	1994	no	no	Single program leaf, Berlin 1994 conference film screening.
0422-S07			108	162	108	קטעי עיתונות: שבוע "ליל הבדולח" בשוובּיש הַל 1988	Press clippings: "Reichskristallnacht" 50th-anniversary week, Schwäbisch Hall / Hohenlohe	Haller Tagblatt, Heilbronner Stimme, Rundschau	de	newspaper_clippings	1988-11	partial	yes	Large clipping cluster on the Nov 1988 commemorations across Hohenlohe (Schwäbisch Hall, Künzelsau, Berlichingen, Braunsbach). p.161 "Eine Reise in die Vergangenheit". Documents local Erinnerungsarbeit in Berlinger's home region. NEEDS human split into individual clippings.
0422-S08			116	116	116	סדר טקס: I Eröffnung (מוזיקה/מזמורים)	Ecumenical service order "I Eröffnung" (hymn sheet fragment)	unknown	de	service_order	n.d.	maybe	yes	Liturgical hymn/opening leaf; likely part of a Kristallnacht memorial service in the region. NEEDS human confirm placement.
0422-S09			163	180	163	חומר לרפרט: מדוע שתקה הכנסייה האוונגלית ברייך השלישי	Material zum Referat "Warum hat die evang. Kirche im Dritten Reich geschwiegen?" (Freudental 1986)	zusammengestellt von Eberhard Röhm	de	lecture_handout	1986-06	no	no	Photocopied source packet for a 1986 lecture (Röhm/Thierfelder). Reference material.
0422-S10			181	184	181	עלון: "מי אנחנו?" + מוזיאונים/תערוכות אזוריים	"Wer sind wir?" flyer + regional Jewish-history exhibitions (Heilbronn a.o.)	various	de	brochure	n.d.	no	no	Educator-association flyer + exhibition notices (Geschichte der Juden in Kreis und Stadt Heilbronn). Reference.
0422-S11			185	235	185	תוכניית הכנס ה-26 של החוקרים על השואה והכנסיות (מיניאפוליס 1996)	26th Annual Scholars' Conference on the Holocaust and the Churches — program	Marcia Sachs Littell et al.	en	conference_program	1996-03-03/05	no	no	Full program booklet incl. floor plans, participant list, scholarly abstracts (Silver Anniversary). Reference/participation.
0422-S12			236	241	236	מאמר: משפחת נויבאואר (יעקב נויבאואר)	Article on the Neubauer family / Jakob Neubauer (jurist, emigration)	unknown	de	article	n.d.	no	no	Biographical scholarly text on the Neubauer family. No direct Berlinger/Heimat link.
0422-S13			242	248	242	סדר טקס אקומני + הזמנת הרצאה של שמעון ברלינגר (ברליכינגן 1968)	Ecumenical service order + Simon Berlinger lecture invitation, Berlichingen 17.11.1968	Kath. Gemeinde Berlichingen / Simon Berlinger	de	invitation_program	1968-11-17	yes	yes	p.243/247: invitation to Berlinger's talk "Jüdisches Leben" in the Catholic parish hall Berlichingen, 17 Nov 1968. DIRECT evidence of Berlinger's return-lecture engagement in his home town. p.247 Finanzamt Künzelsau doc.
0422-S14			249	263	249	לתולדות היהודים בשוובּיש הַל + קטע ברלינגר "לשעבר ברליכינגן, כיום חיפה"	Zur Geschichte der Juden in Schwäbisch Hall + memorial-service text naming Berlinger	various / Simon Berlinger	de	historical_text	n.d.	yes	yes	p.252 "Herr Berlinger, früher Berlichingen, heute Haifa, nimmt dazu Stellung" — Berlinger participates in a regional memorial service. Local Jewish-history text. Heimat-axis (return engagement).
