page_no	chars	mean_conf
1	237	0.814
2	0	0.0
3	14	0.519
4	1	0.903
5	0	0.0
6	0	0.0
7	0	0.0
8	0	0.0
9	0	0.0
10	0	0.0
11	0	0.0
12	0	0.0
13	0	0.0
14	32	0.5
15	0	0.0
16	165	0.425
17	33	0.44
18	22	0.367
19	390	0.656
20	76	0.523
21	0	0.0
22	26	0.295
23	46	0.939
24	207	0.521
25	300	0.491
26	0	0.0
27	29	0.684
28	70	0.43
29	50	0.46
30	552	0.749
31	445	0.813
32	1093	0.454
33	295	0.486
34	315	0.452
35	32	0.628
36	493	0.902
37	23	0.947
38	21	0.35
39	57	0.646
40	453	0.497
41	161	0.479
42	0	0.0
43	1	0.905
44	15	0.241
45	28	0.489
46	0	0.0
47	624	0.482
48	163	0.357
49	0	0.0
50	1	0.592
51	39	0.497
52	70	0.498
53	0	0.0
54	17	0.8
55	0	0.0
56	4	0.637
57	127	0.77
58	238	0.717
59	0	0.0
60	54	0.649
61	0	0.0
62	226	0.367
63	16	0.459
64	0	0.0
65	101	0.55
66	185	0.391
67	160	0.445
68	0	0.0
69	0	0.0
70	100	0.402
71	128	0.399
72	0	0.0
73	0	0.0
74	170	0.405
75	71	0.646
76	124	0.593
77	157	0.416
78	96	0.474
79	168	0.346
80	101	0.383
81	126	0.481
82	82	0.478
83	140	0.411
84	64	0.494
85	30	0.465
86	144	0.524
87	0	0.0
88	29	0.82
89	0	0.0
90	42	0.519
91	0	0.0
92	16	0.442
93	40	0.554
94	0	0.0
95	85	0.634
96	3	0.0
97	0	0.0
98	0	0.0
99	0	0.0
100	0	0.0
101	59	0.361
102	24	0.51
103	0	0.0
104	70	0.363
105	0	0.0
106	1287	0.952
