page_no	chars	mean_conf
1	0	0.0
2	1534	0.918
3	1601	0.924
4	1675	0.933
5	1626	0.927
6	1323	0.939
7	1529	0.908
8	1570	0.937
9	1675	0.939
10	1615	0.935
11	1334	0.945
12	73	0.538
13	1293	0.846
14	1402	0.857
15	1236	0.779
16	1290	0.884
17	1102	0.863
18	1368	0.815
19	1555	0.92
20	1802	0.915
21	1639	0.899
22	1717	0.782
23	1734	0.89
24	1627	0.883
25	1597	0.907
26	1285	0.913
27	1821	0.915
28	0	0.0
29	2146	0.881
30	1642	0.934
31	92	0.455
32	1358	0.882
33	818	0.935
34	1934	0.919
35	1985	0.93
36	1233	0.858
37	832	0.932
38	1714	0.877
39	572	0.924
40	1064	0.925
41	1556	0.934
42	1391	0.926
43	1829	0.921
44	2163	0.905
45	1111	0.928
46	1146	0.927
47	1126	0.91
48	1615	0.835
49	1074	0.905
50	1389	0.914
51	1564	0.933
52	1014	0.873
53	1242	0.92
54	961	0.926
55	1300	0.932
56	986	0.908
57	1005	0.913
58	1319	0.898
59	894	0.938
60	821	0.763
61	1908	0.682
62	1696	0.627
63	1980	0.669
64	469	0.577
65	951	0.536
66	2318	0.812
67	2041	0.851
68	2104	0.872
69	2424	0.723
70	2416	0.844
71	2169	0.839
72	1784	0.864
73	2033	0.85
74	2039	0.824
75	2324	0.701
76	1844	0.843
77	2089	0.818
78	1202	0.682
79	0	0.0
80	1475	0.899
81	1567	0.939
82	1405	0.936
83	1595	0.937
84	1523	0.915
85	935	0.918
86	757	0.897
87	0	0.0
88	1884	0.866
89	2424	0.895
90	1860	0.887
91	1716	0.881
92	2361	0.877
93	2481	0.747
94	2202	0.905
95	2322	0.929
96	1769	0.886
97	1711	0.916
98	1632	0.888
99	2495	0.937
100	2636	0.929
101	2471	0.935
102	2656	0.933
103	3061	0.935
104	3190	0.941
105	3039	0.928
106	2807	0.931
107	2802	0.924
108	0	0.0
109	1520	0.927
110	1778	0.94
111	1651	0.941
112	1774	0.93
113	705	0.935
114	0	0.0
115	927	0.909
116	1093	0.923
117	1077	0.921
118	956	0.904
119	1113	0.925
120	1208	0.928
121	999	0.892
122	919	0.918
123	1117	0.91
124	1316	0.928
125	258	0.405
126	235	0.42
127	143	0.479
128	138	0.405
129	189	0.413
130	232	0.411
131	199	0.423
132	280	0.44
133	297	0.397
134	68	0.493
135	309	0.397
136	302	0.449
137	291	0.455
138	198	0.453
139	185	0.488
140	167	0.391
141	78	0.363
142	130	0.461
143	154	0.578
144	0	0.0
145	317	0.469
146	133	0.397
147	291	0.427
148	202	0.483
149	275	0.406
150	220	0.401
151	0	0.0
152	148	0.423
153	336	0.416
154	303	0.416
155	163	0.456
156	334	0.374
157	311	0.462
158	151	0.437
159	0	0.0
160	62	0.474
161	6	0.129
162	176	0.388
163	18	0.474
164	0	0.0
165	1690	0.932
166	1572	0.942
167	1652	0.947
168	1762	0.943
169	1717	0.946
170	1793	0.937
171	1686	0.95
172	1746	0.949
173	1841	0.943
174	0	0.0
175	1928	0.887
176	2319	0.888
177	2108	0.85
178	2453	0.898
179	2104	0.894
180	2294	0.923
181	2132	0.909
182	2054	0.916
183	0	0.0
184	1305	0.882
185	1693	0.945
186	1784	0.9
187	1763	0.924
188	1733	0.897
189	26	0.308
190	1485	0.92
191	1841	0.918
192	1636	0.94
193	1782	0.943
194	0	0.0
195	1619	0.943
196	54	0.468
197	1536	0.942
198	103	0.459
199	1526	0.908
200	0	0.0
201	1412	0.939
202	1292	0.938
203	1447	0.943
204	1457	0.938
205	1423	0.945
206	1746	0.948
207	1769	0.942
208	868	0.937
209	1144	0.878
210	1591	0.894
211	1596	0.888
212	1261	0.872
213	1456	0.89
214	1869	0.914
215	1689	0.902
216	0	0.0
217	1925	0.878
218	1558	0.882
219	2218	0.865
220	2124	0.857
221	1635	0.85
222	2339	0.693
223	1669	0.805
224	2387	0.842
225	2296	0.879
226	1651	0.915
227	205	0.41
228	316	0.426
229	35	0.601
230	159	0.411
231	326	0.448
232	0	0.0
233	33	0.513
234	0	0.0
235	146	0.377
236	0	0.0
237	1935	0.884
238	1896	0.905
239	1790	0.9
240	1900	0.91
241	34	0.538
242	2335	0.815
243	78	0.613
244	2106	0.894
245	1761	0.869
246	1252	0.874
247	2211	0.848
248	1215	0.904
249	1801	0.907
250	2329	0.903
251	1523	0.87
252	2399	0.898
253	829	0.869
254	2482	0.883
255	72	0.585
256	2252	0.932
257	2666	0.916
258	0	0.0
259	3316	0.695
260	42	0.449
261	1038	0.812
262	1470	0.925
263	1246	0.926
264	1404	0.935
265	1450	0.938
266	1606	0.927
267	1369	0.921
268	1341	0.929
269	1204	0.938
270	354	0.501
271	1507	0.937
272	1407	0.914
273	1684	0.945
274	1551	0.936
275	1507	0.929
276	1312	0.932
277	1227	0.926
278	1599	0.945
279	1696	0.934
280	1872	0.935
281	1466	0.94
282	1984	0.939
283	1865	0.932
284	1738	0.923
285	1649	0.936
286	1823	0.945
287	1652	0.911
288	1418	0.927
289	1643	0.928
290	1644	0.923
291	1616	0.935
292	1836	0.927
293	1945	0.947
294	1668	0.932
295	1575	0.933
296	1458	0.929
297	1586	0.937
298	1870	0.94
299	1604	0.929
300	1952	0.938
301	1782	0.927
302	1656	0.908
303	1564	0.935
304	1724	0.94
305	1457	0.933
306	1619	0.937
307	1596	0.882
308	1715	0.941
309	1758	0.934
310	1427	0.93
311	1614	0.938
312	1608	0.919
313	1636	0.95
314	1796	0.924
315	1418	0.931
316	1563	0.941
317	1758	0.938
318	1531	0.943
319	1533	0.932
320	1575	0.93
321	1594	0.934
322	1553	0.935
323	1674	0.947
324	1675	0.926
325	1595	0.938
326	1398	0.922
327	1641	0.932
328	2074	0.934
329	2020	0.931
330	1997	0.92
331	1737	0.916
332	1717	0.944
333	1593	0.939
334	1404	0.871
335	1413	0.895
336	1487	0.901
337	1520	0.9
338	299	0.397
339	1400	0.9
340	1616	0.901
341	1301	0.928
342	48	0.536
343	1376	0.888
344	1269	0.921
345	1433	0.914
346	1200	0.878
347	67	0.342
348	1902	0.868
349	4	0.57
350	1901	0.851
351	118	0.48
352	56	0.54
353	421	0.413
354	175	0.402
355	389	0.416
356	189	0.464
357	141	0.496
358	317	0.425
359	107	0.425
360	1906	0.853
361	2059	0.918
362	2441	0.919
363	2274	0.919
364	2478	0.923
365	2423	0.913
366	2361	0.921
367	2384	0.92
368	2284	0.913
369	2054	0.916
370	2395	0.909
371	2402	0.908
372	2401	0.892
373	2430	0.911
374	2248	0.899
375	644	0.432
376	2137	0.846
377	86	0.471
378	1905	0.787
379	2043	0.922
380	1493	0.839
381	1587	0.9
382	2493	0.898
383	2135	0.857
384	2093	0.757
385	2179	0.927
386	2075	0.847
387	2374	0.912
388	2203	0.823
389	2016	0.806
390	1878	0.807
391	2208	0.828
392	2212	0.917
393	2080	0.892
394	1969	0.872
395	1848	0.92
396	1847	0.891
