doc_id	page_range	title	date_text	doc_type	languages	from_person	to_person	places	persons	description_he	description_de	description_en	is_heimat_relevant	heimat_rationale	notes
0113-S01	2-11	Rede an Prof. Theodor Heuss ("Schwäbischer Abend", Shaveh Zion)	1960-05-21	humorous_poem_speech	de	Fritz Wolf		Shaveh Zion; Nahariya; Schwaben	Theodor Heuss; Fritz Wolf	שיר-נאום היתולי בניב שוובי לכבוד ביקור הנשיא תאודור הויס בשבי-ציון; וולף "מלמד" את הויס עברית.	Komischer Mundart-Vers zu Ehren von Alt-Bundespräsident Heuss beim "Schwäbischen Abend" in Shaveh Zion.	Comic Swabian-dialect welcome poem for ex-President Heuss's 1960 visit to Shaveh Zion.	false	Diaspora-visitor reception in Israel, not memory work about a German Heimat.	Two typescript variants pp2-6 / 7-11.
0113-S02	13-27	Deutschland, eine Winterreise (Vortrag für den "Golden-Age-Club" der Wizo Nahariya)	1969-04-28	lecture	de	Fritz Wolf	Golden-Age-Club der Wizo Nahariya (audience)	Deutschland (München, Frankfurt); Nahariya; Stalingrad	Fritz Wolf; Kurt M. (ex-Wehrmacht officer); Rehse (Freisler judge)	טיוטה מודפסת בת 15 עמודים של ההרצאה 'גרמניה — מסע חורף' ('Deutschland, eine Winterreise'), שנשא פריץ וולף ב-28 באפריל 1969 בפני מועדון 'גיל הזהב' של ויצו נהריה, דין וחשבון על מסע חורף במערב גרמניה; הכותרת מהדהדת את 'גרמניה. אגדת חורף' של היינה. וולף פותח בהרהורים על האופן שבו נוסעים בוררים את חוויותיהם, מונה סוגי נסיעות (נסיעת תענוגות, הבראה, עסקים, נסיעת שילומים, מסע לתולדות האמנות) ומכריז שנסיעתו שלו היא 'מסע השכלה' שעניינו ספרות ותיאטרון מודרניים; השיחה בנויה סביב הניגוד 'ממסד' מול אפ"ו (האופוזיציה החוץ-פרלמנטרית) — הזקנים מול הצעירים. חלק א' מתאר את רפובליקת השפע: הכלכלה הפועלת במלוא הקצב, על מחסור העובדים והפועלים הזרים שבה, הדייקנות והאדיבות, חפירות הרכבת התחתית במינכן ומעברי הקניות התת-קרקעיים בהאופטוואכה שבפרנקפורט; סמלי הסטטוס של הצרכנים, המומחשים בסיור מפורט ב'בונגלו' משפחתי על שפת אגם שטרנברג, במטבחו ובחדר האמבטיה שלו, ובארוחת ערב 'כפרית'; וגלריה של מקרים אישיים בשאלת יחס הגרמנים ליהודים — גברת מתילדה ר', שניתקה מגע בשלב מוקדם וכיום מתנהגת כאילו לא קרה דבר, קצין הוורמאכט לשעבר קורט מ', שנפצע בסטלינגרד, רופא אס-אס המתגלה כ'שוטה תמים' נאיבי, אלוף-משנה שהיה מעורב בקשר שטאופנברג, וגברת פון ק', שהבריחה ידידים יהודים אל מעבר לגבול. פרק על הטלוויזיה מתאר בהרחבה את שעשועוני החידונים 'מה אני?' ו'הכול או לא כלום'. חלק ב' פונה אל גרמניה האחרת: כוחות ריאקציוניים (פרשת רזה — זיכויו של שופט מבית הדין העממי של פרייזלר), האוניברסיטאות הגדושות ומחאת הסטודנטים, ובכללה השתלטות על בניין שפונתה בידי המשטרה, הנשים הצעירות המקצועיות והמשוחררות, האופנה ותרבות הנעורים האנטי-בורגנית (חצאיות מיני, הביטלס, ביטניקים, סמים), והתיאטרון והקולנוע החדשים — התיאטרון האפי של ברכט, 'העלבת הקהל' ו'קספר' של פטר הנדקה, והקומדיה הקולנועית 'Zur Sache, Schätzchen', המסופרת אפיזודה אחר אפיזודה. וולף חותם בנימה אישית: הוא היה שמח לספר עוד על מולדתו וירטמברג, מודה שעל אף כל החיבה אינו רוצה עוד לנסוע לשם, ומסיים בהצעת מתכונים שוואביים ובסיפור שוואבי קצר. על גבי הטיוטה הערות צפופות בכתב יד, ופענוח ה-OCR משובש פה ושם.	Fünfzehnseitiges Typoskript des Vortrags 'Deutschland, eine Winterreise', gehalten von Fritz Wolf am 28. April 1969 vor dem Golden-Age-Club der Wizo Nahariya, ein Bericht über eine Winterreise durch Westdeutschland; der Titel klingt an Heines 'Deutschland. Ein Wintermärchen' an. Wolf beginnt mit Überlegungen zur Auswahl der Reiseerlebnisse, zählt Reisetypen auf (Vergnügungs-, Erholungs-, Geschäfts-, Wiedergutmachungs-, kunstgeschichtliche Reise) und erklärt die eigene zur 'Bildungsreise' in Sachen moderner Literatur und modernen Theaters; gegliedert ist die Plauderei nach dem Gegensatz Establishment gegen APO (Außerparlamentarische Opposition) — die Alten gegen die Jungen. Teil A schildert die Wohlstandsrepublik: die auf vollen Touren laufende Wirtschaft mit Arbeitskräftemangel und ausländischen Arbeitern, Pünktlichkeit und Höflichkeit, den U-Bahn-Bau in München und die unterirdischen Ladenpassagen an der Frankfurter Hauptwache; die Statussymbole der Verbraucher, veranschaulicht durch die ausführliche Besichtigung eines 'Bungalows' am Starnberger See samt Küche und Bad sowie ein 'Bauernessen'; dazu eine Galerie von Einzelfällen zum Verhältnis der Deutschen zu den Juden — Frau Mathilde R., die früh den Verkehr abbrach und heute tut, als wäre nichts gewesen, der bei Stalingrad verwundete Ex-Wehrmachtsoffizier Kurt M., ein SS-Arzt, der sich als naiver 'reiner Tor' erweist, ein in das Stauffenberg-Komplott verwickelter Oberst und Frau von K., die jüdische Freunde über die Grenze brachte. Ein Abschnitt über das Fernsehen beschreibt ausführlich die Quizsendungen 'Was bin ich?' und 'Alles oder Nichts'. Teil B wendet sich dem anderen Deutschland zu: reaktionäre Kräfte (der Fall Rehse — Freispruch eines Richters des Freisler'schen Volksgerichtshofs), die überfüllten Universitäten und der Studentenprotest samt einer polizeilich geräumten Hausbesetzung, die emanzipierten jungen Berufsfrauen, Mode und antibürgerliche Jugendkultur (Minirock, Beatles, Beatniks, Rauschgifte) sowie das neue Theater und Kino — Brechts episches Theater, Peter Handkes 'Publikumsbeschimpfung' und 'Kaspar' und die Filmkomödie 'Zur Sache, Schätzchen', Episode für Episode nacherzählt. Zum Schluss wird Wolf persönlich: Gern hätte er noch mehr vom heimatlichen Württemberg geplaudert, gesteht aber, dass er bei aller Sympathie nicht mehr dorthin möchte, und endet mit dem Angebot schwäbischer Rezepte und einem schwäbischen Geschichtchen. Das Typoskript trägt dichte handschriftliche Randnotizen; die OCR ist stellenweise entstellt.	A 15-page typescript of the lecture 'Deutschland, eine Winterreise', delivered by Fritz Wolf to the Golden Age Club of WIZO Nahariya on 28 April 1969 and reporting on a winter journey through West Germany; the title echoes Heine's 'Deutschland. Ein Wintermärchen'. Wolf opens with reflections on how travellers select their experiences, lists types of journeys (pleasure, recuperation, business, restitution, art-historical) and declares his own a 'Bildungsreise' devoted to modern literature and theatre, organizing the talk around the opposition Establishment versus APO (the extra-parliamentary opposition) — the old against the young. Part A portrays the prosperous Federal Republic: the economy running at full speed with its labour shortage and foreign workers, punctuality and politeness, the subway works in Munich and the underground shopping passages at Frankfurt's Hauptwache; consumer status symbols, illustrated by a detailed tour of a family 'bungalow' on the Starnberger See with its kitchen and bathroom and by a 'Bauernessen' dinner; and a gallery of individual cases on Germans' relations to Jews — Frau Mathilde R., who broke off contact early and now acts as if nothing had happened, the former Wehrmacht officer Kurt M., wounded at Stalingrad, an SS doctor judged a naive 'pure fool', a colonel entangled in the Stauffenberg plot, and Frau von K., who smuggled Jewish friends across the border. A section on television describes at length the quiz programmes 'Was bin ich?' and 'Alles oder Nichts'. Part B turns to the other Germany: reactionary forces (the Rehse case — the acquittal of a judge of Freisler's Volksgerichtshof), the overcrowded universities and student protest including a house occupation cleared by police, the emancipated young professional women, fashion and anti-bourgeois youth culture (miniskirts, Beatles, beatniks, drugs), and the new theatre and cinema — Brecht's epic theatre, Peter Handke's 'Publikumsbeschimpfung' and 'Kaspar', and the film comedy 'Zur Sache, Schätzchen', retold episode by episode. Wolf closes on a personal note: he would have liked to talk more about his native Württemberg, admits that for all his attachment he no longer wishes to go there, and ends by offering Swabian recipes and a Swabian anecdote. The typescript carries dense handwritten marginalia, and the OCR is garbled in places.	true	Post-emigration return-visit-to-Germany narrative delivered to a Jecke audience — the archetype of Heimat-axis memory work; explicit Heine framing of the trip home.	Clean typescript, high OCR conf. Recommended for facsimile mockup: title page p13 + body pp16,19.
0113-S03	29-33	Die Frau als Instrument der Ausbeutung	n.d.	lecture	de	Fritz Wolf				Fritz Wolf		Vortrag über die kommerzielle Ausbeutung des Frauenbildes in der Fotografie.	Lecture on the commercial exploitation of the female image in photography.	false	Cultural-critique lecture, no Heimat dimension.
0113-S04	34-78	Vortrag über existenzielle Ethik / Entscheidung	n.d.	lecture	de	Fritz Wolf				Fritz Wolf; Sartre; Thomas Mann		Philosophischer Vortrag über existenzielle Ethik und Entscheidung (Sartre, Peer Gynt, Thomas Manns Joseph).	Philosophical lecture on existential ethics and decision.	false	Literary-philosophical lecture.	Handwritten inserts p64-65 need human transcription.
0113-S05	80-86	Gedenkrede für die verstorbenen Brüder und Schwestern der Leo-Baeck-Loge	1973-10-01	memorial_speech	de	Fritz Wolf	Leo-Baeck-Loge (B'nai B'rith)		Nahariya	Fritz Wolf		Gedenkrede in der Gedächtnis-Sitzung der Leo-Baeck-Loge, 1. Oktober 1973.	Memorial address at the Leo-Baeck lodge's remembrance session.	false	Lodge memorial, no Heimat-city memory dimension.
0113-S06	88-107	Über den Humor in der Musik	n.d.	lecture	de	Fritz Wolf				Fritz Wolf		Musiktheoretischer Vortrag über Humor, Dissonanz und Satire in der Musik.	Music-theory lecture on humour and dissonance.	false	Music lecture.
0113-S07	109-113	Zum 28. März 1974: Schaffung der "gemischten" Loge	1974-03-28	speech	de	Fritz Wolf	Bruder Expräsident Winnig; the lodge		Nahariya	Fritz Wolf; Winnig		Ansprache zur Gründung der gemischten Loge.	Address on the founding of the mixed lodge.	false	Lodge organisational address.
0113-S08	116-124	Heinrich Heine — Leben und Werk	n.d.	lecture	de	Fritz Wolf				Heinrich Heine; Börne; Fritz Wolf		Literaturvortrag über Heinrich Heine ("Junges Deutschland", "Deutschland ein Wintermärchen", "Donna Clara").	Literary lecture on Heinrich Heine.	false	Literary treatment of Heine; "Deutschland" appears only as Heine's poem title, not as remembered Heimat.	Companion piece to the Winterreise lecture's Heine framing.
0113-S09	125-164	Handschriftliche Notizen und Entwürfe (Heine / Lyrik)	n.d.	manuscript_notes	de	Fritz Wolf				Fritz Wolf		Umfangreicher Block handschriftlicher deutscher Blätter (Kurrent), niedrige OCR-Qualität.	Large block of German-cursive handwritten leaves, low OCR quality.	false	Working notes.	NEEDS human transcription (handwriting, conf ~0.4). Blanks 144,151,159.
0113-S10	165-174	Fritzika Horwitz erzählt aus ihrem Leben	1979-01-22	memoir_talk	de	Fritzika Horwitz	the lodge	Europe (Alpine pass region); wartime Germany	Fritzika Horwitz ("Mara Delitzsch"); Iuka; Marianne Helena	סיפור-חיים בגוף ראשון של פריצ'יקה הורביץ שנמסר בפני המסדר: הישרדות בזמן המלחמה, זהות בדויה "מארה דליטש", בריחה מעל המעבר ההררי, והרשימה של הנשים היהודיות שנמסרה לגרמנים.	Autobiographischer Lebensbericht von Fritzika Horwitz, der Loge erzählt: Überleben im Krieg, falsche Identität "Mara Delitzsch", Flucht über den verschneiten Pass, die den Deutschen übergebene Liste jüdischer Frauen.	First-person life story told to the lodge: wartime survival, a false identity ("Mara Delitzsch"), flight over a snowed-in mountain pass, and the list of Jewish women handed to the Germans.	true	Post-war reminiscence/memoir about pre-emigration European life and wartime survival — memory work, delivered orally within the Jecke lodge circle.	Typescript of an oral account; p174 blank. Heimat-city of origin not yet pinned — confirm on human read.
0113-S11	176-215	Musik und Gesellschaft in Israel / religiöse Strömungen im israelischen Judentum	n.d.	lecture	de	Fritz Wolf			Israel	Fritz Wolf		Vorträge über Musiksoziologie in Israel und über religiösen Pluralismus (Reform/Konservativ/Orthodox, "Wer ist ein Jude?"), Histadrut.	Lectures on music sociology in Israel and religious pluralism ("Who is a Jew?"), Histadrut.	false	Israel-internal social/cultural topics; explicitly out of the target corpus.	Multiple variants + handwritten inserts. Blanks 183,194,200,216.
0113-S12	217-241	Der Kampf um den Weltraum / "Der Mann im Mond"	1961-1962	lecture	de	Fritz Wolf				Fritz Wolf; NikPopov		Aktuelle Vorträge über das Wettrennen ins All (datierte Folgen 1961/1962).	Current-affairs talks on the space race (dated 1961/1962).	false	Current affairs, no Heimat dimension.	Handwritten inserts p227-231.
0113-S13	242-253	Was ist Existenzialismus? (Kurzreferat)	n.d.	short_lecture	de	Fritz Wolf				Fritz Wolf		Zehn-Minuten-Kurzreferat über den Existenzialismus.	Ten-minute short talk on existentialism.	false	Philosophy talk.	Space-race material continues pp244-253.
0113-S14	254-260	Gedenkworte bei der Gedächtnisfeier der Leo-Baeck-Loge	n.d.	memorial_speech	de	Fritz Wolf	Leo-Baeck-Loge		Nahariya	Fritz Wolf		Zweite Gedenkrede für die verstorbenen Brüder der Leo-Baeck-Loge.	Second memorial address for the lodge's deceased brethren.	false	Lodge memorial.	p258 blank.
0113-S15	261-349	Das Alterserlebnis aus der Literatur (Essay)	n.d.	essay_lecture	de	Fritz Wolf				Fritz Wolf; Améry; Galsworthy (Jolyon); R. Strauss		Langer Essay über das Altern in der Literatur (Améry, Forsyte Saga, Rosenkavalier). Enthält eine Passage (S.311) über die in Hitlerdeutschland gebliebenen alten Eltern.	Long essay on ageing in literature; includes a passage (p311) on the old parents who stayed in Hitler's Germany.	false	Chiefly a literary essay on ageing; the Germany reference (p311) is a moral illustration, not sustained Heimat memory.	Handwritten leaves p338-349. Internal numbering to ~72.
0113-S16	350-396	Goethe und die Liebe	n.d.	lecture	de	Fritz Wolf				Goethe; Christiane Vulpius; Fritz Wolf		Vortrag über die Liebe bei Goethe (Werther/Lotte, Christiane Vulpius, Suleika, Käthchen).	Lecture on love in Goethe's life and work.	false	Literary lecture.	Handwritten inserts pp351-359; low OCR conf in parts. NEEDS partial human transcription.
