section_id	parent_r_item	transkribus_doc_id	page_start	page_end	divider_page	title_he	title_de_or_en	author	language	doc_type	date_text	in_existing_catalog	heimat_relevant	notes
0113-S01		1	11	1	רדה לפרופ' תאודור הויס — "ערב שוובי" בשבי-ציון	Rede an Prof. Theodor Heuss — "Schwäbischer Abend" in Shaveh Zion	Dr. Fritz Wolf (Nahariya)	de	humorous_poem_speech	1960-05-21	no	no	Comic Swabian-dialect poem welcoming President Heuss; teaches him "Ivrith". Two variant typescripts (pp2-6, 7-11). Pre-title blank p1.
0113-S02		13	27	13	דויטשלנד — מסע חורף (הרצאה למועדון "גיל הזהב" ויצו נהריה)	DEUTSCHLAND — EINE WINTERREISE (Vortrag für den "Golden-Age-Club" der Wizo Nahariya)	Dr. Fritz Wolf	de	lecture	1969-04-28	no	yes	FLAGSHIP. Heine-echo account of a 1969 trip to West Germany (München, Frankfurt). Outline-style typescript: Establishment, students, TV, "den Deutschen geht es gut", encounter with ex-Wehrmacht officer, denazification/Rehse case. Ends "Ende" p27. p12 handwritten leaf. Title page p13.
0113-S03		29	33	29	האישה כאמצעי ניצול — "תערוכת הצילום השנייה"	Die Frau als Instrument der Ausbeutung — "Zweite Weltausstellung der Fotografie"	Dr. Fritz Wolf	de	lecture	n.d.	no	no	Critique of commercial/fascistic exploitation of women in photography (STERN etc.).
0113-S04		34	78	34	הרצאה על אתיקה קיומית / החלטה ("האני", "האתה")	Lecture on existential ethics / decision ("ES"/"ICH"/"DU")	Dr. Fritz Wolf	de	lecture	n.d.	no	no	Long philosophical lecture (Sartre, Peer Gynt, Iwan Iljitsch, Thomas Mann/Joseph). Internal page numbering to ~p12. p64-65 handwritten inserts.
0113-S05		80	86	80	הספד לחברי מסדר לאו-בק שנפטרו (ישיבת האזכרה 1.10.1973)	Gedenkrede für die verstorbenen Brüder und Schwestern der Leo-Baeck-Loge	Dr. Fritz Wolf	de	memorial_speech	1973-10-01	no	no	Masonic-lodge memorial address (B'nai B'rith Leo-Baeck Loge). p87 blank.
0113-S06		88	108	88	על ההומור במוסיקה / מודולציה ודיסוננסים	On humour in music / modulation and dissonance	Dr. Fritz Wolf	de	lecture	n.d.	no	no	Music-theory lecture (humour, dissonance, satire in music). p108 blank.
0113-S07		109	113	109	למסדר "המעורב" 28.3.1974	Zum 28. März 1974: Schaffung der "gemischten" Loge	Dr. Fritz Wolf	de	speech	1974-03-28	no	no	Lodge address on founding the mixed (men+women) lodge; addresses "Bruder Expräsident Winnig". p114 blank.
0113-S08		116	124	116	היינריך היינה — חייו ויצירתו	Heinrich Heine — Leben und Werk	Dr. Fritz Wolf	de	lecture	n.d.	no	no	Lecture on Heine (Junges Deutschland, "Deutschland ein Wintermärchen" p118, Donna Clara p124). Mentions Deutschland as literary subject, not memory work.
0113-S09		125	164	125	רשימות בכתב יד (היינה / שירה / הערות שונות)	Handwritten notes and drafts (Heine / poetry / misc.)	Dr. Fritz Wolf	de	manuscript_notes	n.d.	no	no	Large block of German-cursive handwritten leaves; low OCR confidence. NEEDS human transcription. Several blanks (144,151,159).
0113-S10		165	174	165	פריצ'יקה הורביץ מספרת על חייה (22.1.1979)	Fritzika Horwitz erzählt aus ihrem Leben	Fritzika Horwitz (spoken); recorded in Wolf's papers	de	memoir_talk	1979-01-22	maybe	yes	First-person life narrative told to the lodge; wartime survival, false identity "Mara Delitzsch", flight over the pass. Pre-emigration/wartime reminiscence. p174 blank.
0113-S11		176	216	176	מוסיקה וחברה בישראל / זרמים ביהדות ישראל	Musik und Gesellschaft in Israel / religious currents in Israel	Dr. Fritz Wolf	de	lecture	n.d.	no	no	Palestine/Israel-internal: religious pluralism, Histadrut, music sociology. Multiple typescript variants + handwritten inserts. Blanks p183,194,200,216.
0113-S12		217	241	217	המאבק על החלל (המן במרים) — "האיש בירח"	Der Kampf um den Weltraum — "Der Mann im Mond"	Dr. Fritz Wolf	de	lecture	1961-1962	no	no	Space-race current-affairs talks; dated instalments "27. Oktober 1961", "10. August 1962". Handwritten inserts p227-231.
0113-S13		242	253	242	מהו אקזיסטנציאליזם? (הרצאה קצרה)	Was ist Existenzialismus? (Zehn-Minuten-Kurzreferat)	Dr. Fritz Wolf	de	short_lecture	n.d.	no	no	Short talk on existentialism. Continues "Der Mann im Mond" material pp244-253.
0113-S14		254	260	254	מילות זיכרון בטקס האזכרה של מסדר לאו-בק	Gedenkworte bei der Gedächtnisfeier der Leo-Baeck-Loge	Dr. Fritz Wolf	de	memorial_speech	n.d.	no	no	Second lodge memorial address for deceased brethren. p258 blank.
0113-S15		261	349	261	חוויית הזִקנה בראי הספרות (מסה)	Das Alterserlebnis aus der Literatur — ein Essay	Dr. Fritz Wolf	de	essay_lecture	n.d.	no	no	Long essay on ageing in literature (Améry, Forsyte Saga/old Jolyon, Rosenkavalier). Internal numbering to ~p72. Contains p311 passage on parents who stayed in Hitler-Germany, p333 on writing one's memoirs. Handwritten leaves p338-349.
0113-S16		350	396	350	גתה והאהבה (הרצאה)	Goethe und die Liebe	Dr. Fritz Wolf	de	lecture	n.d.	no	no	Lecture on love in Goethe (Werther/Lotte, Christiane Vulpius, Suleika, Käthchen). Handwritten inserts pp351-359 etc.; low OCR confidence in parts. NEEDS partial human transcription.
