section_id	parent_r_item	transkribus_doc_id	page_start	page_end	divider_page	title_he	title_de_or_en	author	language	doc_type	date_text	in_existing_catalog	heimat_relevant	notes
0444-S01	PROVENANCE		1	4	1	ספר האוסף — מנהיימר הנס חנן	Accession Register card — Mannheimer Hans Chanan	Tefen Museum	he	register_card	acq. 2011-12-08	register	no	Donor Naomi Tzeiri (daughter); related holdings at Kiryat Bialik museum + Kibbutz Galil-Yam archive. Register lists folder contents by category (NOT page ranges).
0444-S02	R0008?		5	5	5	הערה בכתב יד, 1964	Handwritten note, 1964	Hans Mannheimer?	he	manuscript_note	1964	maybe	yes	Faint-pencil Hebrew cursive; escalation page (Tesseract=0). NEEDS human transcription + confirm which R-item.
0444-S03	R0001		6	7	6	מכתב הזמנה רשמי מעיריית וורמס	Official invitation letter, City of Worms	Stadtverwaltung Worms (VHS, i.A. re Bürgermeister Berg)	de	letter	1964-11-06	yes	yes	FLAGSHIP. Invites Mannheimer to "in Ihre alte Heimat kommen", Woche der Brüderlichkeit 7–14 Mar 1965; VHS lecture on kibbutz life. 2pp.
0444-S04	R0016?		8	24	11	התכתבות 1988	Correspondence cluster, 1988 (Memorial Committee for Jewish Victims of Nazism from Worms)	Hans Mannheimer et al.	de	letters	1988	partial	yes	Multiple typed letters (p11/p16 "7. März 1988"); p18 Memorial Committee; p14 stray 1919 Landeskommissar Koblenz reproduction. NEEDS human split into individual letters.
0444-S05	R0010/R0011		25	33	26	בקשה למועצת העיר + סירוב מנהיימר	City-council motion for honorary citizenship + Mannheimer's reply	Grüne / Hans Mannheimer	de	letters	1985	yes	yes	p26 "Antrag zur Stadtratssitzung 13.05.1985"; p29 Mannheimer replies from Glil-Yam 25.5.85 (declines). NEEDS human split.
0444-S06	R0004		34	102	34	צילום ספר: היהודים בוורמס (1842)	Die Juden in Worms — ein Beitrag zur Geschichte	Moses Mannheimer, 1842 (Frankfurt, J.S. Adler)	de	book_facsimile	1842	yes	no	Fraktur photocopy. "Vorwort / Der Ritus / Der Friedhof", Worms Jewish history + cemetery. Long; register notes 2 copies — verify whether interleaved.
0444-S07	R0006a		104	150	104	צילום: בית הקברות היהודי העתיק (1924)	Der älteste israelitische Friedhof Deutschlands	Kunstverlag Christian Herbst, Worms, 1924	de	booklet	1924	maybe	no	Illustrated cemetery booklet; incl. 1961 synagogue-rebuild text (pp110–111). Copy 1.
0444-S08	R0006b		151	208	151	צילום: בית הקברות היהודי העתיק (עותק 2)	Der Alte Judenfriedhof zu Worms (copy 2)	Kunstverlag / Kulturinstitute Worms	de	booklet	1924/1968	maybe	no	Second copy of the illustrated old-cemetery booklet (register: "2 עותקים"). Figures Abb. 1–8, grave descriptions.
0444-S09	R0009		210	224	216	תצלומי העיר וורמס	Photographs of Worms (city + synagogue)	Photo Kulturinstitute Worms	none	photographs	n.d.	yes	no	Photo pages (p216/p220 "Photo Kulturinstitute"); several blanks. Image-only, no transcription.
0444-S10	R0010		225	247	230	קטעי עיתונות: Wormser Zeitung + תלם	Press clippings: Wormser Zeitung (1979–1982) + "Telem" newsletter	various	de+he	newspaper_clippings	1979-1982	yes	yes	pp232–236 Wormser Zeitung Nov–Dec 1982 (Mannheimer visit coverage); p230 Hebrew "Telem" newsletter Tishri 5738; p242 1979.
0444-S11	R0013?		249	252	249	הערות בכתב יד	Handwritten notes (Thal Heinz; Worms/Wormeisa)	Hans Mannheimer?	de+he	manuscript_note	n.d.	maybe	yes	Escalation pages (low conf). NEEDS human transcription.
