page_no	chars	mean_conf
1	0	0.0
2	886	0.6
3	1469	0.76
4	0	0.0
5	202	0.435
6	281	0.487
7	126	0.5
8	173	0.495
9	171	0.495
10	2451	0.909
11	2451	0.898
12	2169	0.96
13	2689	0.96
14	1810	0.958
15	2299	0.958
16	2667	0.958
17	117	0.945
18	2796	0.96
19	53	0.954
20	174	0.53
21	159	0.939
22	3067	0.956
23	2804	0.957
24	77	0.898
25	15	0.928
26	3029	0.958
27	964	0.501
28	2710	0.892
29	2846	0.894
30	2507	0.885
31	249	0.571
32	1922	0.906
33	1862	0.881
34	2634	0.894
35	235	0.862
36	2619	0.904
37	2893	0.899
38	2519	0.896
39	1841	0.892
40	1855	0.887
41	2678	0.902
42	235	0.488
43	2029	0.896
44	1326	0.906
45	237	0.879
46	73	0.703
47	1467	0.955
48	1480	0.951
49	477	0.947
50	956	0.952
51	0	0.0
52	0	0.0
53	188	0.498
54	0	0.0
55	1024	0.798
56	0	0.0
57	16	0.261
58	17	0.592
59	150	0.468
60	403	0.445
61	1565	0.925
62	6750	0.93
63	3307	0.731
64	1353	0.836
65	1342	0.668
66	0	0.0
67	78	0.507
68	0	0.0
69	0	0.0
70	53	0.315
71	0	0.0
72	92	0.442
73	147	0.421
74	90	0.471
75	57	0.454
76	0	0.0
77	2786	0.863
78	4989	0.765
79	3861	0.736
80	5005	0.75
81	3640	0.755
82	100	0.89
83	51	0.66
84	100	0.702
85	91	0.548
86	439	0.461
87	76	0.506
88	1469	0.691
89	3442	0.722
90	6768	0.919
91	5952	0.773
92	0	0.0
93	1364	0.899
94	166	0.365
95	543	0.543
96	369	0.535
97	357	0.724
98	17	0.905
99	248	0.698
100	50	0.602
101	443	0.946
102	170	0.869
103	658	0.92
104	173	0.849
105	900	0.945
106	176	0.933
107	701	0.939
108	749	0.945
109	360	0.908
110	2426	0.957
111	1301	0.942
112	449	0.957
113	2468	0.959
114	2812	0.958
115	50	0.933
116	331	0.943
117	2870	0.958
118	114	0.955
119	46	0.904
120	2765	0.901
121	2365	0.91
122	1903	0.884
123	981	0.677
124	775	0.914
125	2150	0.958
126	2148	0.944
127	2600	0.956
128	2793	0.959
129	1060	0.948
130	755	0.538
131	891	0.613
132	722	0.519
133	280	0.603
134	463	0.588
135	693	0.766
136	74	0.885
137	2330	0.96
138	3288	0.962
139	1329	0.959
140	2743	0.894
141	3134	0.919
142	1402	0.888
143	2779	0.897
144	3136	0.91
145	2341	0.887
146	2792	0.903
147	3056	0.891
148	951	0.885
149	965	0.841
150	984	0.88
151	590	0.852
152	699	0.947
153	1255	0.912
154	2367	0.921
155	2463	0.926
156	919	0.915
157	2230	0.905
158	5185	0.914
159	4971	0.897
160	4388	0.897
161	3466	0.894
162	1097	0.932
163	2519	0.953
164	2001	0.954
165	2366	0.959
166	2598	0.953
167	988	0.942
168	2223	0.955
169	2835	0.957
170	1533	0.954
171	2367	0.96
172	988	0.939
173	2217	0.952
174	2841	0.957
175	1535	0.951
176	2516	0.955
177	1114	0.935
178	3241	0.903
179	4157	0.894
180	5011	0.898
181	4110	0.902
182	853	0.886
183	2250	0.902
184	2450	0.926
185	2437	0.919
186	1242	0.915
187	667	0.946
188	0	0.0
189	556	0.703
190	0	0.0
191	356	0.397
192	0	0.0
193	1069	0.596
194	1247	0.746
195	1123	0.778
196	0	0.0
197	2844	0.889
198	2234	0.869
199	298	0.872
200	1664	0.672
201	1848	0.713
202	31	0.421
203	38	0.494
204	381	0.844
205	243	0.857
206	95	0.799
207	239	0.828
208	382	0.857
209	1458	0.886
210	159	0.687
211	55	0.453
212	1119	0.919
213	1407	0.883
214	426	0.837
215	95	0.871
216	1593	0.903
217	332	0.857
218	408	0.82
219	560	0.79
220	270	0.851
221	504	0.824
222	1035	0.858
223	776	0.843
