page_no	chars	mean_conf
1	288	0.923
2	246	0.947
3	833	0.947
4	791	0.945
5	810	0.925
6	192	0.943
7	1686	0.955
8	1741	0.952
9	1638	0.957
10	1683	0.961
11	1730	0.953
12	1775	0.959
13	1780	0.959
14	1781	0.959
15	1760	0.959
16	1842	0.954
17	1864	0.96
18	1790	0.954
19	1514	0.955
20	1721	0.959
21	1873	0.956
22	1790	0.949
23	1666	0.957
24	1773	0.96
25	1788	0.957
26	1775	0.963
27	1777	0.961
28	1780	0.954
29	1792	0.952
30	1788	0.953
31	1792	0.957
32	1792	0.949
33	1692	0.951
34	1727	0.95
35	1747	0.954
36	1702	0.959
37	1665	0.951
38	1880	0.957
39	1853	0.956
40	1800	0.957
41	422	0.956
42	1741	0.945
43	2116	0.949
44	1150	0.944
45	576	0.76
46	1003	0.95
47	932	0.94
48	886	0.947
49	1024	0.957
50	1416	0.939
51	909	0.946
52	1062	0.953
53	971	0.954
54	851	0.957
55	1069	0.948
56	950	0.942
57	1363	0.942
58	907	0.957
59	1102	0.956
60	1068	0.953
61	996	0.951
62	971	0.956
63	1034	0.936
64	937	0.95
65	955	0.959
66	1505	0.961
67	1061	0.952
68	972	0.955
69	1023	0.947
70	967	0.955
71	943	0.947
72	141	0.906
73	1032	0.958
74	1128	0.942
75	1196	0.948
76	1233	0.959
77	1311	0.942
78	931	0.953
79	1019	0.95
80	936	0.944
81	457	0.952
82	150	0.946
83	2396	0.953
84	760	0.955
85	2176	0.941
86	2314	0.946
87	2270	0.95
88	2324	0.947
89	2349	0.955
90	2156	0.95
91	1791	0.945
92	2183	0.947
93	2134	0.948
94	2478	0.95
95	2043	0.95
96	2120	0.953
97	2088	0.948
98	2240	0.948
99	2576	0.953
100	2369	0.948
101	2215	0.956
102	3189	0.922
103	3011	0.918
104	3121	0.923
105	22	0.965
106	758	0.955
107	1611	0.946
108	6255	0.771
109	3414	0.924
110	1402	0.897
111	1689	0.756
112	2376	0.916
113	2298	0.834
114	2515	0.908
115	1200	0.898
116	1385	0.811
117	1489	0.947
118	2012	0.956
119	1967	0.945
120	1974	0.955
121	1577	0.949
122	4011	0.87
123	2762	0.917
124	1748	0.929
125	2527	0.938
126	3273	0.935
127	2391	0.882
128	3637	0.939
129	6145	0.932
130	5014	0.911
131	5583	0.801
132	1636	0.869
133	5334	0.921
134	567	0.646
135	2317	0.757
136	716	0.648
137	965	0.641
138	561	0.475
139	199	0.47
140	273	0.481
141	1765	0.88
142	2067	0.836
143	2824	0.922
144	5014	0.909
145	9796	0.715
146	1554	0.593
147	2088	0.922
148	3121	0.929
149	1980	0.891
150	1521	0.811
151	3116	0.945
152	1719	0.924
153	6104	0.727
154	2470	0.912
155	5155	0.943
156	2363	0.884
157	1838	0.857
158	3101	0.92
159	3278	0.895
160	4352	0.897
161	6894	0.94
162	97	0.708
163	1618	0.893
164	6758	0.944
165	6619	0.94
166	6853	0.944
167	3717	0.929
168	3595	0.958
169	2458	0.94
170	2699	0.948
171	3553	0.918
172	3457	0.939
173	2074	0.955
174	1420	0.949
175	4679	0.937
176	4246	0.945
177	5283	0.947
178	6169	0.946
179	5190	0.946
180	5196	0.946
181	1149	0.95
182	1290	0.944
183	1214	0.937
184	2353	0.937
185	783	0.942
186	4857	0.939
187	4134	0.941
188	4673	0.943
189	5263	0.932
190	5575	0.944
191	2755	0.905
192	5836	0.928
193	6136	0.92
194	5847	0.923
195	6830	0.924
196	6089	0.918
197	6302	0.914
198	6233	0.921
199	6596	0.922
200	5763	0.928
201	6234	0.923
202	4834	0.894
203	5276	0.895
204	12352	0.745
205	11598	0.804
206	7171	0.943
207	60	0.843
208	3814	0.926
209	4044	0.915
210	2185	0.924
211	563	0.727
212	3601	0.918
213	3742	0.925
214	3557	0.931
215	1002	0.901
216	35	0.957
217	203	0.872
218	439	0.948
219	3262	0.898
220	3583	0.947
221	3828	0.906
222	3622	0.918
223	3657	0.922
224	1754	0.939
225	2119	0.951
226	3124	0.954
227	3313	0.952
228	3394	0.947
229	3288	0.949
230	2931	0.956
231	3038	0.946
232	1883	0.939
233	2632	0.943
234	277	0.793
235	2083	0.905
236	3078	0.923
237	2803	0.924
238	3353	0.921
239	3030	0.925
240	840	0.9
241	1197	0.908
242	1049	0.823
243	553	0.933
244	1216	0.89
245	6372	0.905
246	2728	0.785
247	649	0.802
248	532	0.723
249	4022	0.951
250	2204	0.947
251	2632	0.949
252	680	0.934
253	2101	0.838
254	4931	0.952
255	5398	0.953
256	1261	0.761
257	10799	0.738
258	435	0.911
259	999	0.917
260	3812	0.942
261	2717	0.943
262	9642	0.895
263	10585	0.877
264	1252	0.818
265	1084	0.814
266	1818	0.787
267	2015	0.833
268	1614	0.832
269	1631	0.84
270	888	0.797
271	1682	0.894
272	1844	0.87
273	1461	0.873
274	1360	0.854
275	3086	0.852
276	3818	0.852
277	1326	0.436
278	1974	0.499
279	0	0.0
280	599	0.932
281	1207	0.898
282	5598	0.915
283	2049	0.923
284	2281	0.927
285	4539	0.947
