page_no	chars	mean_conf
1	2896	0.896
2	359	0.892
3	0	0.0
4	220	0.85
5	440	0.435
6	1776	0.892
7	2413	0.879
8	2419	0.881
9	2472	0.873
10	2497	0.89
11	2402	0.882
12	2387	0.91
13	2474	0.901
14	2263	0.895
15	2154	0.894
16	2427	0.906
17	2399	0.882
18	2462	0.879
19	2358	0.898
20	2238	0.897
21	2187	0.883
22	1540	0.875
23	2129	0.891
24	2378	0.877
25	1675	0.892
26	2366	0.874
27	2381	0.905
28	2392	0.887
29	2340	0.891
30	1915	0.891
31	2282	0.902
32	2453	0.892
33	2424	0.882
34	2401	0.898
35	2409	0.891
36	2324	0.888
37	2339	0.879
38	2273	0.881
39	337	0.893
40	886	0.396
41	229	0.453
42	1775	0.865
43	2320	0.9
44	2426	0.886
45	2372	0.881
46	2447	0.876
47	2360	0.886
48	2245	0.888
49	2421	0.884
50	2257	0.891
51	2517	0.902
52	2451	0.891
53	2418	0.885
54	2461	0.878
55	2406	0.869
56	2449	0.883
57	2316	0.873
58	2439	0.893
59	2351	0.888
60	2221	0.886
61	2389	0.882
62	2288	0.895
63	1239	0.89
64	2047	0.887
65	2333	0.887
66	2338	0.886
67	2344	0.895
68	2380	0.887
69	2427	0.884
70	2274	0.874
71	2341	0.887
72	2270	0.892
73	1952	0.876
74	1654	0.895
75	2023	0.892
76	1967	0.891
77	1692	0.882
78	2306	0.896
79	510	0.413
80	2358	0.861
81	2548	0.89
82	2484	0.875
83	2534	0.9
84	2560	0.9
85	2468	0.896
86	2459	0.879
87	2433	0.891
88	2498	0.888
89	226	0.443
90	1900	0.876
91	2361	0.867
92	2281	0.881
93	2264	0.869
94	2358	0.879
95	2358	0.889
96	2273	0.876
97	1220	0.886
98	2322	0.903
99	2356	0.888
100	1646	0.876
101	2332	0.863
102	2420	0.887
103	2382	0.904
104	2182	0.887
105	2249	0.889
106	2178	0.864
107	2306	0.885
108	2083	0.861
109	2344	0.878
110	2104	0.89
111	1217	0.88
112	2312	0.884
113	1639	0.878
114	2312	0.844
115	2377	0.883
116	2393	0.894
117	2298	0.889
118	2357	0.889
119	2290	0.865
120	2058	0.859
121	2353	0.87
122	2362	0.887
123	1391	0.876
124	0	0.0
125	59	0.719
126	3425	0.901
127	3543	0.926
128	3408	0.897
129	3552	0.883
130	3549	0.901
131	3482	0.902
132	3485	0.893
133	3533	0.908
134	3574	0.911
135	3628	0.908
136	2693	0.848
137	0	0.0
138	663	0.948
139	0	0.0
140	340	0.955
141	754	0.946
142	632	0.951
143	787	0.95
144	585	0.939
145	1383	0.942
146	157	0.928
147	417	0.933
148	181	0.847
149	59	0.92
150	0	0.0
151	2098	0.888
152	1313	0.889
153	2065	0.878
154	1774	0.885
155	2230	0.931
156	2135	0.945
157	630	0.933
158	2189	0.874
159	2151	0.909
160	1421	0.857
161	43	0.422
162	923	0.899
163	2459	0.939
164	3025	0.909
165	3926	0.944
166	2982	0.901
167	5164	0.949
168	3871	0.93
169	13	0.742
170	50	0.762
171	2088	0.943
172	2431	0.943
173	2529	0.946
174	2393	0.944
175	2227	0.945
176	2466	0.947
177	2537	0.948
178	2187	0.948
179	2433	0.942
180	2147	0.946
181	2499	0.951
182	2456	0.945
183	2443	0.943
184	160	0.93
185	2483	0.942
186	2545	0.945
187	2375	0.947
188	2502	0.946
189	2304	0.949
190	2520	0.944
191	2535	0.949
192	2380	0.948
