page_no	chars	mean_conf
1	0	0.0
1	0	0.0
1	12	0.552
1	34	0.581
1	98	0.587
1	146	0.539
2	259	0.578
2	610	0.33
2	1024	0.854
2	1206	0.719
2	2661	0.948
2	10891	0.918
3	0	0.0
3	687	0.873
3	1703	0.68
3	2084	0.911
3	2158	0.891
3	3277	0.949
4	119	0.51
4	911	0.908
4	967	0.846
4	1001	0.591
4	2261	0.904
4	3159	0.953
5	356	0.472
5	862	0.828
5	1800	0.872
5	1957	0.928
5	1964	0.675
5	3446	0.948
6	208	0.452
6	969	0.907
6	1232	0.927
6	1324	0.906
6	1534	0.648
6	3370	0.949
7	0	0.0
7	0	0.0
7	992	0.954
7	1025	0.894
7	5899	0.918
8	0	0.0
8	728	0.911
8	1098	0.851
8	1641	0.573
8	2265	0.736
9	95	0.371
9	1051	0.882
9	1121	0.866
9	4044	0.889
10	178	0.541
10	292	0.576
10	1014	0.872
10	3966	0.937
11	0	0.0
11	383	0.684
11	1152	0.88
11	1204	0.894
12	0	0.0
12	164	0.932
12	274	0.567
12	932	0.869
13	0	0.0
13	375	0.848
13	855	0.862
13	1955	0.892
14	774	0.955
14	1149	0.95
14	1465	0.822
14	1628	0.909
15	829	0.94
15	1583	0.86
15	1586	0.955
16	472	0.742
16	524	0.946
16	778	0.935
17	431	0.932
17	982	0.923
18	671	0.906
18	791	0.951
19	539	0.924
19	586	0.574
20	406	0.937
20	438	0.922
21	713	0.922
21	1268	0.948
22	264	0.819
22	615	0.884
23	736	0.923
23	1436	0.932
24	454	0.923
24	989	0.92
25	790	0.927
25	2562	0.864
26	0	0.0
26	570	0.839
27	455	0.956
27	1108	0.557
28	240	0.868
28	1361	0.89
29	4102	0.801
29	5000	0.936
30	229	0.861
30	4104	0.828
31	0	0.0
31	7449	0.883
32	0	0.0
32	11349	0.866
33	535	0.727
33	5184	0.871
34	378	0.908
34	5905	0.751
35	0	0.0
35	5475	0.784
36	110	0.847
37	1769	0.942
38	132	0.756
39	3908	0.882
40	2584	0.823
41	1078	0.873
42	55	0.611
43	7253	0.919
44	9924	0.936
45	0	0.0
46	16	0.825
47	2123	0.949
48	0	0.0
49	0	0.0
50	3166	0.955
51	3334	0.945
52	2949	0.955
53	95	0.492
54	5967	0.916
55	5194	0.894
56	9587	0.831
57	7024	0.826
58	1959	0.927
59	9684	0.894
60	7344	0.904
61	8569	0.895
62	3715	0.956
63	3579	0.956
64	3434	0.954
65	2975	0.953
66	2268	0.958
67	3098	0.956
68	1764	0.953
