parent_folder	signals	title	transkribus_doc_ids	transkribus_status_breakdown	local_htr_dirs
IL-MTFN-001-G-F-0020-001	memoir	Letters to Ruth Rilf from Margot Hausenstein			
IL-MTFN-001-G-F-0030-009	memoir	Memories and Documents of Otto Mayer			
IL-MTFN-001-G-F-0030-011	memoir	Letter from Gertrud Meyer to Heinrich			
IL-MTFN-001-G-F-0030-013	memoir|correspondence,memoir	Memories of Gertrud Meyer			
IL-MTFN-001-G-F-0030-017	memoir	Memories of Otto Mayer about Emanuel Mayer			
IL-MTFN-001-G-F-0030-032	memoir	Memories of Andreas and Justus Mayer's Businesses			
IL-MTFN-001-G-F-0030-042	memoir	Memories of Wolfgang Meyer			
IL-MTFN-001-G-F-0030-044	memoir	Memories of Justus Meyer - Lecture at the Alumni Meeting			
IL-MTFN-001-G-F-0030-051	memoir	Memories by Wolfgang Schocken			
IL-MTFN-001-G-F-0030-060	memoir	Draft and Memory Book of Esther Meir			
IL-MTFN-001-G-F-0030-061	memoir|correspondence,memoir	"Backup Disks of ""Memories of Andreas Meyer"""			
IL-MTFN-001-G-F-0044-005	hometown,memoir,visit	Frühling am Landgraben Manuscript			
IL-MTFN-001-G-F-0044-009	diary,memoir	Article by Gerda Luft on Arthur Ruppin			
IL-MTFN-001-G-F-0103-004	memoir	Photo Album of Eva Warburg's Children			
IL-MTFN-001-G-F-0104-010	memoir	זכרונות גדעון קלוורי 1919-2004			
IL-MTFN-001-G-F-0133-001	memoir	Memory Book of Ella Reinmann			
IL-MTFN-001-G-F-0159-001	memoir	חוברת זכרונות של חנה ירמיאס			
IL-MTFN-001-G-F-0167-001	memoir	Request Letter to President Zalman Shazar for Financial Assistance			
IL-MTFN-001-G-F-0202-016	memoir	Memories from the Garzon Luli House			
IL-MTFN-001-G-F-0214-001	memoir	Memory Book of Miriam Polin			
IL-MTFN-001-G-F-0257-001	memoir	Sweet Lemons: Memories from the Internment Camp in Mauritius 1940-1945			
IL-MTFN-001-G-F-0267-004	diary,memoir	Grossmutter Erinnerungen			
IL-MTFN-001-G-F-0276-016	memoir	Correspondence on Organization of Cologne Emigrants			
IL-MTFN-001-G-F-0295-001	memoir	Memory Book of Anna Vog			
IL-MTFN-001-G-F-0311-001	memoir	חוברת לזכרה של דקלה מיינרט			
IL-MTFN-001-G-F-0314-002	memoir,visit	Memory Book for Phillip Aronstein			
IL-MTFN-001-G-F-0361-001	memoir	Memorial Words for Dr. Hubert Polak			
IL-MTFN-001-G-F-0385-001	memoir	Zichronot by Amira Gatzov			
IL-MTFN-001-G-F-0402-002	memoir	Bernhard/ Ben-Zion Teitelbaum's Holocaust Memoirs			
IL-MTFN-001-G-F-0423-003	memoir	Article by Dr. Kalmos in 'Neue Nachrichten'			
IL-MTFN-001-G-F-0425-001	hometown,memoir	מחברת לימוד עברית של אריה הנס ויט, 1943			
IL-MTFN-001-G-F-0448-001	memoir	Memories by Erich Kessel			
IL-MTFN-001-G-F-0451-001	memoir,visit	זיכרונות יעקב כהן 1933-1939	1046162	IN_PROGRESS:36	
IL-MTFN-001-G-F-0457-001	memoir	Memory Book by Chava Wohl	1242512,1253236	IN_PROGRESS:190,FINAL:6 FINAL:110,IN_PROGRESS:86	1242512
IL-MTFN-001-G-F-0459-012	memoir,visit	Letter from Arie Goral to Adi, 1990			
IL-MTFN-001-G-F-0463-001	memoir	Father's Memories by Hana Bastian			
IL-MTFN-001-G-F-0471-001	memoir	Memoirs of Rudolf Moz from 1931/32			
IL-MTFN-001-G-F-0474-001	memoir	Memory Book by German Emigrant Girls			
IL-MTFN-001-G-F-0478-001	memoir,papers	זיכרונות גרטרוד מאייר			
IL-MTFN-001-G-F-0478-008	memoir	Writing by Justus on Hermann Lietz's Book			
IL-MTFN-001-G-F-0483-011	memoir	Bar Mitzvah Memory Book 1969			
IL-MTFN-001-G-F-0483-012	memoir	Memories of Meli Yaros on Zvi Dushnitzki's Fall			
IL-MTFN-001-G-F-0489-001	memoir	Seminar Paper by Miriam Peleg: Memories of Esther Kalwari			
IL-MTFN-001-G-F-0510-001	memoir	Memory Book by Gershon Netzer			
IL-MTFN-001-G-F-0511-005	memoir	Memories of Auguste Katzenstein, 1959			
IL-MTFN-001-G-F-0514-001	memoir	Memory Book for Bnei Brith House			
IL-MTFN-001-G-F-0515-001	memoir	Memory Book by Dorit Heyman			
IL-MTFN-001-G-F-0516-001	memoir	Photo Album of Israel in the 1950s			
IL-MTFN-001-G-F-0517-001	memoir	Memory Book and Cemetery Papers of Oskar Aumann			
IL-MTFN-001-G-F-0519-001	memoir	Marli Shamir's Memories of Mali			
IL-MTFN-001-G-F-0555-003	memoir	Book in memory of Moshe Budmor			
