item_id	parent	signals	title	english_translation	german_translation	item_description	language	creation_date	format	document_type	main_subject	item_class
IL-MTFN-001-G-F-0001-001-R0001	IL-MTFN-001-G-F-0001-001	diary	Bruno Asch - Diary, Biography	Book 'Bruno Asch - Diary, Biography about the Asch Family'.	Buch 'Bruno Asch - Tagebuch, Biografie über die Familie Asch'.	ספר 'ברונו אש - יומן, ביוגראפיה על משפחת אש'.	Hebrew		Print	ספר|Book	Bruno Asch	EgoDocument
IL-MTFN-001-G-F-0002-001-R0002	IL-MTFN-001-G-F-0002-001	hometown,visit	Article on Oppenheimer's Visit to Offenbach	An article in German from 1972 reporting on Oppenheimer's visit to his hometown Offenbach.	Ein Artikel auf Deutsch aus dem Jahr 1972, der über den Besuch von Oppenheimer in seiner Heimatstadt Offenbach berichtet.	מאמר בגרמנית מ-1972 שמדווח על בקורו של אופנהיימר בעיר מולדתו אופנבך;	German|גרמנית	1972	Print	מאמר|Article	Oppenheimer	Report
IL-MTFN-001-G-F-0005-002-R0006	IL-MTFN-001-G-F-0005-002	hometown,visit	Letters of Udo Moses from Argentina	Collection in memory of Udo Moses, containing letters from Udo from Argentina to his parents shortly before the outbreak of World War II and a short letter after the outbreak of the war. Udo wants to return to the 'homeland' and fight its enemies. He returned, enlisted, and fell on the battlefield shortly after his enlistment.	Sammlung zum Gedenken an Udo Moses, mit Briefen von Udo aus Argentinien an seine Eltern kurz vor dem Ausbruch des Zweiten Weltkriegs und einem kurzen Brief nach dem Ausbruch des Krieges. Udo möchte in die 'Heimat' zurückkehren und gegen ihre Feinde kämpfen. Er kehrte zurück, trat in die Armee ein und fiel kurz nach seiner Einberufung auf dem Schlachtfeld.	אוסף לזכרו של אודו מוזס, ובו מכתבים של אודו מארגנטינה אל הוריו זמן קצר לפני פרוץ מלחמת העולם ומכתב קצר אחרי פרוץ המלחמה. אודו רוצה לחזור ל'מולדת' ולהלחם באויביה. הוא חזר, התגייס ונפל בשדה הקרב זמן קצר אחרי גיוסו.	Hebrew		Unknown	מכתב|Letter	Udo Moses	EgoDocument
IL-MTFN-001-G-F-0005-003-R0005	IL-MTFN-001-G-F-0005-003	memoir	Memories of Chana Frida Haker	The book 'Kmiot', Memories of Chana Frida Haker née Moses, Hebrew	Das Buch 'Kmiot', Erinnerungen von Chana Frida Haker, geborene Moses, Hebräisch	הספר 'כמיהות', זכרונות חנה פרידה הקר לבית מוזס, עברית	Hebrew		Print	ספר|Book	Chana Frida Haker	EgoDocument
IL-MTFN-001-G-F-0008-001-R0007	IL-MTFN-001-G-F-0008-001	correspondence	Family Photos and Correspondence with Andrew Bergerson, 1993	Family photos and correspondence with Andrew Bergerson from Hildesheim from 1993.	Familienfotos und Korrespondenz mit Andrew Bergerson aus Hildesheim aus dem Jahr 1993.	צילומי תמונות משפחתיות והתכתבות עם Andrew Bergerson מהילדסהיים משנת 1993.	Hebrew|English	1993	Unknown	תצלום|Photograph|מכתב|Letter	Andrew Bergerson	EgoDocument
IL-MTFN-001-G-F-0008-001-R0011	IL-MTFN-001-G-F-0008-001	visit	Visit of Walter Loser in Hildesheim 1964	Articles and pictures from the visit of Walter Loser and his wife in Hildesheim 1964.	Artikel und Bilder vom Besuch von Walter Loser und seiner Frau in Hildesheim 1964.	מאמרים ותמונות מביקור של ולטר לוזר ואישתו בהילדסהיים 1964.	Unspecified	1964	Unknown	מאמר|Article	Walter Loser	Communication Document
IL-MTFN-001-G-F-0008-002-R0007	IL-MTFN-001-G-F-0008-002	hometown	Illustrated German Christmas Song Leaflet from Bercalonnette Camp	An illustrated song leaflet in German for Christmas, edited in the Bercalonnette detention camp, France, 1916-1920. The leaflet contains two patriotic songs written by Gertrud Loser in 1914-15 about the brave soldiers fighting for the homeland.	Ein illustriertes Liederblatt auf Deutsch für Weihnachten, erstellt im Internierungslager Bercalonnette, Frankreich, 1916-1920. Das Blatt enthält zwei patriotische Lieder, die Gertrud Loser 1914-15 über die tapferen Soldaten schrieb, die für das Vaterland kämpfen.	עלון שירים מאוייר בגרמנית לחג המולד, נערך במחנה המעצר ברסנולטה Bercalonnette, צרפת, 1916-1920. בעלון שני שירים פטריוטיים שכתבה גרטרוד לוזר ב-1914-15 על החיילים האמיצים שנלחמים למען המולדת;	German	1914-1915	Print	חוברת|Booklet	Gertrud Loser	Creative Nonfiction
IL-MTFN-001-G-F-0009-002-R0001	IL-MTFN-001-G-F-0009-002	diary,memoir	Collection of Writings and Memories by Hella Lux and Mary Holtz	Diary of Hella Lux from 1910; a booklet of poems by Hella and a picture; 2 notebooks in which Hella wrote her thoughts on 'The World Law' 'Das Weltrecht'; memory book of Mary Holtz (Rena's maternal grandmother) from 1816, her maiden name starts with the letter B; photograph of two poems apparently written by Hella, without a date; humorous writing by Hella for a carnival, no date.	Tagebuch von Hella Lux aus dem Jahr 1910; ein Gedichtbuch von Hella und ein Bild; 2 Notizbücher, in denen Hella ihre Gedanken über 'Das Weltrecht' niederschrieb; Erinnerungsbuch von Mary Holtz (Renas Großmutter mütterlicherseits) aus dem Jahr 1816, ihr Mädchenname beginnt mit dem Buchstaben B; Fotografie von zwei Gedichten, die wahrscheinlich von Hella geschrieben wurden, ohne Datum; humoristische Schrift von Hella anlässlich eines Karnevals, kein Datum.	"יומן של הלה לוקס מ-1910; ספרון שירים של הלה ותמונה; 2 פנקסים בהם הלה כתבה את מחשבותיה על 'חוקיות העולם' 'Das Weltrecht'; ספר זכרונות של מרי הולץ (הסבתא של רנה מצד אמו) מ-1816, שם נעוריה מתחיל באות B; צילום שני שירים שנכתבו ככל הנראה ע""י הלה, ללא תאריך; כתיבה הומוריסטית של הלה לרגל קרנבל, אין תאריך."	Hebrew|German		Unknown	יומן|Diary|פנקס|Notepad|ספר זכרונות|Memory Book|שיר|Poem		EgoDocument
IL-MTFN-001-G-F-0009-002-R0003	IL-MTFN-001-G-F-0009-002	diary	Lace Cap and Annual Diaries from 1912 and 1918	Lace cap for a baby, unclear from which period. Two annual diaries from 1912 and 1918 - very small and suitable for a wallet, as the German name indicates Geldtaschenkalender.	Spitzenmütze für ein Baby, unklar aus welcher Zeit. Zwei Jahreskalender von 1912 und 1918 - sehr klein und passend für eine Geldbörse, wie der deutsche Name darauf hinweist Geldtaschenkalender.	מצנפת מתחרה לתינוק, לא ברור מאיזו תקופה. שני יומנים שנתיים מ-1912 ו-1918 - קטנים מאד ומתאימים לארנק, כפי שהשם הגרמני מצביע על כך Geldtaschenkalender.	German	1912	Unknown	יומן|Diary		EgoDocument
IL-MTFN-001-G-F-0009-003-R0004	IL-MTFN-001-G-F-0009-003	correspondence,visit	Tickets and Correspondence with Palestine Office in Berlin	Tickets for the voyage to Palestine; Correspondence with the Palestine Office in Berlin, Meinekestrasse 10, regarding emigration to the country. During this period, 1935, the family lived in Neu-Isenburg.	Tickets für die Überfahrt nach Palästina; Korrespondenz mit dem Palästina-Amt in Berlin, Meinekestrasse 10, bezüglich der Ausreise ins Land. In dieser Zeit, 1935, lebte die Familie in Neu-Isenburg.	כרטיסים להפלגה לפלסתינה; התכתבות עם משרד פלסתינה בברלין Palästina Amt Berlin, Meinekestrasse 10 בקשר ליציאה לארץ. בתקופה זו, 1935, המשפחה חיה בנוי-איזנבורג; Neu Isenburg	German|Hebrew	1935	Unknown	מכתב|Letter		Communication Document
