item_id	parent	item_description	german_translation	english_translation	format	language	creation_date	publication_date	number_of_pages	documentary_form_type	production_technique_type	main_subject	record_state	title	item_class	document_type	creation_place	transkribus_doc_ids	transkribus_titles	transkribus_n_docs	transkribus_pages	transkribus_lines	transkribus_pages_final	transkribus_pages_gt	transkribus_pages_in_progress	transkribus_pages_new
IL-MTFN-001-G-F-0001-001-R0001	IL-MTFN-001-G-F-0001-001	ספר 'ברונו אש - יומן, ביוגראפיה על משפחת אש'.	Buch 'Bruno Asch - Tagebuch, Biografie über die Familie Asch'.	Book 'Bruno Asch - Diary, Biography about the Asch Family'.	Print	Hebrew					print	Bruno Asch	original	Bruno Asch - Diary, Biography	EgoDocument	ספר|Book										
IL-MTFN-001-G-F-0001-001-R0002	IL-MTFN-001-G-F-0001-001	תמונת דיוקן.	Porträtbild.	Portrait picture.	Visual Element|אלמנט ויזואלי	Irrelevant|לא רלוונטי					photography		original	Portrait Picture	Image	תצלום|Photograph										
IL-MTFN-001-G-F-0001-001-R0003	IL-MTFN-001-G-F-0001-001	חוברת Jüdische Stiftungen in Frankfuert am Main, על חייו של ברונו אש מאת Dieter Rebentisch.	Broschüre Jüdische Stiftungen in Frankfurt am Main, über das Leben von Bruno Asch von Dieter Rebentisch.	Booklet Jüdische Stiftungen in Frankfurt am Main, about the life of Bruno Asch by Dieter Rebentisch.	Print	German					print	Bruno Asch	original	Jüdische Stiftungen in Frankfurt am Main - Bruno Asch	Creative Nonfiction	חוברת|Booklet										
IL-MTFN-001-G-F-0002-001-R0001	IL-MTFN-001-G-F-0002-001	מאמר בשהתפרסם בגרמנית ב-Offenbacher Post מ-1968 על אופנהיימר בנהריה;	Ein Artikel, der 1968 auf Deutsch in der Offenbacher Post über Oppenheimer in Nahariya veröffentlicht wurde.	An article published in German in the Offenbacher Post in 1968 about Oppenheimer in Nahariya.	Print	German|גרמנית		1968			print		original	Article on Oppenheimer in Nahariya	Creative Nonfiction	מאמר|Article										
IL-MTFN-001-G-F-0002-001-R0002	IL-MTFN-001-G-F-0002-001	מאמר בגרמנית מ-1972 שמדווח על בקורו של אופנהיימר בעיר מולדתו אופנבך;	Ein Artikel auf Deutsch aus dem Jahr 1972, der über den Besuch von Oppenheimer in seiner Heimatstadt Offenbach berichtet.	An article in German from 1972 reporting on Oppenheimer's visit to his hometown Offenbach.	Print	German|גרמנית	1972	1972			print	Oppenheimer	original	Article on Oppenheimer's Visit to Offenbach	Report	מאמר|Article										
IL-MTFN-001-G-F-0002-001-R0003	IL-MTFN-001-G-F-0002-001	מקבל עיטור כבוד ואת 'הגדת אופנבך', שהיתה רכושו הפרטי של זיגפריד גוגנהיים.	Erhält eine Ehrenauszeichnung und die 'Haggada von Offenbach', die im Privatbesitz von Siegfried Guggenheim war.	Receives an honor decoration and the 'Offenbach Haggadah', which was the private property of Siegfried Guggenheim.	Unknown	Hebrew|German						Siegfried Guggenheim	original	Honor Decoration and Offenbach Haggadah	Certificate	תעודה|Certificate										
IL-MTFN-001-G-F-0002-002-R0001	IL-MTFN-001-G-F-0002-002	3 סיפורים קצרים בגרמנית, Anneliese Eulau - Felsenstein. Aus dem Zyklus: Jüdische Legenden. DIE SCHABBATHLICHTER Motto:.Nächstenliebe ist Gottesdienst. Dem Andenken meiner Mutter gewidmet את המנוסקריפט מקדישה הכותבת ל - Meine geliebten Freunden und Leidensgefährten Genia und Jakob Solowiejczyk, von Ihre getreuen Liesl, wien 1966 nan	3 kurze Geschichten auf Deutsch, Anneliese Eulau - Felsenstein. Aus dem Zyklus: Jüdische Legenden. DIE SCHABBATHLICHTER Motto: Nächstenliebe ist Gottesdienst. Dem Andenken meiner Mutter gewidmet. Das Manuskript widmet die Autorin meinen geliebten Freunden und Leidensgefährten Genia und Jakob Solowiejczyk, von Ihrer treuen Liesl, Wien 1966.	3 short stories in German, Anneliese Eulau - Felsenstein. From the cycle: Jewish Legends. THE SABBATH LIGHTS Motto: Love of neighbor is worship. Dedicated to the memory of my mother. The manuscript is dedicated by the author to my beloved friends and fellow sufferers Genia and Jakob Solowiejczyk, from your faithful Liesl, Vienna 1966.	Unknown	German|גרמנית	1966						original	3 סיפורים קצרים בגרמנית מאת Anneliese Eulau - Felsenstein	Creative Fiction	סיפור|Fiction										
IL-MTFN-001-G-F-0003-002-R0001	IL-MTFN-001-G-F-0003-002	שלט מקרטון מצויר וצבוע עליו כתוב Jüdische Gemeinde. השלט שמור מאחורי זכוכית ממוסגרת (כתמונה). השלט הוכן ושימש את העצורים היהודים במחנה באוסטרליה. השלט הוצג במוזיאון תפן עד עיצוב המוזיאון מחדש ב-2004-2005.	Ein bemaltes und gefärbtes Kartonschild mit der Aufschrift Jüdische Gemeinde. Das Schild wird hinter gerahmtem Glas (wie ein Bild) aufbewahrt. Das Schild wurde von den jüdischen Häftlingen im Lager in Australien vorbereitet und verwendet. Das Schild wurde im Tefen Museum bis zur Neugestaltung des Museums in den Jahren 2004-2005 ausgestellt.	A painted and colored cardboard sign with the inscription Jüdische Gemeinde. The sign is preserved behind framed glass (like a picture). The sign was prepared and used by the Jewish detainees in the camp in Australia. The sign was displayed in the Tefen Museum until the redesign of the museum in 2004-2005.	Visual Element	German					drawing		original	Jüdische Gemeinde Sign from Australian Camp	Ephemera	אלמנט גרפי|Graphic Element										
IL-MTFN-001-G-F-0003-003-R0001	IL-MTFN-001-G-F-0003-003	שתי עבודות עץ קטנות שבוצעו המחנה המעצר באוסטרליה. העבודות הוצגו במוזיאון תפן עד 2004-2005 עת עיצוב המוזיאון מחדש.	Zwei kleine Holzarbeiten, die im Internierungslager in Australien ausgeführt wurden. Die Arbeiten wurden bis 2004-2005 im Tefen Museum ausgestellt, als das Museum neu gestaltet wurde.	Two small woodworks made in the detention camp in Australia. The works were displayed in the Tefen Museum until 2004-2005 when the museum was redesigned.	Unknown	Unspecified							other	Two small woodworks from Australian detention camp	Ephemera	חפץ|Object										
IL-MTFN-001-G-F-0004-001-R0001	IL-MTFN-001-G-F-0004-001	"ספר אורחים 1949-1953: אורחים רושמים רשימות, שירים, ציורים ומדביקים תמונות מתעדות. לצד ישראלים מתארחים גם אנשי או""מ ותיירים רבים מארה""ב, יפן, גרמניה, שוויץ, והולנד. הספר כתוב בעיקר בעברית, גרמנית ואנגלית. רבים הוסיפו ליד שמם גם את עיסוקם, כגון: ""בעל מכבסת יהודית בחיפה"". רבים מהאורחים נהגו לחזור ולהתארח מדי שנה בשנה בפנסיון. הכותבים משבחים את האווירה, האוכל והטיפול. בין היתר מופיעים בספר האורחים: משה שרת, שרשם ב-1951: ""רק עוד קצת עברית - והכל יהיה נפלא""; אורח אחר רשם מתחת לדברי שרת: ""רק עוד קצת שרת - והכל יהיה עברית"". אורחים נוספים: אבא אבן, גרשם שלום, נחום גולדמן, גרדה והרמן צונדק, סוסקין, קבוצות עיתונאים שליד שמו של כל אחד מופיע שם העיתון בו עבד (בולט מספר העיתונים הרב); פקידים של משרדי ממשלה, ביניהם הנציג של ""המשרד הדרוזי""."	"Gästebuch 1949-1953: Gäste schreiben Notizen, Gedichte, Zeichnungen und kleben dokumentierende Fotos ein. Neben Israelis sind auch UN-Mitarbeiter und viele Touristen aus den USA, Japan, Deutschland, der Schweiz und den Niederlanden zu Gast. Das Buch ist hauptsächlich in Hebräisch, Deutsch und Englisch geschrieben. Viele fügten neben ihrem Namen auch ihren Beruf hinzu, wie z.B.: ""Besitzer einer jüdischen Wäscherei in Haifa"". Viele der Gäste kehrten jedes Jahr in die Pension zurück. Die Autoren loben die Atmosphäre, das Essen und die Betreuung. Unter anderem erscheinen im Gästebuch: Mosche Scharet, der 1951 schrieb: ""Nur noch ein bisschen Hebräisch - und alles wird wunderbar""; ein anderer Gast schrieb unter Scharets Worten: ""Nur noch ein bisschen Scharet - und alles wird Hebräisch"". Weitere Gäste: Abba Eban, Gershom Scholem, Nahum Goldmann, Gerda und Hermann Zondek, Soskin, Journalistengruppen, bei denen neben jedem Namen der Name der Zeitung steht, in der er arbeitete (die Vielzahl der Zeitungen ist auffällig); Beamte von Regierungsbüros, darunter der Vertreter des ""Drusischen Büros""."	"Guest Book 1949-1953: Guests write notes, poems, drawings, and paste documenting photos. Alongside Israelis, there are also UN personnel and many tourists from the USA, Japan, Germany, Switzerland, and the Netherlands. The book is mainly written in Hebrew, German, and English. Many added their occupation next to their name, such as: ""Owner of a Jewish laundry in Haifa"". Many of the guests used to return and stay every year at the pension. The writers praise the atmosphere, the food, and the care. Among others appearing in the guest book: Moshe Sharett, who wrote in 1951: ""Just a little more Hebrew - and everything will be wonderful""; another guest wrote under Sharett's words: ""Just a little more Sharett - and everything will be Hebrew"". Other guests: Abba Eban, Gershom Scholem, Nahum Goldmann, Gerda and Hermann Zondek, Soskin, groups of journalists with the name of the newspaper they worked for next to each name (the large number of newspapers is notable); officials from government offices, including the representative of the ""Druze Office""."	Unknown	Hebrew|German|English	1949	1953		yes	handwriting		original	Guest Book 1949-1953	EgoDocument	רשימות|Personal Notes										
