item_id	parent	signals	title	english_translation	german_translation	item_description	language	creation_date	format	document_type	main_subject	item_class	max_year
IL-MTFN-001-G-F-0002-001-R0002	IL-MTFN-001-G-F-0002-001	hometown,visit	Article on Oppenheimer's Visit to Offenbach	An article in German from 1972 reporting on Oppenheimer's visit to his hometown Offenbach.	Ein Artikel auf Deutsch aus dem Jahr 1972, der über den Besuch von Oppenheimer in seiner Heimatstadt Offenbach berichtet.	מאמר בגרמנית מ-1972 שמדווח על בקורו של אופנהיימר בעיר מולדתו אופנבך;	German|גרמנית	1972	Print	מאמר|Article	Oppenheimer	Report	1972
IL-MTFN-001-G-F-0008-001-R0007	IL-MTFN-001-G-F-0008-001	correspondence	Family Photos and Correspondence with Andrew Bergerson, 1993	Family photos and correspondence with Andrew Bergerson from Hildesheim from 1993.	Familienfotos und Korrespondenz mit Andrew Bergerson aus Hildesheim aus dem Jahr 1993.	צילומי תמונות משפחתיות והתכתבות עם Andrew Bergerson מהילדסהיים משנת 1993.	Hebrew|English	1993	Unknown	תצלום|Photograph|מכתב|Letter	Andrew Bergerson	EgoDocument	1993
IL-MTFN-001-G-F-0008-001-R0011	IL-MTFN-001-G-F-0008-001	visit	Visit of Walter Loser in Hildesheim 1964	Articles and pictures from the visit of Walter Loser and his wife in Hildesheim 1964.	Artikel und Bilder vom Besuch von Walter Loser und seiner Frau in Hildesheim 1964.	מאמרים ותמונות מביקור של ולטר לוזר ואישתו בהילדסהיים 1964.	Unspecified	1964	Unknown	מאמר|Article	Walter Loser	Communication Document	1964
IL-MTFN-001-G-F-0009-003-R0004	IL-MTFN-001-G-F-0009-003	correspondence,visit	Tickets and Correspondence with Palestine Office in Berlin	Tickets for the voyage to Palestine; Correspondence with the Palestine Office in Berlin, Meinekestrasse 10, regarding emigration to the country. During this period, 1935, the family lived in Neu-Isenburg.	Tickets für die Überfahrt nach Palästina; Korrespondenz mit dem Palästina-Amt in Berlin, Meinekestrasse 10, bezüglich der Ausreise ins Land. In dieser Zeit, 1935, lebte die Familie in Neu-Isenburg.	כרטיסים להפלגה לפלסתינה; התכתבות עם משרד פלסתינה בברלין Palästina Amt Berlin, Meinekestrasse 10 בקשר ליציאה לארץ. בתקופה זו, 1935, המשפחה חיה בנוי-איזנבורג; Neu Isenburg	German|Hebrew	1935	Unknown	מכתב|Letter		Communication Document	1935
IL-MTFN-001-G-F-0009-004-R0003	IL-MTFN-001-G-F-0009-004	papers	חוברת על משפחת לוקס מאת אריך לוקס	A booklet in German from the Aachen area, entirely dedicated to certain branches of the Lux family, written by Erich Lux in 1980. The names of 'Lux' from this estate were not found;	Broschüre auf Deutsch aus der Region Aachen, die sich ganz bestimmten Zweigen der Familie Lux widmet, geschrieben von Erich Lux im Jahr 1980. Die Namen der 'Lux' aus diesem Nachlass wurden nicht gefunden;	"חוברת בגרמנית מאיזור אאכן כולה עוסקת בענפים מסוימים של משפ. לוקס, נכתב ע""י אריך לוקס ב-1980. לא נמצאו שמותיהם של 'לוקס' מעיזבון זה;"	German	1980	Print	חוברת|Booklet	אריך לוקס	Creative Nonfiction	1980
IL-MTFN-001-G-F-0012-002-R0014	IL-MTFN-001-G-F-0012-002	visit	Siegfried Pink's Request for Help to Return to Germany	Siegfried Pink, who is in Shanghai, asks Heinz Pink for help to return to Germany, 1946. In a letter, Siegfried details his family connection to Heinz. He also mentions in his letter that he left Germany in 1939 but would like to receive an entry visa for Germany.	Siegfried Pink, der sich in Shanghai befindet, bittet Heinz Pink um Hilfe, um nach Deutschland zurückzukehren, 1946. In einem Brief beschreibt Siegfried seine familiäre Verbindung zu Heinz. Er erwähnt auch in seinem Brief, dass er Deutschland 1939 verlassen hat, aber gerne ein Einreisevisum für Deutschland erhalten würde.	זיגפריד Siegfried פינק שנמצא בשנגחאי מבקש עזרה מהיינץ פינק לחזור לגרמניה, 1946. במכתב מפרט זיגפריד את הקשר המשפחתי שלו להיינץ. כמו כן הוא מזכיר במכתבו שעזב את גרמניה ב-1939 אבל היה רוצה לקבל אשרת כניסה לגרמניה;	Hebrew	1946	Typewritten	מכתב|Letter	Siegfried Pink	Communication Document	1946
IL-MTFN-001-G-F-0020-001-R0002	IL-MTFN-001-G-F-0020-001	memoir	Letters to Ruth Rilf from Margot Hausenstein	Two letters to Ruth Rilf (wife of Dr. Shlomo Rilf) from Margot Hausenstein; the 88-year-old granddaughter of Yitzhak Rilf, who lives in London and writes her memories of her grandfather Yitzhak Rilf. London, German, handwritten, 1979.	Zwei Briefe an Ruth Rilf (Ehefrau von Dr. Shlomo Rilf) von Margot Hausenstein; die 88-jährige Enkelin von Yitzhak Rilf, die in London lebt und ihre Erinnerungen an den Großvater Yitzhak Rilf schreibt. London, Deutsch, Handschrift, 1979.	"שני מכתבים אל רות רילף (רעיתו של ד""ר שלמה רילף) מאת מרגוט האוזנשטיין Margot Hausenstein; נכדתו של יצחק רילף בת ה-88, שחיה בלונדון וכותבת את הזיכרונות שלה על הסבא יצחק רילף. לונדון, גרמנית כתב יד, 1979."	German	1979	Handwritten	מכתב|Letter	Margot Hausenstein	EgoDocument	1979
IL-MTFN-001-G-F-0022-003-R0005	IL-MTFN-001-G-F-0022-003	visit	Visit of President Chaim Weizmann, 1955	Visit of the President of the State, Chaim Weizmann, 1955.	Besuch des Staatspräsidenten, Chaim Weizmann, 1955.	ביקור של נשיא המדינה, חיים ויצמן, 1955.	Unspecified	1955	Unknown	לא מזוהה|Unrecognized	Chaim Weizmann	Organization Papertrail	1955
IL-MTFN-001-G-F-0022-005-R0015	IL-MTFN-001-G-F-0022-005	visit	רשיון כניסה לארנסט וייל	"Entry permit of the ""Military Government in the Occupied Territories"" for Ernst Weil, a doctor, who is allowed to travel to Nazareth and the Eastern Galilee, 1950."	"Einreisegenehmigung des ""Militärverwaltung in den besetzten Gebieten"" für Ernst Weil, Arzt, der berechtigt ist, nach Nazareth und Ostgaliläa zu reisen, 1950."	"רשיון כניסה, של ""ממשל צבאי בשטחים המוחזקים"" לארנסט וייל, רופא, הנ""ל רשאי לנסוע לנצרת ולגליל המזרחי, 1950."	Hebrew	1950	Unknown	תעודה|Certificate	ארנסט וייל	Legal Document	1950
IL-MTFN-001-G-F-0022-012-R0012	IL-MTFN-001-G-F-0022-012	diary	"יומן כיס קטן ""יומן מאיר לאשה"" 1960"	"Small pocket diary ""Meir Diary for Women"" 1960."	"Kleines Taschenbuch ""Meir Tagebuch für Frauen"" 1960."	"יומן כיס קטן ""יומן מאיר לאשה"" 1960."	Hebrew	1960	Unknown	יומן|Diary		EgoDocument	1960
IL-MTFN-001-G-F-0030-005-R0001	IL-MTFN-001-G-F-0030-005	visit	Photos of Mayer Family Trip to Germany, 1957	1957, Photos of a trip to Germany of the Mayer family, Andreas, Esther, and Gertrud	1957, Fotos von einer Reise nach Deutschland der Familie Mayer, Andreas, Esther und Gertrud	1957, תמונות של טיול לגרמניה של משפחת מאייר, אנדראס, אסתר וגרטרוד	Unspecified	1957	Visual Element|אלמנט ויזואלי	תצלום|Photograph	Mayer	Image	1957
IL-MTFN-001-G-F-0030-005-R0003	IL-MTFN-001-G-F-0030-005	visit	1957 Travel Photos in Germany	1957, Travel photos in Germany of Andreas, Esther, and Gertrud and the Hoffner family	1957, Reisebilder aus Deutschland von Andreas, Esther und Gertrud und der Familie Hoffner	1957, תמונות טיול בגרמניה של אנדראס, אסתר וגרטרוד ומשפחת הופנר	Unspecified	1957	Visual Element	תצלום|Photograph		Image	1957
IL-MTFN-001-G-F-0030-005-R0011	IL-MTFN-001-G-F-0030-005	visit	Landscape Photos of Meier Family Trip, 1957	1957, Landscape photos of a trip abroad by the Meier family. London, Paris, Holland, Italy, Germany, and Switzerland	1957, Landschaftsbilder einer Auslandsreise der Familie Meier. London, Paris, Holland, Italien, Deutschland und Schweiz	1957, תמונות נוף של טיול בחול של משפחת מאייר. לונדון, פריז, הולנד, איטליה, גרמניה ושוויץ	Unspecified	1957	Visual Element	תצלום|Photograph	מאייר	Image	1957
IL-MTFN-001-G-F-0030-009-R0004	IL-MTFN-001-G-F-0030-009	memoir	Memories and Documents of Otto Mayer	1937, 12 pages of memories of Otto Mayer, email with a short summary of Otto Mayer in English, eulogy for Otto Mayer 1954 by Fritz Wolf, copy of Otto Mayer's death certificate, German, printed;	1937, 12 Seiten Erinnerungen von Otto Mayer, E-Mail mit kurzer Zusammenfassung von Otto Mayer auf Englisch, Nachruf auf Otto Mayer 1954 von Fritz Wolf, Kopie der Sterbeurkunde von Otto Mayer, Deutsch, gedruckt;	1937, 12 דפים של זיכרונות של אוטו מאייר, מייל עם תקציר קצר של אוטו מאייר באנגלית, הספד לאוטו מאייר 1954 מאת פריץ וולף, העתק תעודת פטירה של אוטו מאייר, גרמנית, מודפס;	German|English	1937	Print	מכתב|Letter|תעודת פטירה|Death Certificate	Otto Mayer	EgoDocument	1954
IL-MTFN-001-G-F-0030-011-R0002	IL-MTFN-001-G-F-0030-011	memoir	Letter from Gertrud Meyer to Heinrich	1943, Letter from Gertrud Meyer To my Joy in Germany, from her memories, Letter to Heinrich without date;	1943, Brief von Gertrud Meyer An meine Freude in Deutschland, aus ihren Erinnerungen, Brief an Heinrich ohne Datum;	1943, מכתב מאת גרטרוד מאייר An meine Freude in Deutschland, מתוך הזכרונות שלה, מכתב אל היינריך בלי תאריך;	German	1943	Unknown	מכתב|Letter	Gertrud Meyer	EgoDocument	1943
IL-MTFN-001-G-F-0030-011-R0006	IL-MTFN-001-G-F-0030-011	visit	Letters from Otto Mayer to Gertrud	1950-1953, Letters from Otto Mayer who visited Germany to his wife Gertrud in Nahariya. He talks about meetings and financial matters. Typewritten, German;	1950-1953, Briefe von Otto Mayer, der Deutschland besuchte, an seine Frau Gertrud in Nahariya. Er berichtet über Treffen und finanzielle Angelegenheiten. Getippt, Deutsch;	1950-1953, מכתבים מאת אוטו מאייר שביקר בגרמניה אל גרטרוד אשתו בנהריה. הוא מספר על פגישות ועניינים כספים. מודפס, גרמנית;	German	1950-1953	Typewritten	מכתב|Letter	Otto Mayer	Communication Document	1953
IL-MTFN-001-G-F-0030-011-R0007	IL-MTFN-001-G-F-0030-011	visit	Travel Report by Otto Mayer, 1950	1950, Travel report by Otto Mayer from a trip to Germany. Mainly, he reports on negotiations regarding financial matters and visits to friends and relatives.	1950, Reisebericht von Otto Mayer von einer Reise nach Deutschland. Hauptsächlich berichtet er über Verhandlungen in Bezug auf finanzielle Angelegenheiten und Besuche bei Freunden und Verwandten.	1950, דוח נסיע של אוטו מאייר מנסיעה לגרמניה. בעיקר הוא מספר על מסע ומתן בקשר לעניינים כספים וביקורים אצל חברים וקרובי משפחה;	Hebrew|German	1950	Unknown	דוח|Report	Otto Mayer	Report	1950
IL-MTFN-001-G-F-0030-011-R0013	IL-MTFN-001-G-F-0030-011	diary,visit	Otto Mayer's 1951 Travel Diary to Germany	1951, Travel diary of Otto Mayer from a trip to Germany, handwritten, German;	1951, Reisetagebuch von Otto Mayer von einer Reise nach Deutschland, Handschrift, Deutsch;	1951, יומן נסיע של אוטו מאייר מנסיעה לגרמניה, כתב יד, גרמנית;	German	1951	Handwritten	יומן|Diary	Otto Mayer	EgoDocument	1951
IL-MTFN-001-G-F-0030-012-R0001	IL-MTFN-001-G-F-0030-012	visit	Passports of Gertrud Meyer	1940-1951, Passports of Gertrud Meyer, British passport from 1940 and Israeli passport from 1951. The Israeli passport has an approval from the Israeli authorities to visit Germany and a visa from the Germans to enter Germany.	1940-1951, Pässe von Gertrud Meyer, britischer Pass von 1940 und israelischer Pass von 1951. Im israelischen Pass gibt es eine Genehmigung der israelischen Behörden, Deutschland zu besuchen, und ein Visum der Deutschen, um nach Deutschland einzureisen.	1940-1951, דרכונים של גרטרוד מאייר, דרכון בריטי מ 1940 ודרכון ישראלי מ 1951. בדרכון הישראלי יש אישור מהרשויות הישראלים לבקר בגרמניה וויזה מהגרמנים להיכנס לגרמניה.	Hebrew|German|English	1940	Unknown	תעודה|Certificate	Gertrud Meyer	Legal Document	1951
IL-MTFN-001-G-F-0030-013-R0001	IL-MTFN-001-G-F-0030-013	memoir	Memories of Gertrud Meyer	1951-1955, Memories of Gertrud Meyer in English printed with the titles: Childhood at the Luetzowufen; Mama 1955, G. Meyer writes of Hedwig Meyer, nee Schierer; Gertrud Meyer, Childhood, Youth, Profession (from posthumous manuscript)	1951-1955, Erinnerungen von Gertrud Meyer auf Englisch gedruckt mit den Titeln: Kindheit in Luetzowufen; Mama 1955, G. Meyer schreibt über Hedwig Meyer, geborene Schierer; Gertrud Meyer, Kindheit, Jugend, Beruf (aus posthumem Manuskript)	1951-1955, זכרונות של גרטרוד מאייר באנגלית מודפס עם הכותרות: Childhood at the Luetzowufen; Mama 1955, G. Meyer writes of Hedwig Meyer, nee Schierer; Gertrud Meyer, Childhood, Youth, Profession (from posthumous manuscript)	English		Print	מסמך מתורגם|Translated Document	Gertrud Meyer	EgoDocument	1955
