page_no	chars	mean_conf
1	353	0.45
2	617	0.395
3	35	0.422
4	63	0.453
5	135	0.505
6	0	0.0
7	416	0.851
8	905	0.918
9	0	0.0
10	1872	0.918
11	2792	0.929
12	2850	0.945
13	2826	0.952
14	2866	0.93
15	2777	0.948
16	2825	0.949
17	2820	0.948
18	2773	0.95
19	2842	0.95
20	2562	0.947
21	1217	0.782
22	1217	0.736
23	2151	0.803
24	2839	0.944
25	2998	0.937
26	2891	0.939
27	2738	0.931
28	3025	0.943
29	2882	0.945
30	2813	0.944
31	2542	0.939
32	2818	0.939
33	2651	0.931
34	2456	0.943
35	2447	0.934
36	2891	0.943
37	2691	0.932
38	2329	0.913
39	1427	0.871
40	1878	0.904
41	1964	0.884
42	1712	0.854
43	2792	0.936
44	2636	0.931
45	2338	0.928
46	2725	0.928
47	2795	0.937
48	2605	0.927
49	2852	0.925
50	2980	0.94
51	2721	0.936
52	2807	0.942
53	2508	0.936
54	2907	0.913
55	2617	0.92
56	2828	0.916
57	1985	0.932
58	2569	0.912
59	2808	0.931
60	2768	0.893
61	2690	0.913
62	2766	0.902
63	2670	0.941
64	2851	0.94
65	2618	0.933
66	1341	0.932
67	1358	0.932
68	2821	0.907
69	2539	0.934
70	2867	0.915
71	2761	0.939
72	2853	0.927
73	2603	0.933
74	2729	0.92
75	2405	0.932
76	2246	0.877
77	2464	0.94
78	2821	0.876
79	2331	0.928
80	1903	0.829
81	2646	0.94
82	2879	0.918
83	2790	0.944
84	2817	0.895
85	2755	0.94
86	1537	0.772
87	1206	0.828
88	1089	0.8
89	1585	0.874
90	2870	0.922
91	1982	0.898
92	2386	0.868
93	2723	0.937
94	1863	0.84
95	2694	0.928
96	2238	0.915
97	1693	0.856
98	0	0.0
99	1568	0.93
100	2790	0.925
101	2553	0.938
102	2673	0.916
103	2843	0.935
104	2307	0.934
105	2559	0.938
106	2500	0.932
107	1844	0.894
108	928	0.869
109	1333	0.8
110	2047	0.883
111	2051	0.924
112	2544	0.934
113	1039	0.866
114	796	0.891
115	2026	0.909
116	1411	0.921
117	1313	0.775
118	1027	0.894
119	2051	0.874
120	2854	0.932
121	2911	0.935
122	2363	0.922
123	1965	0.893
