section_id	parent_r_item	transkribus_doc_id	page_start	page_end	divider_page	title_he	title_de_or_en	author	language	doc_type	date_text	in_existing_catalog	heimat_relevant	notes
0185-S01	PROVENANCE		1	1	1	מפריד / שער התיק	Divider / folder cover	Tefen Museum	none	divider	n.d.	register	no	Blank/image cover page. NO Tefen accession-register card (ספר האוסף) present in this folder's OCR; folder opens instead with Yad Vashem forms. Provenance is documented internally by the family memo at pp.222-223.
0185-S02	R-YV		2	9	2	דפי עד — יד ושם (משפחת גרזון)	Yad Vashem Pages of Testimony — Gerson family	Gerson family (declarant)	he	testimony_form	1953 form; filled later	maybe	yes	pp.2-3 blank YV instruction sheet + form template; pp.5-9 handwritten completed Pages of Testimony for Gerson relatives (surnames GERSON/BERSON, Alexander, b.1900 Charkow etc.). Handwriting — NEEDS human transcription. Family-memory documentation of Holocaust victims of pre-emigration German-Jewish family.
0185-S03	R-BIRN1		10	17	10	צאצאי מרקוס הירש ולוי — משפחת בירנברי	Descendants of Marcus Hirsch & Ernestinn Levy (Birnbrey memoir I)	Henry Birnbrey	en	family_history	1994	no	yes	Opening chapters of Henry Birnbrey's Holocaust family-memory book "And These Are The Names": Stettin/Szczecin 1994 return visit, Berlin 1936 & 1994, GDR/East Germany. Return-visit and diasporic memory of German origin. Print, good OCR.
0185-S04	R-BIRN1		18	26	18	משפחת קרסס/כהן	The Kresses / Cohen family (Birnbrey memoir cont.)	Henry Birnbrey	en	family_history	1994	no	no	Kresses/Cohen branch (Kobrin, Cuba trips). East-European branch — not German-Heimat material. Print.
0185-S05	R-GERS1		27	27	27	רשימה בכתב יד	Handwritten note/list	unknown	mixed	manuscript_note	n.d.	maybe	maybe	Single handwritten page (Hebrew/Latin cursive). NEEDS human transcription. Provisional boundary.
0185-S06	R-GERS1		28	45	28	צאצאי המשפחות גרזון/גולובוביץ' — עצי יוחסין	Descendant charts — Greshes / Golubovitch / Cohen / Gerson	Henry Birnbrey / family	en	genealogy_chart	1994	no	no	Family-tree descendant listings (Feivel & Miriam Greshes; Moshe & Shaine Golubovitch; Pinchas & Mindel Cohen). Mostly East-European branches. p31 "GERSON" header. Print.
0185-S07	R-GERS1		46	52	46	מדריך שמות וכתובות / הסברי סמלים	Directory of Known Names & Addresses; Notes & Symbols	Henry Birnbrey	en	directory	1994	no	no	Address directory (Israel/US) + symbol key for the genealogy book. p51-52 blank/handwritten. Print + some blanks.
0185-S08	R-GB		53	60	53	גבעת ברנר — יומן/מכתב זליגמן	Givat Brenner — Seligmann correspondence/diary	Ernst / Walli Seligmann (Gerson)	mixed	letter	1996 (29.10.96)	maybe	yes	p53 "Gerson"; p55 "Givat-Brenner 29.10.96"; pp.59-60 German handwritten letter/diary ("Unser ... nach Marik 1939"). Handwriting — NEEDS human transcription. Kibbutz Givat Brenner / Seligmann-Gerson family memory.
0185-S09	R-WORM		61	65	61	יער לזכר יהודי מרכז אירופה; משפחת וורמסר-מיכלשטדט	Forest memorial for Central-European Jews; Wormser–Michelstadt genealogy	family / KKL clipping	de	clipping_genealogy	1963-09-13	no	yes	p61 German newspaper clipping (AUFBAU 13.9.1963) on JNF forest "in memory of Jews and emigrants from Central Europe"; pp.64-65 Seckel Loeb-Wormser 1768-1847 Michelstadt/Hessen genealogy. Diasporic memorialization of German-Jewish origin. Print (p64 typescript w/ handwritten edits).
0185-S10	R-YAD		66	76	66	רישומים בכתב יד — משפחת גרזון	Handwritten family notes / lists	family	mixed	manuscript_note	n.d.	maybe	maybe	Block of handwritten pages (Hebrew + German cursive), low OCR. NEEDS human transcription. Likely family notes, drafts, and lists interleaved with the heritage material.
0185-S11	R-JBOOK		77	91	77	גרשון (גרשוני) — ספר מורשת יֶקית / שמות משפחה	GERSCHON name-heritage booklet (Jecke surname lexicon)	published reference	mixed	reference_book	n.d.	no	yes	Trilingual (HE/EN/DE) printed heritage booklet on the surname Gerschon/Gershon and related German-Jewish figures (Frankfurt 2nd-largest kehilla after Berlin; Wouk; Mendelssohn-Haskala entry p91); interleaved Michelstadt/Wormser pages (p88-89). German-Jewish name/heritage. Mostly print; some escalation pp.85-87,92.
