page_no	chars	conf	script	modality	engine	needs_escalation	text_file
1	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0001.txt
2	886	0.600	mixed	print_degraded	tesseract	no	ocr_tesseract/0002.txt
3	1469	0.760	mixed	print	tesseract	no	ocr_tesseract/0003.txt
4	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0004.txt
5	202	0.435	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0005.txt
6	281	0.487	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0006.txt
7	126	0.500	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0007.txt
8	173	0.495	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0008.txt
9	171	0.495	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0009.txt
10	2451	0.909	latin	print	tesseract	no	ocr_tesseract/0010.txt
11	2451	0.898	latin	print	tesseract	no	ocr_tesseract/0011.txt
12	2169	0.960	latin	print	tesseract	no	ocr_tesseract/0012.txt
13	2689	0.960	latin	print	tesseract	no	ocr_tesseract/0013.txt
14	1810	0.958	latin	print	tesseract	no	ocr_tesseract/0014.txt
15	2299	0.958	latin	print	tesseract	no	ocr_tesseract/0015.txt
16	2667	0.958	latin	print	tesseract	no	ocr_tesseract/0016.txt
17	117	0.945	latin	print	tesseract	no	ocr_tesseract/0017.txt
18	2796	0.960	latin	print	tesseract	no	ocr_tesseract/0018.txt
19	53	0.954	latin	print_degraded	tesseract	no	ocr_tesseract/0019.txt
20	174	0.530	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0020.txt
21	159	0.939	latin	print	tesseract	no	ocr_tesseract/0021.txt
22	3067	0.956	latin	print	tesseract	no	ocr_tesseract/0022.txt
23	2804	0.957	latin	print	tesseract	no	ocr_tesseract/0023.txt
24	77	0.898	latin	print_degraded	tesseract	no	ocr_tesseract/0024.txt
25	15	0.928	latin	print_degraded	tesseract	no	ocr_tesseract/0025.txt
26	3029	0.958	latin	print	tesseract	no	ocr_tesseract/0026.txt
27	964	0.501	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0027.txt
28	2710	0.892	latin	print	tesseract	no	ocr_tesseract/0028.txt
29	2846	0.894	latin	print	tesseract	no	ocr_tesseract/0029.txt
30	2507	0.885	latin	print	tesseract	no	ocr_tesseract/0030.txt
31	249	0.571	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0031.txt
32	1922	0.906	latin	print	tesseract	no	ocr_tesseract/0032.txt
33	1862	0.881	latin	print	tesseract	no	ocr_tesseract/0033.txt
34	2634	0.894	latin	print	tesseract	no	ocr_tesseract/0034.txt
35	235	0.862	latin	print	tesseract	no	ocr_tesseract/0035.txt
36	2619	0.904	latin	print	tesseract	no	ocr_tesseract/0036.txt
37	2893	0.899	latin	print	tesseract	no	ocr_tesseract/0037.txt
38	2519	0.896	latin	print	tesseract	no	ocr_tesseract/0038.txt
39	1841	0.892	latin	print	tesseract	no	ocr_tesseract/0039.txt
40	1855	0.887	latin	print	tesseract	no	ocr_tesseract/0040.txt
41	2678	0.902	latin	print	tesseract	no	ocr_tesseract/0041.txt
42	235	0.488	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0042.txt
43	2029	0.896	latin	print	tesseract	no	ocr_tesseract/0043.txt
44	1326	0.906	latin	print	tesseract	no	ocr_tesseract/0044.txt
45	237	0.879	latin	print	tesseract	no	ocr_tesseract/0045.txt
46	73	0.703	latin	print_degraded	tesseract	no	ocr_tesseract/0046.txt
47	1467	0.955	latin	print	tesseract	no	ocr_tesseract/0047.txt
48	1480	0.951	latin	print	tesseract	no	ocr_tesseract/0048.txt
49	477	0.947	latin	print	tesseract	no	ocr_tesseract/0049.txt
50	956	0.952	latin	print	tesseract	no	ocr_tesseract/0050.txt
51	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0051.txt
52	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0052.txt
53	188	0.498	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0053.txt
54	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0054.txt
55	1024	0.798	latin	print	tesseract	no	ocr_tesseract/0055.txt
56	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0056.txt
57	16	0.261	mixed	handwriting_or_image	tesseract	yes	ocr_tesseract/0057.txt
58	17	0.592	mixed	handwriting_or_image	tesseract	yes	ocr_tesseract/0058.txt
59	150	0.468	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0059.txt
60	403	0.445	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0060.txt
61	1565	0.925	latin	print	tesseract	no	ocr_tesseract/0061.txt
62	6750	0.930	latin	print	tesseract	no	ocr_tesseract/0062.txt
63	3307	0.731	latin	print_degraded	tesseract	no	ocr_tesseract/0063.txt
64	1353	0.836	latin	print	tesseract	no	ocr_tesseract/0064.txt
65	1342	0.668	latin	print_degraded	tesseract	no	ocr_tesseract/0065.txt
66	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0066.txt
67	78	0.507	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0067.txt
68	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0068.txt
69	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0069.txt
70	53	0.315	mixed	handwriting_or_image	tesseract	yes	ocr_tesseract/0070.txt
71	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0071.txt
72	92	0.442	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0072.txt
73	147	0.421	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0073.txt
74	90	0.471	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0074.txt
75	57	0.454	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0075.txt
76	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0076.txt
77	2786	0.863	latin	print	tesseract	no	ocr_tesseract/0077.txt
78	4989	0.765	mixed	print	tesseract	no	ocr_tesseract/0078.txt
79	3861	0.736	mixed	print_degraded	tesseract	no	ocr_tesseract/0079.txt
80	5005	0.750	mixed	print	tesseract	no	ocr_tesseract/0080.txt
81	3640	0.755	mixed	print	tesseract	no	ocr_tesseract/0081.txt
82	100	0.890	latin	print	tesseract	no	ocr_tesseract/0082.txt
83	51	0.660	latin	print_degraded	tesseract	no	ocr_tesseract/0083.txt
84	100	0.702	latin	print_degraded	tesseract	no	ocr_tesseract/0084.txt
85	91	0.548	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0085.txt
86	439	0.461	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0086.txt
87	76	0.506	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0087.txt
88	1469	0.691	latin	print_degraded	tesseract	no	ocr_tesseract/0088.txt
89	3442	0.722	latin	print_degraded	tesseract	no	ocr_tesseract/0089.txt
90	6768	0.919	latin	print	tesseract	no	ocr_tesseract/0090.txt
91	5952	0.773	hebrew	print	tesseract	no	ocr_tesseract/0091.txt
92	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0092.txt
93	1364	0.899	latin	print	tesseract	no	ocr_tesseract/0093.txt
94	166	0.365	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0094.txt
95	543	0.543	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0095.txt
96	369	0.535	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0096.txt
97	357	0.724	latin	print_degraded	tesseract	no	ocr_tesseract/0097.txt
98	17	0.905	latin	print_degraded	tesseract	no	ocr_tesseract/0098.txt
99	248	0.698	latin	print_degraded	tesseract	no	ocr_tesseract/0099.txt
100	50	0.602	latin	print_degraded	tesseract	no	ocr_tesseract/0100.txt
101	443	0.946	latin	print	tesseract	no	ocr_tesseract/0101.txt
102	170	0.869	latin	print	tesseract	no	ocr_tesseract/0102.txt
103	658	0.920	latin	print	tesseract	no	ocr_tesseract/0103.txt
104	173	0.849	latin	print	tesseract	no	ocr_tesseract/0104.txt
105	900	0.945	latin	print	tesseract	no	ocr_tesseract/0105.txt
106	176	0.933	latin	print	tesseract	no	ocr_tesseract/0106.txt
107	701	0.939	latin	print	tesseract	no	ocr_tesseract/0107.txt
108	749	0.945	latin	print	tesseract	no	ocr_tesseract/0108.txt
109	360	0.908	latin	print	tesseract	no	ocr_tesseract/0109.txt
110	2426	0.957	latin	print	tesseract	no	ocr_tesseract/0110.txt
111	1301	0.942	latin	print	tesseract	no	ocr_tesseract/0111.txt
112	449	0.957	latin	print	tesseract	no	ocr_tesseract/0112.txt
113	2468	0.959	latin	print	tesseract	no	ocr_tesseract/0113.txt
114	2812	0.958	latin	print	tesseract	no	ocr_tesseract/0114.txt
115	50	0.933	latin	print_degraded	tesseract	no	ocr_tesseract/0115.txt
116	331	0.943	latin	print	tesseract	no	ocr_tesseract/0116.txt
117	2870	0.958	latin	print	tesseract	no	ocr_tesseract/0117.txt
118	114	0.955	latin	print	tesseract	no	ocr_tesseract/0118.txt
119	46	0.904	latin	print_degraded	tesseract	no	ocr_tesseract/0119.txt
120	2765	0.901	latin	print	tesseract	no	ocr_tesseract/0120.txt
121	2365	0.910	latin	print	tesseract	no	ocr_tesseract/0121.txt
122	1903	0.884	latin	print	tesseract	no	ocr_tesseract/0122.txt
123	981	0.677	latin	print_degraded	tesseract	no	ocr_tesseract/0123.txt
124	775	0.914	latin	print	tesseract	no	ocr_tesseract/0124.txt
125	2150	0.958	latin	print	tesseract	no	ocr_tesseract/0125.txt
126	2148	0.944	latin	print	tesseract	no	ocr_tesseract/0126.txt
127	2600	0.956	latin	print	tesseract	no	ocr_tesseract/0127.txt
128	2793	0.959	latin	print	tesseract	no	ocr_tesseract/0128.txt
129	1060	0.948	latin	print	tesseract	no	ocr_tesseract/0129.txt
130	755	0.538	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0130.txt
131	891	0.613	latin	print_degraded	tesseract	no	ocr_tesseract/0131.txt
132	722	0.519	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0132.txt
133	280	0.603	latin	print_degraded	tesseract	no	ocr_tesseract/0133.txt
134	463	0.588	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0134.txt
135	693	0.766	latin	print	tesseract	no	ocr_tesseract/0135.txt
136	74	0.885	latin	print_degraded	tesseract	no	ocr_tesseract/0136.txt
137	2330	0.960	latin	print	tesseract	no	ocr_tesseract/0137.txt
138	3288	0.962	latin	print	tesseract	no	ocr_tesseract/0138.txt
139	1329	0.959	latin	print	tesseract	no	ocr_tesseract/0139.txt
140	2743	0.894	latin	print	tesseract	no	ocr_tesseract/0140.txt
141	3134	0.919	latin	print	tesseract	no	ocr_tesseract/0141.txt
142	1402	0.888	latin	print	tesseract	no	ocr_tesseract/0142.txt
143	2779	0.897	latin	print	tesseract	no	ocr_tesseract/0143.txt
144	3136	0.910	latin	print	tesseract	no	ocr_tesseract/0144.txt
145	2341	0.887	latin	print	tesseract	no	ocr_tesseract/0145.txt
146	2792	0.903	latin	print	tesseract	no	ocr_tesseract/0146.txt
147	3056	0.891	latin	print	tesseract	no	ocr_tesseract/0147.txt
148	951	0.885	latin	print	tesseract	no	ocr_tesseract/0148.txt
149	965	0.841	latin	print	tesseract	no	ocr_tesseract/0149.txt
150	984	0.880	latin	print	tesseract	no	ocr_tesseract/0150.txt
151	590	0.852	latin	print	tesseract	no	ocr_tesseract/0151.txt
152	699	0.947	latin	print	tesseract	no	ocr_tesseract/0152.txt
153	1255	0.912	latin	print	tesseract	no	ocr_tesseract/0153.txt
154	2367	0.921	latin	print	tesseract	no	ocr_tesseract/0154.txt
155	2463	0.926	latin	print	tesseract	no	ocr_tesseract/0155.txt
156	919	0.915	latin	print	tesseract	no	ocr_tesseract/0156.txt
157	2230	0.905	latin	print	tesseract	no	ocr_tesseract/0157.txt
158	5185	0.914	latin	print	tesseract	no	ocr_tesseract/0158.txt
159	4971	0.897	latin	print	tesseract	no	ocr_tesseract/0159.txt
160	4388	0.897	latin	print	tesseract	no	ocr_tesseract/0160.txt
161	3466	0.894	latin	print	tesseract	no	ocr_tesseract/0161.txt
162	1097	0.932	latin	print	tesseract	no	ocr_tesseract/0162.txt
163	2519	0.953	latin	print	tesseract	no	ocr_tesseract/0163.txt
164	2001	0.954	latin	print	tesseract	no	ocr_tesseract/0164.txt
165	2366	0.959	latin	print	tesseract	no	ocr_tesseract/0165.txt
166	2598	0.953	latin	print	tesseract	no	ocr_tesseract/0166.txt
167	988	0.942	latin	print	tesseract	no	ocr_tesseract/0167.txt
168	2223	0.955	latin	print	tesseract	no	ocr_tesseract/0168.txt
169	2835	0.957	latin	print	tesseract	no	ocr_tesseract/0169.txt
170	1533	0.954	latin	print	tesseract	no	ocr_tesseract/0170.txt
171	2367	0.960	latin	print	tesseract	no	ocr_tesseract/0171.txt
172	988	0.939	latin	print	tesseract	no	ocr_tesseract/0172.txt
173	2217	0.952	latin	print	tesseract	no	ocr_tesseract/0173.txt
174	2841	0.957	latin	print	tesseract	no	ocr_tesseract/0174.txt
175	1535	0.951	latin	print	tesseract	no	ocr_tesseract/0175.txt
176	2516	0.955	latin	print	tesseract	no	ocr_tesseract/0176.txt
177	1114	0.935	latin	print	tesseract	no	ocr_tesseract/0177.txt
178	3241	0.903	latin	print	tesseract	no	ocr_tesseract/0178.txt
179	4157	0.894	latin	print	tesseract	no	ocr_tesseract/0179.txt
180	5011	0.898	latin	print	tesseract	no	ocr_tesseract/0180.txt
181	4110	0.902	latin	print	tesseract	no	ocr_tesseract/0181.txt
182	853	0.886	latin	print	tesseract	no	ocr_tesseract/0182.txt
183	2250	0.902	latin	print	tesseract	no	ocr_tesseract/0183.txt
184	2450	0.926	latin	print	tesseract	no	ocr_tesseract/0184.txt
185	2437	0.919	latin	print	tesseract	no	ocr_tesseract/0185.txt
186	1242	0.915	latin	print	tesseract	no	ocr_tesseract/0186.txt
187	667	0.946	latin	print	tesseract	no	ocr_tesseract/0187.txt
188	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0188.txt
189	556	0.703	mixed	print_degraded	tesseract	no	ocr_tesseract/0189.txt
190	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0190.txt
191	356	0.397	mixed	handwriting_or_image	tesseract	yes	ocr_tesseract/0191.txt
192	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0192.txt
193	1069	0.596	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0193.txt
194	1247	0.746	latin	print_degraded	tesseract	no	ocr_tesseract/0194.txt
195	1123	0.778	latin	print	tesseract	no	ocr_tesseract/0195.txt
196	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0196.txt
197	2844	0.889	latin	print	tesseract	no	ocr_tesseract/0197.txt
198	2234	0.869	latin	print	tesseract	no	ocr_tesseract/0198.txt
199	298	0.872	latin	print	tesseract	no	ocr_tesseract/0199.txt
200	1664	0.672	latin	print_degraded	tesseract	no	ocr_tesseract/0200.txt
201	1848	0.713	latin	print_degraded	tesseract	no	ocr_tesseract/0201.txt
202	31	0.421	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0202.txt
203	38	0.494	mixed	handwriting_or_image	tesseract	yes	ocr_tesseract/0203.txt
204	381	0.844	mixed	print	tesseract	no	ocr_tesseract/0204.txt
205	243	0.857	mixed	print	tesseract	no	ocr_tesseract/0205.txt
206	95	0.799	latin	print	tesseract	no	ocr_tesseract/0206.txt
207	239	0.828	mixed	print	tesseract	no	ocr_tesseract/0207.txt
208	382	0.857	mixed	print	tesseract	no	ocr_tesseract/0208.txt
209	1458	0.886	hebrew	print	tesseract	no	ocr_tesseract/0209.txt
210	159	0.687	mixed	print_degraded	tesseract	no	ocr_tesseract/0210.txt
211	55	0.453	mixed	handwriting_or_image	tesseract	yes	ocr_tesseract/0211.txt
212	1119	0.919	hebrew	print	tesseract	no	ocr_tesseract/0212.txt
213	1407	0.883	hebrew	print	tesseract	no	ocr_tesseract/0213.txt
214	426	0.837	mixed	print	tesseract	no	ocr_tesseract/0214.txt
215	95	0.871	mixed	print	tesseract	no	ocr_tesseract/0215.txt
216	1593	0.903	hebrew	print	tesseract	no	ocr_tesseract/0216.txt
217	332	0.857	mixed	print	tesseract	no	ocr_tesseract/0217.txt
218	408	0.820	mixed	print	tesseract	no	ocr_tesseract/0218.txt
219	560	0.790	mixed	print	tesseract	no	ocr_tesseract/0219.txt
220	270	0.851	mixed	print	tesseract	no	ocr_tesseract/0220.txt
221	504	0.824	mixed	print	tesseract	no	ocr_tesseract/0221.txt
222	1035	0.858	hebrew	print	tesseract	no	ocr_tesseract/0222.txt
223	776	0.843	hebrew	print	tesseract	no	ocr_tesseract/0223.txt
