docId	title	nrOfPages	guessed_folder_prefix	guessed_sub_series	matched_sub_series	matched_folder_prefix	folder_title	n_sub_series_under_folder	n_items_in_matched_sub	status_doc	pages_with_transcript	line_count	latest_transcript_ts	status_breakdown
828313	1	3						0	0	0	3	104	1636390732433	IN_PROGRESS:3
828314	2	20						0	0	0	20	0	1636390208740	NEW:20
828315	3	5						0	0	0	5	0	1636390356485	IN_PROGRESS:5
828320	4	16						0	0	0	16	0	1636390321246	NEW:16
853306	G.F.0047-42	184	IL-MTFN-001-G-F-0047	IL-MTFN-001-G-F-0047-042	IL-MTFN-001-G-F-0047-042	IL-MTFN-001-G-F-0047	Landsberg Alfred Abraham & Leoni, לנדסברג אלפרד אברהם & לאוני, בתכתבות לאוני לנד	50	0	0	184	3165	1725129232880	GT:89,IN_PROGRESS:65,FINAL:29,DONE:1
853443	Calvary_jm_Ek7o2fQd_E2NrcM	172						0	0	0	172	102	1640102407253	NEW:136,IN_PROGRESS:30,FINAL:5,DONE:1
855364	Calvary_jm_aCX7qcXv4UKnizo	332						0	0	0	332	24	1655472138819	NEW:312,IN_PROGRESS:19,FINAL:1
942484	IL-MTFN-001-G-F-0047-23	311	IL-MTFN-001-G-F-0047	IL-MTFN-001-G-F-0047-023	IL-MTFN-001-G-F-0047-023	IL-MTFN-001-G-F-0047	Landsberg Alfred Abraham & Leoni, לנדסברג אלפרד אברהם & לאוני, דיווחים ויומנים מ	50	0	0	311	4574	1726839149024	IN_PROGRESS:159,NEW:151,DONE:1
954880	tropy 2	1						0	0	0	1	0	1648369980545	IN_PROGRESS:1
954913	tropy 5	77						0	0	0	77	0	1648376872946	IN_PROGRESS:77
1032458	Mitteilungsblatt	11						0	0	0	11	176	1655738947292	NEW:10,IN_PROGRESS:1
1046162	IL-MTFN-001-G-F-0451	36	IL-MTFN-001-G-F-0451		IL-MTFN-001-G-F-0451-001	IL-MTFN-001-G-F-0451	Cohn Jacob, כהן יעקב, זיכרונות	1	0	0	36	1190	1671225356452	IN_PROGRESS:36
1121973	Adressbuch für den jüdischen Buchhandel	17						0	0	0	17	53	1661175977558	IN_PROGRESS:16,GT:1
