docId	title	nrOfPages	guessed_folder_prefix	guessed_sub_series	matched_sub_series	matched_folder_prefix	folder_title	n_sub_series_under_folder	n_items_in_matched_sub
828313	1	3						0	0
828314	2	20						0	0
828315	3	5						0	0
828320	4	16						0	0
853306	G.F.0047-42	184	IL-MTFN-001-G-F-0047	IL-MTFN-001-G-F-0047-042	IL-MTFN-001-G-F-0047-042	IL-MTFN-001-G-F-0047	Landsberg Alfred Abraham & Leoni, לנדסברג אלפרד אברהם & לאוני, בתכתבות לאוני לנד	50	0
853443	Calvary_jm_Ek7o2fQd_E2NrcM	172						0	0
855364	Calvary_jm_aCX7qcXv4UKnizo	332						0	0
942484	IL-MTFN-001-G-F-0047-23	311	IL-MTFN-001-G-F-0047	IL-MTFN-001-G-F-0047-023	IL-MTFN-001-G-F-0047-023	IL-MTFN-001-G-F-0047	Landsberg Alfred Abraham & Leoni, לנדסברג אלפרד אברהם & לאוני, דיווחים ויומנים מ	50	0
954880	tropy 2	1						0	0
954913	tropy 5	77						0	0
1032458	Mitteilungsblatt	11						0	0
1046162	IL-MTFN-001-G-F-0451	36	IL-MTFN-001-G-F-0451	IL-MTFN-001-G-F-0451-001	IL-MTFN-001-G-F-0451-001	IL-MTFN-001-G-F-0451	Cohn Jacob, כהן יעקב, זיכרונות	1	0
1121973	Adressbuch für den jüdischen Buchhandel	17						0	0
1125803	black&whiteMitteilungSample	8						0	0
1125804	greyMitteilungSample	6						0	0
1148973	lotte	17						0	0
1242487	IL-MTFN-001-G-F-0187-2_0001_0006	263	IL-MTFN-001-G-F-0187	IL-MTFN-001-G-F-0187-002	IL-MTFN-001-G-F-0187-002	IL-MTFN-001-G-F-0187	Windmiller-Rechaim Shimshon, וינדמילר-ריחיים שמשון	3	11
1242496	IL-MTFN-001-G-F-0136_0001_0077	77	IL-MTFN-001-G-F-0136	IL-MTFN-001-G-F-0136-001	IL-MTFN-001-G-F-0136-001	IL-MTFN-001-G-F-0136	Schmal Hans u. Rina, שמל הנס ורנה	1	0
1242506	IL-MTFN-001-G-F-0042_0001_0181	181	IL-MTFN-001-G-F-0042	IL-MTFN-001-G-F-0042-001	IL-MTFN-001-G-F-0042-001	IL-MTFN-001-G-F-0042	Schiff Fritz, שיף פריץ, תולדות משפחת שיף & וולפסון	1	0
1242509	IL-MTFN-001-G-F-0047-19_0001_0099	99	IL-MTFN-001-G-F-0047	IL-MTFN-001-G-F-0047-019	IL-MTFN-001-G-F-0047-019	IL-MTFN-001-G-F-0047	Landsberg Alfred Abraham & Leoni, לנדסברג אלפרד אברהם & לאוני, לנושא קורות החיים	50	0
1242511	IL-MTFN-001-G-F-0141_0001_0076	76	IL-MTFN-001-G-F-0141	IL-MTFN-001-G-F-0141-001	IL-MTFN-001-G-F-0141-001	IL-MTFN-001-G-F-0141	Pinner-Wiener Hanna, פינר-וינר חנה	1	0
1242512	IL-MTFN-001-G-F-0457_0001_0196	196	IL-MTFN-001-G-F-0457	IL-MTFN-001-G-F-0457-001	IL-MTFN-001-G-F-0457-001	IL-MTFN-001-G-F-0457	Wohl Chava, וול חוה, זכרונות	1	0
1242515	IL-MTFN-001-G-F-0042_0001_0181	181	IL-MTFN-001-G-F-0042	IL-MTFN-001-G-F-0042-001	IL-MTFN-001-G-F-0042-001	IL-MTFN-001-G-F-0042	Schiff Fritz, שיף פריץ, תולדות משפחת שיף & וולפסון	1	0
1242548	IL-MTFN-001-G-F-0149_0001_0138	138	IL-MTFN-001-G-F-0149	IL-MTFN-001-G-F-0149-001	IL-MTFN-001-G-F-0149-001	IL-MTFN-001-G-F-0149	Rosenbaum & Makover, רוזנבאום & מקובר, קהילה, משפחה	1	0
1243735	IL-MTFN-001-G-F-0005-1_0001_0317	317	IL-MTFN-001-G-F-0005	IL-MTFN-001-G-F-0005-001	IL-MTFN-001-G-F-0005-001	IL-MTFN-001-G-F-0005	Hecker Max Mordechai, הקר מקס מרדכי - זכרונות	3	3
1250962	IL-MTFN-001-G-F-0141	76	IL-MTFN-001-G-F-0141	IL-MTFN-001-G-F-0141-001	IL-MTFN-001-G-F-0141-001	IL-MTFN-001-G-F-0141	Pinner-Wiener Hanna, פינר-וינר חנה	1	0
1250990	IL-MTFN-001-G-F-0021-3	205	IL-MTFN-001-G-F-0021	IL-MTFN-001-G-F-0021-003	IL-MTFN-001-G-F-0021-003	IL-MTFN-001-G-F-0021	Ruben & Wolf & Friedmann, רובן & וולף & פרידמן, תרגום לעברית של האוטוביוגרפיה של	5	2
1250996	IL-MTFN-001-G-F-0034	180	IL-MTFN-001-G-F-0034	IL-MTFN-001-G-F-0034-001	IL-MTFN-001-G-F-0034-001	IL-MTFN-001-G-F-0034	Aufhäuser Siegfried, אויפהויזר זיגפריד	1	0
1253236	IL-MTFN-001-G-F-0457	196	IL-MTFN-001-G-F-0457	IL-MTFN-001-G-F-0457-001	IL-MTFN-001-G-F-0457-001	IL-MTFN-001-G-F-0457	Wohl Chava, וול חוה, זכרונות	1	0
1265592	IL-MTFN-001-G-F-0078_0001_0116	116	IL-MTFN-001-G-F-0078	IL-MTFN-001-G-F-0078-001	IL-MTFN-001-G-F-0078-001	IL-MTFN-001-G-F-0078	Schalit, שליט	1	0
1278384	IL-MTFN-001-G-F-0113-25 (1)	152	IL-MTFN-001-G-F-0113	IL-MTFN-001-G-F-0113-025	IL-MTFN-001-G-F-0113-025	IL-MTFN-001-G-F-0113	Wolf Fritz, וולף פריץ, ספרות	69	3
1409169	Kuzi	3						0	0
1422003	Evserov, Torokor, PaNEEM, 1929	490						0	0
1429906	dedupmrg591920843_IE190232518	6						0	0
1433568	Orientest	1						0	0
1433572	Orientest	2						0	0
1455625	תסריט וורנר גרמנית.pdf	15						0	0
1491116	האח תרעא	164						0	0
1508482	IL-MTFN-001-G-F-0353-18	31	IL-MTFN-001-G-F-0353	IL-MTFN-001-G-F-0353-018	IL-MTFN-001-G-F-0353-018	IL-MTFN-001-G-F-0353	"Struck Hermann, שטרוק הרמן, ארה""ב 1928 / USA 1928"	53	11
1512516	img	3						0	0
1514829	MB-Page-Sample	1						0	0
1515089	1 (9.1932)	4						0	0
1515090	Internes Rundschreiben fÅr die Mitglieder der Hitachduth Olej Germania	18						0	0
1515093	Mitte MÑrz 1933	8						0	0
1515094	Mitte September 1933	12						0	0
1515095	Mitte November 1933	19						0	0
1515102	Mitte Dezember 1933	16						0	0
1777075	IL-MTFN-001-G-F-0405	486	IL-MTFN-001-G-F-0405	IL-MTFN-001-G-F-0405-001	IL-MTFN-001-G-F-0405-001	IL-MTFN-001-G-F-0405	Brunner Adolf (Dolfi), ברונר אדולף (דולפי), זיכרונות	1	0
3087705	IL-MTFN-001-G-F-0410_0001_0009	97	IL-MTFN-001-G-F-0410	IL-MTFN-001-G-F-0410-001	IL-MTFN-001-G-F-0410-001	IL-MTFN-001-G-F-0410	"Lamberg-Scheck-Ofek, למברג-שק-אופק, חוברת בעברית ""זיכרון מתוק מארץ המלח"" עם קורו"	1	0
3223503	TRAINING_VALIDATION_SET_Ofek	1						0	0
3355427	TRAINING_VALIDATION_SET_madpeset	1						0	0
3355567	TRAINING_VALIDATION_SET_Madpesetrtl	1						0	0
3355747	TRAINING_VALIDATION_SET_Scheck	2						0	0
3657816	IL-MTFN-001-G-F-0047-4_0001_0001	106	IL-MTFN-001-G-F-0047	IL-MTFN-001-G-F-0047-004	IL-MTFN-001-G-F-0047-004	IL-MTFN-001-G-F-0047	Landsberg Alfred Abraham & Leoni, לנדסברג אלפרד אברהם & לאוני, מכתבים	50	17
4008066	IL-MTFN-001-G-F-0047-45	59	IL-MTFN-001-G-F-0047	IL-MTFN-001-G-F-0047-045	IL-MTFN-001-G-F-0047-045	IL-MTFN-001-G-F-0047	Landsberg Alfred Abraham & Leoni, לנדסברג אלפרד אברהם & לאוני, מכתבים, גלויות אל	50	16
5017840	VA 80620 - Jehudith Deutschman nach Meier Chil Deutschman (1)	28						0	0
5018015	VA 80621 - Jehudith Deutschman (1)	13						0	0
