093$c סימול פרויקט (מעודכן)	issues, comments (by the AGSJI team)	adlib	Update (name, date)	351$c רמת תיאור	ParentId	245$a10 כותרת	German Summary (AI translation)	English Summary (AI translation)	תקציר מקור - חלק 1	תקציר מקור - חלק 2	260$c תאריך מנורמל	500$a הערה גלויה למשתמש - תפן	590$a הערה חסויה (לא גלויה למשתמש)	500$a מילות מפתח נושאים	500$a מספר עמודים	IE PID Delete, not for Alma	Cyra:
סימול פרויקט - אפשר לשנות אם יוצרים שינוי בקיטלוג				אם מוסיפים רשומות פריטים מתוך התיק, יש להוסיף את הערך Item Record	מזהה רשומת אב	כותרת			תיאור התיק כפי שהתקבל בארכיון תפן: דורש הגהה, סידור וקיצור	חלק שני של תיאור התיק כפי שהתקבל בארכיון תפן: דורש הגהה, סידור ותיקון	תאריך מנורמל - להשלים באחד הפורמטים הבאים: שנה: YYYY טווח שנים: YYYY-YYYY שנה משוערת: [ca. YYYY] טווח שנים משוער: [ca. YYYY-YYYY]	אם יש צורך אפשר להעביר לכאן מידע/לשנות מידע	הערות לא גלוי למשתמש קצה - להעביר לכאן מידע שלא צריך להיות חשוף באינטרנט	נושאים שקוטלגו על ידי ארכיון תפן		1;אין צורך לשנות	
IL-MTFN-001-G-F-0001-001		255050001		sub-series	IL-MTFN-001-G-F-0001	Asch Bruno, אש ברונו 1890-1940	Verschiedene Materialien über Bruno Asch, einschließlich Biografie, seine politische Tätigkeit, sein Besuch in Palästina und ein Porträtfoto, sowie eine Broschüre und ein Buch über sein Leben und seine Familie.  Hinweis: Diese Beschreibung wurde automatisch mithilfe von KI übersetzt.	Various materials related to Bruno Asch, including a biography, his political activities, his visit to Palestine, and a portrait, as well as a booklet and a book about his life and family.  Note: This description was generated automatically using AI.	בחוברת: ביוגרפיה קצרה ופעילות פוליטית של ברונו אש, שהשתייך למפלגה הקומוניסטית של גרמניה. מילא תפקידים חברתיים-פוליטיים רבים, בין היתר ב-1922 נבחר לראשות. ב-1935 ביקר בפלסטינה, ב-1940 שם קץ לחיייו; ספר "ברונו אש - יומן, ביוגראפיה על משפחת אש"; תמונת דיוקן; חוברת Jüdische Stiftungen in Frankfuert am Main, על חייו של ברונו אש מאת Dieter Rebentisch 		1930-1960	הספר נתרם ב10-2014 ממרים פינר גייזנברג, רחובות		נושא התיק על פי הקיטלוג בארכיון תפן: ביוגרפיה, פעילות פוליטית	8 עמ'		
IL-MTFN-001-G-F-0001-002		255050002		sub-series	IL-MTFN-001-G-F-0001	Asch Bruno, אש ברונו, תצלומים	Eine Sammlung von Bildern aus dem Tefen-Archiv.  Hinweis: Diese Beschreibung wurde automatisch mithilfe von KI übersetzt.	Collection of images from the Tefen Archive.  Note: This description was generated automatically using AI.			1910-1940			נושא התיק על פי הקיטלוג בארכיון תפן: תמונות	2 מתוך 2		
IL-MTFN-001-G-F-0002-001		255050003		sub-series	IL-MTFN-001-G-F-0002	Oppenheimer Ernst und Marianne, אופנהיימר ארנסט ומריאנה 1907-1987	Materialien im Zusammenhang mit Ernst Oppenheimer, einem Bewohner von Nahariya und Besitzer des Restaurants 'Penguin', einschließlich Artikel auf Deutsch über seine Aktivitäten und Auszeichnungen, die er erhalten hat, sowie Verweise auf seinen Besuch in seiner Heimatstadt Offenbach.  Hinweis: Diese Beschreibung wurde automatisch mithilfe von KI übersetzt.	Materials related to Ernest Oppenheimer, a resident of Nahariya and owner of the 'Penguin' restaurant, including articles in German about his activities and accolades he received, as well as references to his visit to his hometown Offenbach.  Note: This description was generated automatically using AI.	ארנסט אופנהיימר, תושב אופנבך-גרמניה ומתושביה הוותיקים של נהריה, בעליה של המסעדה "פנגוין" בנהריה; מאמר בשהתפרסם בגרמנית ב-Offenbacher Post מ-1968 על אופנהיימר בנהריה; מאמר בגרמנית מ-1972 שמדווח על בקורו של אופנהיימר בעיר מולדתו אופנבך; מקבל עיטור כבוד ואת "הגדת אופנבך", שהיתה רכושו הפרטי של זיגפריד גוגנהיים.		[ca. 1960-1980]		נחתם הסכם תרומה בדצמבר 2015	נושא התיק על פי הקיטלוג בארכיון תפן: נהריה, מסחר, פרסומים	3		
IL-MTFN-001-G-F-0002-002		255050004		sub-series	IL-MTFN-001-G-F-0002	Oppenheimer Ernst und Marianne, אופנהיימר ארנסט ומריאנה 1907-1987	Eine Sammlung von drei Kurzgeschichten auf Deutsch von Anneliese Euleau-Plesenstein, aus dem Zyklus 'Jüdische Legenden', gewidmet dem Andenken an die Mutter der Autorin und ihren Freunden Genia und Jakob Soloweytschik.     Hinweis: Diese Beschreibung wurde automatisch mit Hilfe von KI übersetzt.	A collection containing three short stories in German by Anneliese Eulau-Felsenstein, from the cycle "Jewish Legends," dedicated in memory of the author's mother and her friends Genia and Jacob Soloveitchik.     Note: This description was automatically generated using AI.	3 סיפורים קצרים בגרמנית, Anneliese Eulau - Felsenstein. Aus dem Zyklus: Jüdische Legenden. DIE SCHABBATHLICHTER Motto:.Nächstenliebe ist Gottesdienst. Dem Andenken meiner Mutter gewidmet את המנוסקריפט מקדישה הכותבת ל - Meine geliebten Freunden und Leidensgefährten Genia und Jakob Solowiejczyk, von Ihre getreuen Liesl, wien 1966		[ca. 1939-1966]			נושא התיק על פי הקיטלוג בארכיון תפן: ספרות	17 עמ'		
IL-MTFN-001-G-F-0003-001		255050005		sub-series	IL-MTFN-001-G-F-0003	Bock Heinz & Simon & Georg ,בוק היינץ, סימון וגאורג		The collection includes documents and personal correspondence of Heinz Bock and Georg Bock, documenting their lives in the 1930s and 1940s. The documents include identification certificates, certificates of good conduct, vaccination certificates, immigration approvals, and communication with authorities regarding immigration. Additionally, the collection contains correspondence with various organizations and personal stories related to their lives during the Third Reich, detention camps, and immigration to England and Australia. Among the documents, there are also certificates related to their religious lives, personal belongings, and photographs. The collection reflects the challenges and achievements of the Bock family during this period.  Note: This description was automatically generated using AI.	היינץ בוק, יליד 1907. אישתו הראשונה, הילדגרד (הילדה), נספתה בשואה. אישתו השניה, גוסטה-גושי. אחרי מעצר בסכסנהאוזן היגר לאנגליה, שם שהה במחנה קיטשנר. על האניה "דונרה", הועבר למחנות העצירים לאוסטרליה, שם הכיר את ישראל שילוני. היה פעיל ואהוד על העצירים ובהיותו אדם דתי, אירגן ודאג לחיי דת ומסורת במחנה. גאורג בוק, יליד 1900. בן דודו של היינץ, אשתו מרי. גם הוא היה עצור בסכסנהאוזן. המשפחה היגרה ברייך השלישי לאנגליה. להמשך תיאור תכולת התיק, ראו: הערות.	המשך תיאור תכולת התיק: 1. כרטיסים ממשרד הרווחה של הקהילה היהודית בברלין 1938-1939; 2. תעודת יושר להיינץ בוק ואשתו הילדגרד, ברלין 1939.3. תעודת יושר של היינץ בוק מהמשטרה, ברלין 1939; 4. תעודת אזרחות פרוסית מ-1927 של היינץ בוק, שנולד בפרנקפורט על האודר .Frankfurt a.O; 5. תעודת פטירה מ-1901 של סמואל בוק, אביו של היינץ בוק, משרד הפנים, .Frankfurt a.O; 6 אישור לגאורג בוק לעזיבת גרמניה ממשרד העבודה בברלין 1939; 7. תעודת יושר משטרתית לגאורג-ישראל בוק, ברלין 1939; 8. צילומי תעודות הזהות עם תמונות של גאורג בוק, יליד 1900 ושל בנו הנס, יליד 1928; 9. אישור הגירה לפלסטינה לצליך כהן ואשתו, מהממשל הבריטי בפלסטינה 1948; 10. רשימת רכוש של גאורג בוק ובנו הנס; 11. תעודת יושר ממשרד האוצר לגאורג בוק 1939; 12. הודעה לגאורג בוק שעליו להוציא את בנו, הנס, מביה"ס העממי, ברלין 1937; 13. הודעה של מחלקת הנוער של הקהילה היהודית בברלין על המאמצים להשגת ניירות הגירה להנס בוק; 14. פנייה של גאורג בוק לשגרירות האמריקאית לקבלת שאלוני הגירה; 15. צילום דף מדרכונו של גאורג בוק; 16. כרטיס הקצבת מזון / בשר מ-1916 ממחוז Alsfeld; 17. תשובת אירגון העזרה ליהודים משנגחאי - RELIEF SOCIETY FOR GERMAN AND AUSTRIAN JEWS - לגאורג בוק על שאלותיו בקשר להגירה לשנגחאי בשנת 1939; 18. שנגחאי 1939, תשובת הארגון לעזרה ליהודי גרמניה ואוסטריה אל גאורג בוק לשאלותיו בקשר עם העברת ארגז הגירה, מציאת דירה, בי"ס לבנו, שנת 1939. 19. מהוועד המרכזי לעזרה ותמיכה של נציגות היהודים בגרמניה על התנאים לקבלת עזרה עבור בי"ס לבנו באנגליה; 20. פרנקפורט על האודר, תעודת לידה של סמואל קורט בוק, 1903, שנולד להוריו זיגמונד בוק ורוזה לבית לוי. אחיו של היינץ בוק; 21. רשימת פריטים אישיים של הנס ישראל בוק עם אישור של המכס; 22. ברלין 1937, תעודת נישואין של קורט בוק, אחיו של היינץ בוק, עם הרטה לבית שמעוני; 23. 1939, אישור של איגוד היהודים בגרמניה, מחלקת ההגירה Reichsvereinigung der Juden in Deutschland, Abteilung Wanderung, על שקיבלו את דרכונו של היינץ ישראל בוק; 24. משרד הפנים של אוסטרליה מאשר את קבלת מכתב השאלות של גאורג בוק לנושא אשרת כניסה לאוסטרליה לו ולאשתו, ומבטיחים לטפל ולהחזיר תשובות; 25. ברלין 1939 Jüdischer Kulturbund in Deutschland מבקש מגאורג בוק את כל הפרטים והניירת שלו בהקשר להגירתו; 26. אישור ניידות מוגבל עבור גאורג בוק ממשטרת ברלין אל החברה שהעסיקה אותו עם ההתראה שעליהם למצוא סוכן נוסע "ארי" ונוקבים בתאריך ובשם החברה: Giese und Borchardt; 27. ברלין 1939 משרד האוצר, גאורג בוק נדרש לשלם מיסי הון יהודי, Judenvermögensabgabe, בסך 9000 מרק בתשלומים של 2250. גאורג בוק מקבל קנס של 25 מרק על פיגור בתשלום מיסי ההון היהודי; 28. מרי בוק, אישתו הארית של גאורג, פונה לדרזדנר בנק וכותבת שחלקה בהון של בעלה פטור ממיסי הון. היא מבקשת שליטה על חלקה בכספים; 29. צילום תעודת לידה של זיגמונד בוק, אביו של היינץ בוק, יליד 1864. הוצאה ב-1939 בפרנקפורט על האודר; 30.שלוש תעודות של קורט בוק: תעודת גמר של בי"ס למסחר 1919, תעודת יושר של ביה"ס הנ"ל לשרות צבאי של שנה בהתנדבות, תעודה של בי"ס זה עבור המתנדב לשרות הצבאי 1919; 31. תשובת דרזדן בנק למרי בוק 1938; 32. ליבק, Lübeck, תעודת יושר משטרתית לזליג לצרוס כהן 1939; 33. אישור חיסונים לקורט בוק; 34. צילום של מספר דפים ממחברת בי"ס מלימודי "גזע" של בני אדם, פרות, חיות אחרות; 35. רשימה של דברי כסף שגאורג בוק מבקש להוציא מגרמניה עם הגירתו. הבקשה נדחית, על הרשימה מוטבעת חותמת Abgelehnt - נדחה! 1938. עם זאת אישור של משרד האוצר בברלין, על הוצאתן של 4 כפות כסף ו-4 כפיות כסף; 36. 1939 השגרירות האמריקאית בברלין מודיעה לגאורג בוק שהוא, אשתו מרי ובנם הנס ברשימה הגרמנית לקבלת אשרת כניסה לארה"ב; 37. שני מכתבים מלונדון מאירגון העזרה לפליטים Croydon Refugee Aid Society. הם מוכנים לקבל את הנס בוק לביה"ס של האירגון 1939; 38. מכתב לגאורג בוק מאנגליה, מאת ד"ר ארנסט (שם המשפחה קשה לזיהוי) בו כתוב שיש אדם אנגלי שמוכן לקבל לחסותו 10-12 נערים פליטים ולדאוג לחינוכם; 39. פנקס פליטים עם אישור כניסה לאנגליה של זליג לצרוס ישראל כהן ואשתו לואיזה שרה. לשניים אסור לעבוד באנגליה 1939; 40. Government of Palestine - Emmigration Certificate, תעודת עלייה - סרטיפיקט לפלשתינה עבור ארנה רוזליה קירשטיין-ברווין לבית כהן ולבעלה סלי הנס קירשטיין, שניהם נמצאים בשנגחאי 1947; 41. איגוד היהודים בגרמניה - Reichsvereinigung der Juden in Deutschland - מאשר את קבלת בקשתו של היינץ בוק להגר לאנגליה למחנה המעבר ריצ'בורו Richborougt ומבטיחים להעביר את בקשתו לשלטונות אנגליה; 42. איגוד היהודים בגרמניה מאשר להיינץ בוק את תשובתם החיובית של שלטונות אנגליה ומבקש את הניירות הדרושים במהרה להסדר הגירתו 1939; 43. 1939, ממשרד האוצר בברלין מודיעים להיינץ בוק שפקידי האוצר יבואו לביתו ויבדקו את הדברים אותם הוא רוצה להוציא מגרמניה עם הגירתו, כמו כן ייבדק המטבע הזר שברשותו ודברי הערך; 44. תעודת חיסון של קורט בוק ברלין 1915; 45. פנקס צבאי של גאורג בוק 1918; 46. פנקס עבודה של גאורג בוק מהרייך השלישי; 47. פנקסי התרמה לרווחת יהודי קהילת ברלין, עבור התשלום ניתן בול להדבקה על הפנקס. הפנקסים שייכים לגאורג בוק; 48. 4 קטעי עיתונות, תמונה (האישים בתמונה ללא שם), ומכתב, המתייחסים להורדת הלוט מעל שלט במקום שהיה מחנה מעבר לפליטים "מחנה קיטשינר" באנגליה. 49. דף הוראות לשעת חרום במחנה מעבר באנגליה וצילום מודעה על ערב תרבות במחנה פליטים, לא ברור אם באנגליה או אוסטרליה; 50. כתובת של אירגון לפליטים יהודים בלונדון; 51. טיוטת נאום פרידה לקבוצת פליטים במחנה מעבר באוסטרליה שיוצאים לכוון פלסטינה. בנאום מוזכר גם היינץ בוק; 52.מנוסקריפט, 30 עמ' מ-1976 מודפס בגרמנית - Erinnerungen an unsere erste Europareise, Heinz und Guschi Bock. תרגום: זכרונות מנסיעתנו הראשונה לאירופה, היינז וגושי בוק; 53. מכתב או טיוטת נאום מגבאי הקהילה היהודית במחנה הפליטים "טטורה" באוסטרליה; 54. התכתבות בין היינץ בוק לבין רשויות ההגירה בבריטניה וג'נבה בנושא הצטרפות נשות הפליטים אל בעליהן באנגליה 1940; 55. ג'נבה 1942 מכתב משירות ההגירה הבינלאומי אל היינץ בוק באוסטרליה, הם מצטערים שלא הצליחו לאתר את אשתו (הראשונה)בגרמניה; 56. התכתבות באמצעות הצלב האדום בין היינץ בוק, ירושלים, 1944, לבין גרונר לאופולד, שנגחאי; 57. 7 גלויות אל היינץ בוק - התכתבות פנים ארצית; 58. מברק מליבק Lübeck עם ברכות, כפי הנראה לנישואי Blumenthal-Lehmann; 59. מכתב מהיינץ בוק ממחנה סכסנהאוזן Sachssenhausen 1938 אל אשתו, אמו ואחיו; 60. מכתב שחרור של גאורג בוק ממחנה סכסנהאוזן 1938; 61. מכתבים אל היינץ בוק מאת Emil Frank, לונדון ו- Guggenheim מתל אביב; 62. מכתבים אל היינץ (יעקב) וגושי בוק מאת: גאורג ומרי בוק Georg & Marie Bock, גאורג ורות בוק Georg & Ruth Bock, ארנה פרנץ Ernna Franz, היינץ פ' Heinz F, שטראוס ק' (ציריך) Strauss K, אריך אדולף כהן Erich adolf Cohn, זלמה (קלן) .(Selma (Köln	[ca. 1903-1948]			נושא התיק על פי הקיטלוג בארכיון תפן: הרייך השלישי, מחנות מעצר, הגירה, אירגונים, תעודות, אישיות, מלח"ע I, תמונות	1 מתוך 3	360;IE29876384	
IL-MTFN-001-G-F-0003-002		255050902		sub-series	IL-MTFN-001-G-F-0003	Bock Heinz & Simon & Georg; בוק היינץ, סימון וגאורג - שלט ממחנה עצורים יהודים באוסטרליה.	„Ein bemaltes und gezeichnetes Schild aus Karton, das der jüdischen Gemeinde in einem Internierungslager in Australien gehört, welches früher im Tefen-Museum ausgestellt war.     Hinweis: Diese Beschreibung wurde automatisch mithilfe von KI übersetzt.“	A painted and colored cardboard sign belonging to the Jewish community in a detention camp in Australia, which was previously displayed at the Tefen Museum.     Note: This description was automatically generated using AI.	שלט מקרטון מצויר וצבוע עליו כתוב Jüdische Gemeinde. השלט שמור מאחורי זכוכית ממוסגרת (כתמונה). השלט הוכן ושימש את העצורים היהודים במחנה באוסטרליה. השלט הוצג במוזיאון תפן עד עיצוב המוזיאון מחדש ב-2004-2005.		[ca. 1930-1945]			נושא התיק על פי הקיטלוג בארכיון תפן: מחנות מעצר *אנגליה, אוסטרליה		1;IE29882077	
IL-MTFN-001-G-F-0003-003		255050903		sub-series	IL-MTFN-001-G-F-0003	Bock Heinz & Simon & Georg; בוק היינץ, סימון וגאורג - מחנות מעצר באוסטרליה	Kleine Holzarbeiten, die in einem Internierungslager in Australien entstanden und bis zur Renovierung in den Jahren 2004-2005 im Tefen-Museum ausgestellt wurden.     Hinweis: Diese Beschreibung wurde automatisch mithilfe von KI übersetzt.	Small woodworks created in a detention camp in Australia and displayed at the Tefen Museum until its renovation in 2004-2005.     Note: This description was generated automatically using AI.	שתי עבודות עץ קטנות שבוצעו המחנה המעצר באוסטרליה. העבודות הוצגו במוזיאון תפן עד 2004-2005 עת עיצוב המוזיאון מחדש.		[ca. 1930-1945]			נושא התיק על פי הקיטלוג בארכיון תפן: אמנות *שתי עבודות נגרות קטנות.		4;IE29882127	
IL-MTFN-001-G-F-0004-001		255050006		sub-series	IL-MTFN-001-G-F-0004	Cohn Gretel & Richard, כהן גרטל & ריכרד	Die Sammlung umfasst Materialien, die das Cohen-Pension in Nahariya dokumentieren, das zwischen 1939 und 1967 im Besitz von Gretl und Richard Cohen aktiv war. Die Sammlung enthält zwei Gästebücher aus den Jahren 1949-1953 und 1953-1967, in denen die Gäste Notizen, Gedichte, Zeichnungen und Fotos hinterließen. Zu den Gästen zählten Persönlichkeiten des öffentlichen Lebens und Prominente wie Mosche Scharet, Abba Eban und Mosche Dajan, neben Touristen und UN-Mitarbeitern. Darüber hinaus umfasst die Sammlung eine humoristische Zeitung von 1920, einen Entwurf einer Rede von Dr. Richard Strauss anlässlich der Schließung des Pensions, einen Artikel zum Gedenken an Gretl Cohen und Fotos des Pensions, der Gäste und der Familie Cohen. Die Sammlung beschreibt soziale und kulturelle Aspekte von Nahariya in dieser Zeit.  Hinweis: Diese Beschreibung wurde automatisch mithilfe von KI übersetzt.	The collection includes materials documenting the Cohen Pension in Nahariya, which was active between 1939-1967 and owned by Gretel and Richard Cohen. The collection contains two guest books from the years 1949-1953 and 1953-1967, in which guests wrote notes, poems, drawings, and photos. Among the guests were public figures and celebrities such as Moshe Sharett, Abba Eban, and Moshe Dayan, alongside tourists and UN personnel. Additionally, the collection includes a humorous newspaper from 1920, a draft speech by Dr. Richard Strauss on the occasion of the pension's closure, an article in memory of Gretel Cohen, and photos of the pension, guests, and the Cohen family. The collection depicts social and cultural aspects of Nahariya during this period.  Note: This description was automatically generated using AI.	פנסיון כהן בנהריה נפתח ב-1939 בבעלותם של גרטל וריכרד כהן, נסגר ב-1967. הבית והגינה הגדולה היו בפינת הרחובות שדרות הגעתון ורחוב ז'בוטינסקי. הבית נהרס ובמקומו הוקם בית קומות. אורחים כתבו + ציורים + תמונות. לפירוט תכולת התיק, ראו: הערות.	התיק מכיל: 1. ספר אורחים 1949-1953: אורחים רושמים רשימות, שירים, ציורים ומדביקים תמונות מתעדות. לצד ישראלים מתארחים גם אנשי או"מ ותיירים רבים מארה"ב, יפן, גרמניה, שוויץ, והולנד. הספר כתוב בעיקר בעברית, גרמנית ואנגלית. רבים הוסיפו ליד שמם גם את עיסוקם, כגון: "בעל מכבסת יהודית בחיפה". רבים מהאורחים נהגו לחזור ולהתארח מדי שנה בשנה בפנסיון. הכותבים משבחים את האווירה, האוכל והטיפול. בין היתר מופיעים בספר האורחים: משה שרת, שרשם ב-1951: "רק עוד קצת עברית - והכל יהיה נפלא"; אורח אחר רשם מתחת לדברי שרת: "רק עוד קצת שרת - והכל יהיה עברית". אורחים נוספים: אבא אבן, גרשם שלום, נחום גולדמן, גרדה והרמן צונדק, סוסקין, קבוצות עיתונאים שליד שמו של כל אחד מופיע שם העיתון בו עבד ( בולט מספר העיתונים הרב); פקידים של משרדי ממשלה, ביניהם הנציג של "המשרד הדרוזי". 2. ספר אורחים 1953-1967: נשואים טריים שמבלים את ירח הדבש בנהריה. הקלוב של "רוטרי נהריה" נהג לערוך את פגישותיו בפנסיון כהן מאז 1952. בספר זה חתומים בין היתר: משה דיין, תיאודור הויז (אז נשיא גרמניה), רולף פאולוס (שגרירה הראשון של גרמניה בישראל), יוחאי בן-נון מפקד חיל הים, שהתארח יחד עם קבוצה של חיילים ועוד. חומר נוסף בתיק: 1.עיתון הומוריסטי מ-1920 שנכתב לרגל נישואי ריכרד כהן עם גרטל לבית וינדמילר ברדה, גרמניה; .Richard Cohn, Gretel geb. Windmüller, Rehda. 2: טיוטת נאום בגרמנית שנשא ד"ר ריכרד שטראוס (ממחלבות שטראוס) חבר הרוטרי, לרגל סגירת הפנסיון ב-1967. 3. מאמר בגרמנית לזכרה של גרטל כהן שנכתב ע"י אריך להמן ב-1974. 4. תמונות של פנסיון כהן כפי שהיה, תמונות אורחים נופשים; ביו היתר תמונות של ותיקי נהריה במפגש עם תאודור הויז, תמונות משפחתיות של ריכרד וגרטל כהן.	1920-1974	מר אנדראס מאייר יודע שהיה ספר שלישי, כפי הנראה הספר הראשון, כל מאמציו למציאת הספר עלו בתוהו.		נושא התיק על פי הקיטלוג בארכיון תפן: נהריה, מסחר, מנהגים, תמונות, ספרות	שני ספרים	463;IE30247272	
IL-MTFN-001-G-F-0005-001		255050007		sub-series	IL-MTFN-001-G-F-0005	Hecker Max Mordechai, הקר מקס מרדכי - זכרונות	Die Sammlung umfasst biografische und dokumentarische Materialien, die mit der Familie Hecker verbunden sind, einer jüdischen Familie, die zweimal nach Palästina eingewandert ist. Die Materialien enthalten Erinnerungen von Hannah Frieda und Max Mordechai Hecker, die ihr persönliches und berufliches Leben, ihre familiären und sozialen Beziehungen sowie die historischen und kulturellen Kontexte, in denen sie lebten, beschreiben. Die Sammlung enthält auch Beschreibungen bedeutender Ereignisse wie der Einwanderung nach Palästina, der Gründung des Technions in Haifa und ihrem Dienst im Ersten Weltkrieg. Darüber hinaus sind Materialien über andere Familienmitglieder enthalten, darunter Lotte Engel, geborene Hecker die im Kunstbereich aktiv war. Die Sammlung umfasst Texte in Hebräisch und Deutsch, Fotos und verschiedene Veröffentlichungen.  Hinweis: Diese Beschreibung wurde automatisch mithilfe von KI übersetzt.	The collection includes biographical and documentary materials related to the Hecker family, a Jewish family that immigrated twice to Palestine. The materials include memoirs of Hannah Frieda and Max Mordechai Hecker, describing their personal and professional lives, their family and social connections, and the historical and cultural contexts in which they lived. The collection also contains descriptions of significant events such as the immigration to Palestine, the establishment of the Technion in Haifa, and their service in World War I. Additionally, materials about other family members are included, such as Lotte Engel née Hecker, who was active in the field of art. The collection includes texts in Hebrew and German, photographs, and various publications.  Note: This description was automatically generated using AI.	קורותיה של משפחה יהודית שעלתה פעמיים לפלשתינה. גב' לאה אלון (התורמת) בתם של מקס מרדכי הקר, יליד 1879 ,וחנה פרידה לבית מוזס, ילידת 1881, תרגמה לעברית והדפיסה את זכרונות אמה אותם כתבה משלהי נעוריה ועד 1943, כמו כן הדפיסה את הגרסה הגרמנית. גב' אלון תרגמה לעברית והדפיסה גם את זכרונות אביה, מקס הקר, יליד קראקוב, מהנדס בנין, אחיו של האדריכל, וילהלם הקר, אותם כתב ב-1954, ואת הגירסה הגרמנית גם כן הדפיסה. שמות: ריינס, מוזס, הקר, לוטה כהן, גוסטה גאורג בוק, יוסף לוי, אליאס אורבך, הרמן שטרוק. .Reines, Moses, Hecker, Lotte Cohn, Gusta Georg Bock, Josef Loewy, Elias Auerbach, Hermann Struck; מקומות: טפיאו, קניגסברג, ברסלאו, גלייויץ, ברלין, בודנזה, האלה. .Tpiau, Königsberg, Breslau, Gleiwitz, Berlin, Bodensee, Halle; מנוסקריפט לזכרה של לוטה אנגל לבית הקר, בגרמנית ועברית ומודפס. להמשך תיאור תכולת התיק, ראו: הערות.	חומר נוסף בתיק: מתוך הזכרונות של חנה פרידה הקר: ילדות, בית ההורים, העסק המשפחתי; המנסרה, חגים יהודים ונוצרים, ההיכרות עם הבעל לעתיד, מקס הקר, על הגיס האדריכל וילהלם הקר, פעילות ציונית, הכרות עם האדריכלית לוטה כהן, ידידות עם גוסטה (גושי) והיינץ בוק, על יוסף לוי (ממייסדי נהריה), תאורים מפלסטינה וחיפה של שנות ה-30-40 למאה ה-20, על אליאס אורבך (הרופא היהודי מחיפה), ד"ר בירם, הרכבת החיג'זית, בניית הטכניון, מלה"ע הראשונה החיים בשכונת הבוכרים בירושלים, אירוח של צמרת הישוב דאז, שכונת הרצליה בחיפה; השכונה העברית הראשונה, המגורים בבית הרמן שטרוק. "מלחמת השפות בטכניון", נגד "העזרה של יהודי גרמניה", תאורי טיולים סביב הכנרת, חוות הפועלות בכנרת, האחים לבית מוזס; אודו וברונו שנופלים במלה"ע I, אימוץ הבת הלא חוקית של האח, אודו. החזרה לגרמניה עם כניסתה של תורכיה כבת ברית לגרמניה, החיים בגרמניה בזמן מלה"ע I. מות הבן, דני, בגיל 17 מדום לב. מתוך הזכרונות של מקס הקר:; מקראקוב עובר עם הוריו לוינה. מסיים לימודי הנדסת בנין, עולה לפלסטינה, לוקח חלק בבניית הטכניון בחיפה, חוזר עם משפחתו לאוסטריה ומתגייס לצבא, לוקח חלק במלה"ע I, קשרים לסוכנות ולציונות, חוזר עם משפחתו לפלסטינה, מתמנה למנהל הטכניון בחיפה, עוזב את הטכניון בעקבות סכסוך, עובד עבור עיריית ירושלים, חבר בחברה לחקר א"י ועתיקותיה, יוזם וכותב ספרים מקצועיים על ירושלים. צילום מאמר בגרמנית על מקס הקר ופועלו מתוך: "Unsere Stimme" מ-1965. לוטה אנגל לבית הקר, בת דוד של מקס הקר, הייתה פעילה בתנועת הנוער בר;כוכבא בהמבורג. היא עלתה לארץ ועסקה באומנות הרקמה, היא סיימה בי"ס גבוהה לאומנות בהמבורג. עבודות האומנות שלה בארץ ידועות למשל: 1949 הוטלה עליה הכנת דגל עם סמל ישראל עבור לשכת נשיא המדינה או פרוכות לארונות קודש ועוד. 13 עמודים מודפסים מתוך אתר המשפחה באינטרנטץ הטקסטים באנגלית מלווים בתמונות.	1900-1965	אילן יוחסין של ריינוס, מוזס, הקר		נושא התיק על פי הקיטלוג בארכיון תפן: ביוגרפיה, משפחה, קהילה, מנהגים, מסורת, חינוך, עלייה, פלסטינה, התיישבות, מלח"ע I, מקצועות חופשיים, ישראל, ספרות, פרסומים, תמונות *תמונת דיוקן של מרדכי מקס הקר	כרטיס 1 מתוך 3	1;317;IE29885297	
