page_no	chars	mean_conf
1	3235	0.902
2	234	0.864
3	3215	0.911
4	236	0.903
5	197	0.461
6	2435	0.948
7	1521	0.935
8	177	0.71
9	428	0.76
10	309	0.454
11	2788	0.909
12	1213	0.91
13	93	0.596
14	1680	0.738
15	143	0.469
16	3014	0.88
17	1714	0.92
18	2016	0.946
19	3150	0.869
20	3164	0.92
21	328	0.458
22	143	0.393
23	1573	0.898
24	736	0.85
25	1392	0.946
26	2077	0.904
27	2392	0.867
28	0	0.0
29	3985	0.931
30	86	0.519
31	4507	0.871
32	4817	0.875
33	343	0.661
34	1569	0.732
35	3007	0.799
36	2882	0.732
37	2856	0.729
38	3054	0.751
39	2417	0.804
40	3245	0.795
41	3418	0.816
42	3289	0.817
43	3274	0.799
44	3269	0.78
45	2568	0.814
46	2901	0.769
47	3222	0.812
48	3023	0.782
49	2006	0.786
50	3234	0.787
51	3325	0.8
52	3108	0.766
53	3155	0.78
54	3197	0.744
55	3383	0.752
56	3342	0.764
57	3494	0.75
58	3347	0.756
59	3865	0.745
60	3255	0.715
61	3518	0.727
62	3310	0.674
63	2745	0.772
64	3220	0.719
65	2986	0.779
66	2596	0.727
67	1008	0.798
68	298	0.614
69	1452	0.736
70	3033	0.782
71	3092	0.783
72	3091	0.768
73	3337	0.783
74	2424	0.813
75	3261	0.817
76	3428	0.817
77	3299	0.816
78	3192	0.805
79	3266	0.797
80	2632	0.79
81	2930	0.784
82	3234	0.817
83	3051	0.817
84	2044	0.821
85	3247	0.825
86	3319	0.828
87	3246	0.826
88	3158	0.815
89	3264	0.766
90	3335	0.776
91	3360	0.768
92	3516	0.768
93	3334	0.792
94	3831	0.785
95	3227	0.782
96	3455	0.767
97	3352	0.757
98	2740	0.816
99	3287	0.81
100	3018	0.813
101	2660	0.791
102	969	0.816
103	68	0.409
104	63	0.803
105	104	0.768
106	90	0.859
107	279	0.481
108	95	0.767
109	113	0.874
110	3099	0.95
111	1998	0.948
112	596	0.752
113	146	0.749
114	39	0.357
115	65	0.911
116	70	0.583
117	152	0.821
118	33	0.954
119	948	0.92
120	1755	0.95
121	1496	0.942
122	152	0.756
123	1504	0.946
124	1791	0.914
125	1773	0.95
126	692	0.906
127	1544	0.947
128	491	0.842
129	1293	0.925
130	119	0.943
131	1820	0.948
132	1343	0.951
133	196	0.505
134	1473	0.953
135	1393	0.945
136	758	0.939
137	1341	0.951
138	307	0.947
139	1561	0.947
140	1722	0.948
141	1840	0.946
142	1783	0.953
143	1930	0.947
144	186	0.704
145	1139	0.803
146	0	0.0
147	29	0.884
148	9	0.719
149	41	0.81
150	37	0.947
151	163	0.923
152	32	0.933
153	943	0.932
154	1752	0.951
155	170	0.675
156	1518	0.936
157	1511	0.945
158	1736	0.944
159	1783	0.952
160	700	0.942
161	1543	0.948
162	412	0.842
163	1302	0.919
164	123	0.889
165	1839	0.952
166	47	0.965
167	1360	0.947
168	1472	0.953
169	1392	0.946
170	749	0.944
171	1342	0.945
172	309	0.947
173	1578	0.952
174	1721	0.946
175	1835	0.947
176	1787	0.95
177	224	0.553
178	1924	0.951
179	1196	0.827
180	151	0.548
181	97	0.622
182	101	0.574
183	4314	0.949
184	864	0.939
185	3680	0.942
186	3158	0.938
187	129	0.602
188	3562	0.95
189	3215	0.95
190	4608	0.947
191	0	0.0
192	5025	0.945
193	4524	0.943
194	420	0.524
195	27	0.77
196	1595	0.944
197	1382	0.868
198	221	0.593
199	3200	0.947
200	28	0.893
201	2322	0.951
202	39	0.936
203	3138	0.949
204	44	0.377
205	3162	0.948
206	56	0.666
207	2343	0.945
208	1302	0.932
209	50	0.475
210	1633	0.809
211	3	0.729
212	44	0.359
213	36	0.397
214	85	0.697
215	12	0.778
216	95	0.521
217	87	0.429
218	110	0.613
219	144	0.583
220	134	0.583
221	0	0.0
222	24	0.463
223	0	0.0
224	0	0.0
225	5586	0.927
226	892	0.941
227	1443	0.93
228	7071	0.938
229	13149	0.93
230	3640	0.886
231	3172	0.909
232	5022	0.931
233	358	0.903
234	3154	0.941
235	7402	0.924
236	5788	0.942
237	10045	0.926
238	4980	0.929
239	3362	0.941
240	4408	0.942
241	5228	0.91
242	13310	0.936
243	20562	0.938
244	21955	0.94
245	18598	0.938
246	14702	0.928
247	18104	0.918
248	0	0.0
249	1376	0.403
250	295	0.642
251	1676	0.44
252	1771	0.484
