page_no	chars	conf	script	modality	engine	needs_escalation	text_file
1	0	0.000	latin	blank_or_image	tesseract	yes	ocr_tesseract/0001.txt
1	0	0.000	latin	blank_or_image	tesseract	yes	ocr_tesseract/0001.txt
1	12	0.552	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0001.txt
1	34	0.581	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0001.txt
1	98	0.587	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0001.txt
1	146	0.539	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0001.txt
2	259	0.578	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0002.txt
2	610	0.330	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0002.txt
2	1024	0.854	latin	print	tesseract	no	ocr_tesseract/0002.txt
2	1206	0.719	latin	print_degraded	tesseract	no	ocr_tesseract/0002.txt
2	2661	0.948	latin	print	tesseract	no	ocr_tesseract/0002.txt
2	10891	0.918	latin	print	tesseract	no	ocr_tesseract/0002.txt
3	0	0.000	latin	blank_or_image	tesseract	yes	ocr_tesseract/0003.txt
3	687	0.873	latin	print	tesseract	no	ocr_tesseract/0003.txt
3	1703	0.680	latin	print_degraded	tesseract	no	ocr_tesseract/0003.txt
3	2084	0.911	latin	print	tesseract	no	ocr_tesseract/0003.txt
3	2158	0.891	latin	print	tesseract	no	ocr_tesseract/0003.txt
3	3277	0.949	latin	print	tesseract	no	ocr_tesseract/0003.txt
4	119	0.510	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0004.txt
4	911	0.908	latin	print	tesseract	no	ocr_tesseract/0004.txt
4	967	0.846	latin	print	tesseract	no	ocr_tesseract/0004.txt
4	1001	0.591	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0004.txt
4	2261	0.904	latin	print	tesseract	no	ocr_tesseract/0004.txt
4	3159	0.953	latin	print	tesseract	no	ocr_tesseract/0004.txt
5	356	0.472	latin	handwriting_or_image	tesseract	yes	ocr_tesseract/0005.txt
5	862	0.828	latin	print	tesseract	no	ocr_tesseract/0005.txt
5	1800	0.872	latin	print	tesseract	no	ocr_tesseract/0005.txt
5	1957	0.928	latin	print	tesseract	no	ocr_tesseract/0005.txt
5	1964	0.675	latin	print_degraded	tesseract	no	ocr_tesseract/0005.txt
5	3446	0.948	latin	print	tesseract	no	ocr_tesseract/0005.txt
